Feature,1011213,1011214,1014242,1014243
高度(mm),1990,1990,1990,1990
驾驶辅助影像,,-,,-
驱动电机数,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-
限滑差速器/差速锁,-,-,-,-
长度(mm),4495,4495,4495,4495
长*宽*高(mm),4495×1680×1990,4495×1680×1990,4495×1680×1990,4495×1680×1990
钥匙类型,,,,
道路救援呼叫,-,-,-,-
远光灯光源,,,,
近光灯光源,,,,
运动风格座椅,-,-,-,-
运动外观套件,-,-,-,-
轴距(mm),2925,2925,2925,2925
轮圈材质,,,,
转向辅助灯,-,-,-,-
转向头灯,-,-,-,-
车顶行李架,-,-,-,-
车门数(个),5,5,5,5
车载冰箱,-,-,-,-
车载CD/DVD,-,-,-,-
车身结构_y,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-
车窗防夹手功能,-,-,-,-
车型名称,好运1号 2021款 Ⅲ 创富型,好运1号 2021款 Ⅲ 创业型,好运1号 2022款 超值版创富型,好运1号 2022款 超值版创业型
车前雾灯,,,,
车内环境氛围灯,-,-,-,-
车内化妆镜,-,-,-,-
车内中控锁,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
货箱尺寸(mm),-,-,-,-
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,-,●,-
自适应远近光,-,-,-,-
自动驻车,-,-,-,-
自动头灯,-,-,-,-
膝部气囊,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-
缺气保用轮胎,-,-,-,-
级别,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-
第二排座椅电动调节,-,-,-,-
第二排座椅功能,-,-,-,-
空调温度控制方式,,,,
空气悬架,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-
电池组质保,待查,待查,待查,待查
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),41.86,41.86,32.14,32.14
电池充电时间,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,后置,后置,后置,后置
电动机总扭矩(N·m),220,220,220,220
电动机总功率(kW),60,60,60,60
电动机(Ps),82,82,82,82
电动座椅记忆功能,-,-,-,-
电动吸合车门,-,-,-,-
电动后备厢位置记忆,-,-,-,-
电动后备厢,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-
温度分区控制,-,-,-,-
油箱容积(L),-,-,-,-
最高车速(km/h),90,90,90,90
最小离地间隙(mm),-,-,-,-
最大载重质量(kg),990,990,1050,1050
最大满载质量(kg),2510,2510,2510,2510
最大扭矩(N·m),220,220,220,220
最大功率(kW),60,60,60,60
无钥匙进入功能,-,-,-,-
无钥匙启动系统,-,-,-,-
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,-,-,-,-
整车质保,-,-,-,-
整备质量(kg),1390,1390,1330,1330
挡位个数,1,1,1,1
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
慢充时间(小时),-,-,-,-
感应雨刷功能,-,-,-,-
感应后备厢,-,-,-,-
快充电量百分比,-,-,-,-
快充电量(%),-,-,-,-
快充时间(小时),-,-,-,-
座椅材质,,,,
座位数(个),2,2,2,2
并线辅助,-,-,-,-
工信部续航里程(km),305,305,220,220
工信部纯电续航里程(km),305,305,220,220
巡航系统,-,-,-,-
