Feature,62488,63158,63473,63474,63475,63487,63488,63489,64145,64146,66504,66556,66557,67998
高精地图,-,●,-,-,-,-,-,-,-,-,-,-,-,-
高度(mm),1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599,1599
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动电机数,单电机,双电机,单电机,单电机,双电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,
首任车主质保政策,,-,,,,,,,,,,,,-
风阻系数(Cd),0.234,0.246,0.25,0.25,0.234,0.234,0.234,0.234,0.25,0.234,0.234,0.234,0.234,0.246
面部识别,●,●,-,-,●,-,○,●,-,-,-,○,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4930,4980,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4930,4980
长*宽*高(mm),4930*1940*1599,4980*1960*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4930*1940*1599,4980*1960*1599
钥匙类型,,,,,,,,,,,,,,
遥控泊车,●,●,-,-,●,-,-,●,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,●,●,-,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,-,-,●,-,-,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,-,●,-,-,-,-,-,-,-,-,-,-,-,●
辅助驾驶系统,,,-,,,-,,,,,,,,
辅助驾驶等级,,,-,,,-,,,,,,,,
轴距(mm),2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
轮圈材质,,,,,,,,,,,,,,
转向头灯,-,●,-,-,-,-,-,-,-,-,-,-,-,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,●,●,-,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,-,●,●,-,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,-,●,●,-,●,●,●,●,●,●,●,●
车载空气净化器,●,●,-,-,●,-,●,●,-,●,●,●,●,-
车载智能系统,,,,,,,,,,,,,,
车载KTV,●,-,-,●,●,-,●,●,●,●,●,●,●,-
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,
车机系统存储(GB),-,,-,-,-,-,-,-,-,-,-,-,-,
车机系统内存(GB),-,,-,-,-,-,-,-,-,-,-,-,-,
车型名称,极狐 阿尔法S(ARCFOX αS) 2023款 735E+ 森林版 160kW,极狐 阿尔法S(ARCFOX αS) 2023款 先行版,极狐 阿尔法S(ARCFOX αS) 2023款 525 森林版 160kW,极狐 阿尔法S(ARCFOX αS) 2023款 525E 森林版 160kW,极狐 阿尔法S(ARCFOX αS) 2023款 603D 森林版 320kW,极狐 阿尔法S(ARCFOX αS) 2023款 525 森林版 175kW,极狐 阿尔法S(ARCFOX αS) 2023款 525E 森林版 175kW,极狐 阿尔法S(ARCFOX αS) 2023款 735E+ 森林版 175kW,极狐 阿尔法S(ARCFOX αS) 2023款 735E 森林版 160kW,极狐 阿尔法S(ARCFOX αS) 2023款 735E 森林版 175kW,极狐 阿尔法S(ARCFOX αS) 2023款 650E 森林版PRO 175kw,极狐 阿尔法S(ARCFOX αS) 2023款 525E 森林版PRO 175kW,极狐 阿尔法S(ARCFOX αS) 2023款 735E+ 森林版PRO 160kW,极狐 阿尔法S(ARCFOX αS) 2024款 先行版PRO
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,,,-,,,,,,,,
车内摄像头数量,-,,-,-,-,-,-,-,-,-,-,,,
车内化妆镜,,,,,,,,,,,,,,
车内中控锁,-,●,-,-,-,-,-,-,-,-,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,,
起步提醒,●,-,-,-,●,-,●,●,-,●,●,●,●,-
负离子发生器,●,-,-,-,●,-,●,●,-,●,●,●,●,-
语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,,
语音助手唤醒词,-,-,-,-,-,-,-,-,-,-,-,-,-,
语音分区域唤醒识别,,,,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●,●
记忆泊车,-,-,-,-,-,-,-,-,-,-,-,-,-,●
触摸式阅读灯,-,●,-,-,-,-,-,-,-,-,-,-,-,●
行车电脑显示屏幕,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,●,●,-,●,●,-,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,●,●,-,-,●,-,-,●,●,●,●,●,●,●
自动开合车门,●,-,-,-,●,-,-,●,○,○,○,-,●,○
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自动变道辅助,-,●,-,-,-,-,-,-,-,-,-,-,●,●
能量回收系统,-,●,-,-,-,-,-,-,-,-,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,
级别,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-
第二排座椅功能,,,-,-,,-,-,,,,,-,,
空调温度控制方式,,,,,,,,,,,,,,
离去角(°),16,15.5,16,16,16,16,16,16,16,16,16,16,16,15.5
百公里耗电量(kWh/100km),15.4,16.6,-,-,17.1,14.8,14.8,15.4,-,15.4,14.6,14.8,15.4,14.8
疲劳驾驶提示,●,●,-,○,●,-,○,●,-,-,-,○,●,●
电芯品牌,,,,,,,,,,,,,,
电能当量燃料消耗量(L/100km),1.74,1.88,-,-,1.93,1.67,1.67,1.74,-,1.74,1.65,1.67,1.74,1.68
电池预加热,-,●,-,-,-,-,-,-,-,-,-,-,-,●
电池能量密度(Wh/kg),194.1,181,-,-,191.7,183.3,183.3,188.8,194.1,188.8,188.8,183.3,188.8,181
电池能量(kWh),93.6,74.5,-,-,93.6,65.6,65.6,94.5,93.6,94.5,81,65.6,94.5,74.5
电池类型,,,,,,,,,,,,,,
电池特有技术,-,-,-,-,极光电池,-,-,-,-,-,极光电池,极光电池,极光电池,极光电池
电池慢充电量范围(%)_y,-,-,-,-,-,-,-,-,-,-,0-100,0-100,0-100,-
电池慢充电量范围(%)_x,-,-,-,-,-,-,-,-,-,-,0-100,0-100,0-100,-
电池慢充时间(小时)_y,7.6,6.5,11.5,11.5,7.6,5.7,5.7,7.6,15.5,7.6,14,11.5,15.2,13
电池慢充时间(小时)_x,7.6,6.5,11.5,11.5,7.6,5.7,5.7,7.6,15.5,7.6,14,11.5,15.2,13
电池快充电量范围(%)_y,30-80,80,80,80,30-80,30-80,30-80,30-80,80,30-80,30-80,30-80,30-80,80
电池快充电量范围(%)_x,30-80,80,80,80,30-80,30-80,30-80,30-80,80,30-80,30-80,30-80,30-80,80
电池快充时间(小时)_y,0.5,0.25,0.42,0.42,0.55,0.43,0.43,0.5,0.5,0.5,0.5,0.43,0.5,0.25
电池快充时间(小时)_x,0.5,0.25,0.42,0.42,0.55,0.43,0.43,0.5,0.5,0.5,0.5,0.43,0.5,0.25
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,前交流/异步 后永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置+后置,前置,前置,前置+后置,前置,前置,前置,前置,前置,前置,前置,前置,后置
电动机总马力(Ps),218,643,218,218,435,238,238,238,218,238,238,238,218,343
电动机总扭矩(N·m),360,655,360,360,720,360,360,360,360,360,360,360,360,370
电动机总功率(kW),160,473,160,160,320,175,175,175,160,175,175,175,160,252
电动机(Ps),218,643,218,218,435,238,238,238,218,238,238,238,218,343
电动座椅记忆功能,,,-,,,-,,,,,,,,
电动吸合车门,,-,-,-,,-,-,,,,,-,,
电动后备厢位置记忆,●,●,●,●,●,●,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●,●,●,●,●,●,●
