Feature,72144,72430,72431,72447,72449
高精定位,-,-,●,-,-
高度(mm),1599,1599,1599,1599,1599
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),0.234,0.234,0.246,0.234,0.234
面部识别,-,●,●,-,●
隐藏电动门把手,●,●,●,●,●
陡坡缓降,●,●,●,●,●
长度(mm),4930,4930,4980,4930,4930
长*宽*高(mm),4930*1940*1599,4930*1940*1599,4980*1960*1599,4930*1940*1599,4930*1940*1599
钥匙类型,,,,,
遥控泊车,●,●,●,●,●
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
运动风格座椅,●,●,●,●,●
辅助驾驶路段,-,-,,-,-
辅助驾驶芯片,-,-,,-,-
辅助驾驶系统,,,,,
辅助驾驶等级,,,,,
辅助泊车入位,●,●,●,●,●
辅助变道,●,●,●,●,●
辅助匝道自动驶出(入),-,-,●,-,-
轴距(mm),2915,2915,2915,2915,2915
轮圈材质,,,,,
转向头灯,-,-,●,-,-
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,-,●,●
车载智能系统,,,,,
车身结构_y,掀背车,掀背车,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机系统存储(GB),-,-,,-,-
车机系统内存(GB),-,-,,-,-
车机智能芯片,,,,,
车型名称,极狐 阿尔法S6 2025款 735MAX 160kW,极狐 阿尔法S6 2025款 735限定版 160kW,极狐 阿尔法S6 2025款 602三激光雷达版,极狐 阿尔法S6 2025款 735MAX 175kW,极狐 阿尔法S6 2025款 735限定版 175kW
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,,
车内摄像头数量,-,,,-,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
起步提醒,●,●,-,●,●
负离子发生器,●,●,-,●,●
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
记忆泊车,-,-,●,-,-
