Feature,61269,65720,65721,66079,70669,70728,70729,70730,70731
高度(mm),1650,1650,1650,1650,1650,1650,1650,1650,1650
高压快充,支持,-,-,-,支持,-,-,-,支持
高压平台（V）,800,-,-,-,800,400,400,400,800
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
首任车主质保政策,,,,,,,,,
风阻系数(Cd),0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245
面部识别,○,-,○,-,●,-,-,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●
长度(mm),4690,4690,4690,4690,4690,4690,4690,4690,4690
长*宽*高(mm),4690*1936*1650,4690*1936*1650,4690*1936*1650,4690*1936*1650,4690*1936*1650,4690*1936*1650,4690*1936*1650,4690*1936*1650,4690*1936*1650
钥匙类型,,,,,,,,,
遥控泊车,○,-,○,-,●,-,-,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,-,●,-,●,-,-,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●
辅助驾驶系统,,-,,-,,-,-,,
辅助驾驶等级,,-,,-,,-,-,,
辅助泊车入位,○,-,○,-,●,-,-,●,●
辅助变道,●,-,●,-,●,-,-,●,●
轴距(mm),2845,2845,2845,2845,2845,2845,2845,2845,2845
轮圈材质,,,,,,,,,
车顶行李架,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,-,●,-,-,●,●
车道偏离预警系统,●,-,●,-,●,-,-,●,●
车道保持辅助系统,●,-,●,-,●,-,-,●,●
车载空气净化器,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,-,●,-,●,●,●
车窗一键升降功能,,,,-,,-,,,
车机系统存储(GB),,,,,,,,,
车机系统内存(GB),,,,,,,,,
车机智能芯片,,,,,,,,,
车型名称,极狐 阿尔法T5(ARCFOX αT5) 2024款 660 MAX,极狐 阿尔法T5(ARCFOX αT5) 2024款 520 PRO,极狐 阿尔法T5(ARCFOX αT5) 2024款 520 MAX,极狐 阿尔法T5(ARCFOX αT5) 2024款 520 AIR,极狐 阿尔法T5(ARCFOX αT5) 2025款 630 神行版,极狐 阿尔法T5(ARCFOX αT5) 2025款 520 AIR,极狐 阿尔法T5(ARCFOX αT5) 2025款 520 PRO,极狐 阿尔法T5(ARCFOX αT5) 2025款 520 MAX,极狐 阿尔法T5(ARCFOX αT5) 2025款 660 MAX
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,●,-,-,-,-,-,-,-,-
车内生物监测系统,○,-,○,-,-,-,-,-,-
车内环境氛围灯,,-,,-,,-,-,,
车内摄像头数量,,-,,-,,-,-,,
车内化妆镜,,,,-,,-,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
起步提醒,●,-,●,-,●,-,-,●,●
语音连续识别,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
语音助手唤醒词,-,-,-,-,,,,,
语音分区域唤醒识别,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,●,-,●,-,●,-,-,●,●
自动驻车,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-
第二排座椅功能,,-,,-,,-,-,,
空调温度控制方式,,,,,,,,,
空气质量监测,-,-,-,-,●,-,-,●,●
离去角(°),23,23,23,23,23,23,23,23,23
百公里耗电量(kWh/100km),13.9,14.7,14.7,14.7,14.3,14.7,14.7,14.7,13.9
疲劳驾驶提示,○,-,○,-,●,-,-,●,●
电芯品牌,,,,,,,,,
电池预加热,●,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),182,141,141,141,137.5,141,141,141,182
电池能量(kWh),79.2,65,65,65,74.4,65,65,65,79.2
电池组质保,-,-,-,-,,,,,
电池类型,,,,,,,,,
电池特有技术,极光电池,极光电池,极光电池,极光电池,神行电池,极光电池,极光电池,极光电池,极光电池
电池慢充时间(小时)_y,6.5,5.6,5.6,5.6,12.5,11.3,11.3,11.3,12.9
电池慢充时间(小时)_x,6.5,5.6,5.6,5.6,12.5,11.3,11.3,11.3,12.9
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.28,0.38,0.38,0.38,0.15,0.38,0.38,0.38,0.28
电池快充时间(小时)_x,0.28,0.38,0.38,0.38,0.15,0.38,0.38,0.38,0.28
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),272,252,252,252,272,252,252,252,272
电动机总扭矩(N·m),360,360,360,360,360,360,360,360,360
电动机总功率(kW),200,185,185,185,200,185,185,185,200
电动机(Ps),272,252,252,252,272,252,252,252,272
电动座椅记忆功能,,-,,-,,-,,,
电动后备厢位置记忆,●,●,●,-,●,-,●,●,●
电动后备厢,●,●,●,-,●,-,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●
热泵空调,●,●,●,-,●,-,●,●,●
温度分区控制,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-,-,-
毫米波雷达数量,,-,,-,,-,-,,
最高车速(km/h),180,180,180,180,180,180,180,180,180
最小离地间隙(mm),-,-,-,-,166,166,166,166,166
最大满载质量(kg),2425,2430,2430,2430,2495,2430,2430,2430,2425
最大扭矩(N·m),360,360,360,360,360,360,360,360,360
最大功率(kW),200,185,185,185,200,185,185,185,200
无钥匙进入功能,,,,,,,,,
