Feature,30595,34693,41008
高度(mm),2425,2530,2200
驻车制动类型,脚刹,脚刹,脚刹
驱动方式,前置后驱,前置后驱,前置后驱
陡坡缓降,-,-,-
长度(mm),5715,5715,5715
长*宽*高(mm),5715*2098*2425,5715*2098*2530,5715*2098*2200
配气机构,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-
道路交通标识识别,-,-,-
进气形式,自然吸气,自然吸气,自然吸气
运动风格座椅,-,-,-
运动外观套件,-,-,-
轴距(mm),3429,3429,3429
转向辅助灯,-,●,-
转向头灯,-,●,-
车顶行李架,-,-,-
车门数(个),5,4,4
车道偏离预警系统,-,-,-
车道保持辅助系统,-,-,-
车载空气净化器,-,-,●
车载电视,●,●,●
车载冰箱,●,●,●
车身结构_y,MPV,MPV,MPV
车身结构_x,5门6座MPV,4门6座MPV,4门6座MPV
车身稳定控制(ESC/ESP/DSC等),●,-,-
车联网,-,●,-
车窗防夹手功能,-,●,●
车型名称,SAVANA 2017款 6.0L G760S 雅尊天玺版,SAVANA 2018款 6.0L GX777 尊翔星际版,SAVANA 2019款 6.0L GL750 雅尊天逸版
车内香氛装置,-,-,-
车内中控锁,●,●,●
车内PM2.5过滤装置,-,-,●
车体结构,非承载式,非承载式,承载式
负离子发生器,-,-,-
触摸式阅读灯,-,-,-
被动行人保护,-,-,-
行程(mm),-,-,-
行李厢容积(L),-,-,-
行李厢12V电源接口,-,-,-
蓝牙/车载电话,●,-,●
自适应远近光,-,-,-
自动驻车,-,-,-
自动泊车入位,-,-,-
自动头灯,●,●,-
膝部气囊,-,-,-
能源类型,汽油,汽油,汽油
缺气保用轮胎,-,-,-
缸盖材料,铝合金,铝合金,铝合金
缸径(mm),-,-,-
缸体材料,铸铁,铸铁,铸铁
级别,大型MPV,大型MPV,大型MPV
简称,6挡手自一体,6挡手自一体,6挡手自一体
第二排独立座椅,●,●,●
空气悬架,-,-,-
疲劳驾驶提示,-,-,-
电磁感应悬架,-,-,-
电池预加热,-,-,-
电动后备厢位置记忆,-,-,-
电动后备厢,-,-,-
电动可调踏板,-,-,-
环保标准_y,国IV(国V),国IV(国V),国V
环保标准_x,国IV(国V),国IV(国V),国V
牵引力控制(ASR/TCS/TRC等),●,-,-
燃油标号,95号,95号,95号
燃料形式,汽油,汽油,汽油
温度分区控制,●,●,-
涉水感应系统,-,-,-
油箱容积(L),117,117,117
气缸数(个),8,8,8
气缸排列形式,V,V,V
每缸气门数(个),4,4,4
最高车速(km/h),-,-,-
最小离地间隙(mm),-,-,180
最大马力(Ps),328,328,327
最大扭矩转速(rpm),4400,4400,4400
最大扭矩(N·m)_y,506,506,506
最大扭矩(N·m)_x,506,506,506
最大功率转速(rpm),4600,4600,4600
最大功率(kW)_y,241,241,241
最大功率(kW)_x,241,241,241
无钥匙启动系统,-,-,-
方向盘记忆,-,-,-
方向盘换挡,●,-,-
方向盘加热,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),-,3340,3410
整体主动转向系统,-,-,-
排量(mL),5967,5967,5967
挡位个数,6,6,6
手势控制,-,-,●
感应后备厢,-,-,-
座位数(个),6,6,6
并线辅助,-,-,-
工信部综合油耗(L/100km),-,18,20
尾门玻璃独立开启,-,-,-
导航路况信息显示,-,-,●
宽度(mm),2098,2098,2098
实测油耗(L/100km),-,-,-
实测100-0km/h制动(m),-,-,-
实测0-100km/h加速(s),-,-,-
官方0-100km/h加速(s),-,-,-
大灯高度可调,-,●,●
大灯清洗装置,-,-,-
大灯延时关闭,-,-,●
夜视系统,-,-,-
多功能方向盘,●,-,●
备胎规格,非全尺寸,非全尺寸,非全尺寸
后风挡遮阳帘,●,●,●
后雨刷,-,-,-
后轮距(mm),-,-,-
后轮胎规格,265/50 R20 ,265/50 R20 ,265/50 R20 
后排独立空调,●,●,●
后排杯架,●,●,●
后排控制多媒体,-,-,-
后排座椅电动调节,●,●,●
后排座椅电动放倒,-,-,-
后排小桌板,-,-,-
后排安全带式气囊,-,-,-
后排侧隐私玻璃,●,●,●
后排中央安全气囊,-,-,-
后悬架类型,整体桥非独立悬架,多连杆式独立悬架,钢板弹簧非独立悬架
后座出风口,●,●,●
后制动器类型,通风盘式,通风盘式,通风盘式
可变转向比,-,-,-
可加热喷水嘴,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,6挡手自一体,6挡手自一体,6挡手自一体
发动机电子防盗,●,●,●
发动机特有技术,-,-,-
发动机型号,GM Vortec V8,GM Vortec V8,2A
发动机启停技术,-,-,-
发动机,6.0L 328马力 V8,6.0L 328马力 V8,6.0L 327马力 V8
压缩比,-,-,-
厂商指导价(元),188.00万,218.00万,143.00万
厂商,GMC,GMC,GMC
助力类型,机械液压助力,电动助力,机械液压助力
副驾驶位后排可调节按钮,-,-,-
前轮距(mm),-,-,-
前轮胎规格,265/50 R20,265/50 R20,265/50 R20
前悬架类型,独立双叉臂式,麦弗逊式独立悬架,麦弗逊式独立悬架
前大灯雨雾模式,-,-,-
前制动器类型,通风盘式,通风盘式,通风盘式
前/后驻车雷达,-,-,-
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),-,-,-
前/后排侧气囊,-,前●&nbsp;/&nbsp;后-,-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,-,-
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,-,●,●
全液晶仪表盘,-,-,-
倒车车侧预警系统,-,-,-
供油方式,多点电喷,多点电喷,直喷
主动降噪,-,-,-
主动闭合式进气格栅,-,-,-
主动刹车/主动安全系统,-,-,-
