Feature,60007,60008,60009,60010,60011,60012
高度(mm),1880,1880,1880,1880,1880,1880
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
面部识别,-,●,●,-,●,●
陡坡缓降,●,●,●,●,●,●
长度(mm),4866,4866,4866,4866,4866,4866
长*宽*高(mm),4866*1945*1880,4866*1945*1880,4866*1945*1880,4866*1945*1880,4866*1945*1880,4866*1945*1880
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,-,-,-
道路交通标识识别,-,●,●,-,-,-
远程启动功能,-,,,-,,
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,-,-,-
近光灯光源,,,,,,
轴距(mm),2986,2986,2986,2986,2986,2986
轮圈材质,,,,,,
车门数(个),,,,,,
车门开启方式,对开门,对开门,对开门,对开门,对开门,对开门
车道偏离预警系统,-,●,●,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门5座MPV,4门7座MPV,4门7座MPV,4门5座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,LEVC TX 2023款 TX5 增程出行版,LEVC TX 2023款 TX5 增程家庭版,LEVC TX 2023款 TX5 增程商务版,LEVC TX 2023款 TX5 纯电出行版,LEVC TX 2023款 TX5 纯电家庭版,LEVC TX 2023款 TX5 纯电商务版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,
语音分区域唤醒识别,,,,,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●
能源类型_y,增程式,增程式,增程式,纯电动,纯电动,纯电动
能源类型_x,增程式,增程式,增程式,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缸盖材料,铝合金,铝合金,铝合金,-,-,-
缸体材料,未知,未知,未知,-,-,-
级别,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV,中型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),19,19,19,19,19,19
百公里耗电量(kWh/100km),18,18,18,17.6,17.6,17.6
疲劳驾驶提示,-,●,●,-,●,●
电芯品牌,,,,,,
电能当量燃料消耗量(L/100km),2,2,2,1.99,1.99,1.99
电池预加热,●,●,●,●,●,●
电池能量密度(Wh/kg),-,-,-,174,174,174
电池能量(kWh),26,26,26,66.6,66.6,66.6
电池类型,,,,,,
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),163,163,163,163,163,163
电动机总扭矩(N·m),240,240,240,240,240,240
电动机总功率(kW),120,120,120,120,120,120
电动机(Ps),163,163,163,163,163,163
电动座椅记忆功能,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,-,-,-
环保标准_x,国VI,国VI,国VI,-,-,-
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,92号,92号,92号,-,-,-
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),36,36,36,-,-,-
气缸数(个),3,3,3,-,-,-
气缸排列形式,L,L,L,-,-,-
每缸气门数(个),4,4,4,-,-,-
最高车速(km/h),140,140,140,130,130,130
最大马力(Ps),163,163,163,163,163,163
最大满载质量(kg),2735,2735,2735,2575,2575,2575
最大扭矩转速(rpm),-,-,-,-,-,-
最大扭矩(N·m)_y,225,225,225,240,240,240
最大扭矩(N·m)_x,240,240,240,240,240,240
最大功率转速(rpm),-,-,-,-,-,-
最大功率(kW)_y,120,120,120,120,120,120
最大功率(kW)_x,120,120,120,120,120,120
最大净功率(kW),100,100,100,-,-,-
最低荷电状态油耗(L/100km),7.3,7.3,7.3,-,-,-
无钥匙进入功能,-,-,-,-,-,-
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,,,,,,
整备质量(kg),2210,2210,2210,2050,2050,2050
接近角(°),16,16,16,16,16,16
排量(mL),1477,1477,1477,-,-,-
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-
手机互联/映射,,,,,,
手机APP远程功能,-,,,-,,
慢充接口位置,车正前,车正前,车正前,车正前,车正前,车正前
感应雨刷功能,-,,,-,,
快充接口位置,车正前,车正前,车正前,车正前,车正前,车正前
快充功能,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,
