Feature,65829,65831
高度(mm),1544,1544
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,单电机,双电机
驱动方式,,
风阻系数(Cd),-,-
面部识别,●,●
隐藏电动门把手,●,●
陡坡缓降,●,●
长度(mm),4845,4845
长*宽*高(mm),4845*1994*1544,4845*1994*1544
钥匙类型,,
道路救援呼叫,●,●
道路交通标识识别,●,●
远程启动功能,,
远光灯光源,,
近光灯光源,,
运动风格座椅,●,●
辅助驾驶芯片,,
辅助驾驶等级,,
轴距(mm),2999,2999
轮圈材质,,
车门数(个),,
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车身结构_y,SUV跨界车,SUV跨界车
车身结构_x,4门5座SUV跨界车,4门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车机智能芯片,,
车型名称,Polestar 4 2024款 单电机标准续航PLUS 双星互联版,Polestar 4 2024款 双电机长续航PLUS  双星互联版
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
超声波雷达数量,,
语音连续识别,●,●
语音识别控制系统,,
语音分区域唤醒识别,,
语音免唤醒词,●,●
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驾驶辅助路段,,
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,●,●
能量回收系统,●,●
能源类型,纯电动,纯电动
胎压监测功能,,
缺气保用轮胎,-,-
级别,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,
第二排座椅电动调节,●,●
第二排座椅功能,,
空调温度控制方式,,
疲劳驾驶提示,●,●
电池预加热,●,●
电池能量(kWh),86,100
电池类型,,
电池慢充电量范围(%)_y,0-100,0-100
电池慢充电量范围(%)_x,0-100,0-100
电池慢充时间(小时)_y,15.5,17.5
电池慢充时间(小时)_x,15.5,17.5
电池快充电量范围(%)_y,5-80,5-80
电池快充电量范围(%)_x,5-80,5-80
电池快充时间(小时)_y,0.53,0.53
电池快充时间(小时)_x,0.53,0.53
电机类型,永磁/同步,永磁/同步
电机布局,后置,前置+后置
电动机总马力(Ps),272,544
电动机总扭矩(N·m),343,686
电动机总功率(kW),200,400
电动机(Ps),272,544
电动座椅记忆功能,,
电动后备厢位置记忆,●,●
电动后备厢,●,●
牵引力控制(ASR/TCS/TRC等),●,●
热泵空调,●,●
灯光特色功能,,
温度分区控制,●,●
液晶仪表尺寸,,
毫米波雷达数量,,
最高车速(km/h),200,200
最大满载质量(kg),-,-
最大扭矩(N·m),343,686
最大功率(kW),200,400
无钥匙进入功能,,
无钥匙启动系统,●,●
无框设计车门,●,●
方向盘记忆,●,●
方向盘离手检测,●,●
方向盘材质,,
方向盘换挡,-,-
方向盘加热,●,●
方向盘位置调节,,
整车质保,,
整备质量(kg),-,-
摄像头数量,,
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,,
手机无线充电功能,,
手机无线充电功率,,
手机互联/映射,,
手机APP远程功能,,
慢充接口位置,车左后侧,车左后侧
感应雨刷功能,,
感应后备厢,●,●
快充接口位置,车左后侧,车左后侧
快充功能,支持,支持
快充功率(kW),200,200
座椅材质,,
座位数(个),,
并线辅助,●,●
巡航系统,,
导航路况信息显示,●,●
对外放电,●,●
对外交流放电功率(kW),3.5,3.5
宽度(mm),1994,1994
官方0-100km/h加速(s),7.1,3.8
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,●,●
多层隔音玻璃,,
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,,
地图品牌,,
四驱形式,-,
后雨刷,-,-
后轮距(mm),-,-
后轮胎规格,,
后电动机最大扭矩(N·m),343,343
后电动机最大功率(kW),200,200
后方碰撞预警,●,●
后排独立空调,●,●
后排液晶屏幕尺寸,,
后排杯架,●,●
后排控制多媒体,●,●
