Feature,68743,68744,69690,70524
高度(mm),1705,1705,1830,1705
高压快充,-,-,支持,支持
高压平台（V）,-,-,800,800
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,单电机,单电机,双电机,单电机
驱动方式,,,,
风阻系数(Cd),-,-,-,-
面部识别,●,●,●,●
零重力座椅,-,,-,
隐藏电动门把手,●,●,●,●
陡坡缓降,●,●,●,●
防侧翻系统,●,●,●,●
长度(mm),4705,4705,4705,4705
长*宽*高(mm),4705*1920*1705,4705*1920*1705,4705*1945*1830,4705*1920*1705
钥匙类型,,,,
遥控泊车,●,●,●,●
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远光灯光源,,,,
近光灯光源,,,,
辅助驾驶路段,-,,,
辅助驾驶芯片,-,-,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
辅助泊车入位,●,●,●,●
辅助变道,●,●,●,●
辅助匝道自动驶出(入),-,●,●,●
轴距(mm),2900,2900,2900,2900
轮圈材质,,,,
车顶行李架,●,●,●,●
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,-,●,●,●
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机系统存储(GB),,,,
车机系统内存(GB),,,,
车机智能芯片,,,,
车型名称,smart精灵#5 2024款 长续航奇旅 标准版,smart精灵#5 2024款 长续航奇旅 豪华版,smart精灵#5 2024款 丛林之境 限量版,smart精灵#5 2024款 超长续航奇旅 豪华版
车前雾灯,-,-,-,-
车内香氛装置,-,○,-,○
车内环境氛围灯,,,,
车内摄像头数量,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车侧脚踏板,-,,,
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音助手唤醒词,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
记忆泊车,-,●,●,●
触摸式阅读灯,●,●,●,●
行车电脑显示屏幕,,,,
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
芯片总算力,-,-,,
自适应远近光,●,●,●,●
自动驻车,●,●,●,●
自动头灯,●,●,●,●
能量回收系统,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,
级别,中型SUV,中型SUV,中型SUV,中型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,
第二排座椅电动调节,●,●,●,●
第二排座椅功能,-,,-,
空调温度控制方式,,,,
空气质量监测,-,●,●,●
空气悬架,-,-,●,-
离去角(°),21,21,21,21
百公里耗电量(kWh/100km),15.8,15.8,16.9,15.2
疲劳驾驶提示,●,●,●,●
电芯品牌,,,,
电能当量燃料消耗量(L/100km),1.83,1.83,1.96,1.76
电池预加热,●,●,●,●
电池能量(kWh),76,76,100,100
电池类型,,,,
电池快充电量范围(%)_y,10-80,10-80,10-80,10-80
电池快充电量范围(%)_x,10-80,10-80,10-80,10-80
电池快充时间(小时)_y,0.5,0.5,0.25,0.25
电池快充时间(小时)_x,0.5,0.5,0.25,0.25
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,前感应/异步 后永磁/同步,永磁/同步
电机布局,后置,后置,前置+后置,后置
电动机总马力(Ps),340,340,646,363
电动机总扭矩(N·m),373,373,710,373
电动机总功率(kW),250,250,475,267
电动机(Ps),340,340,646,363
电动座椅记忆功能,,,,
电动后备厢位置记忆,●,●,●,●
电动后备厢,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●
热泵空调,-,●,●,●
灯光特色功能,-,-,,-
激光雷达数量,-,-,,
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
毫米波雷达数量,,,,
杜比全景声(Dolby Atmos),-,○,●,○
最高车速(km/h),200,200,210,200
