Feature,1016834,1016835,1016836,1016837,1016838,1016839
高度(mm),2035,2035,2035,2035,2035,2035
驾驶辅助影像,-,-,,-,-,
驾驶模式切换,-,-,-,-,-,-
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱,后置后驱
陡坡缓降,-,-,-,-,-,-
长度(mm),5420,5420,5420,5420,5420,5420
长*宽*高(mm),5420*1715*2035,5420*1715*2035,5420*1715*2035,5420*1715*2035,5420*1715*2035,5420*1715*2035
钥匙类型,,,,,,
远光灯光源,,,,,,
近光灯光源,,,,,,
轴距(mm),3380,3380,3380,3380,3380,3380
轮圈材质,,,,,,
车门数(个),5,5,5,5,5,5
车道偏离预警系统,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车联网,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-
车型名称,万象T02 2023款 41.86kWh标准版,万象T02 2023款 41.86kWh舒适版,万象T02 2023款 41.86kWh豪华版,万象T02 2023款 46.36kWh标准版,万象T02 2023款 46.36kWh舒适版,万象T02 2023款 46.36kWh豪华版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
货箱尺寸(mm),3150x1550x1350,3150x1550x1350,3150x1550x1350,3150x1550x1350,3150x1550x1350,3150x1550x1350
语音识别控制系统,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,○,○,○,○,○,○
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-
缺气保用轮胎,-,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
百公里耗电量(kWh/100km),-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-
电池类型,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池,磷酸铁锂电池
电池容量(kWh),41.86,41.86,41.86,46.36,46.36,46.36
电池充电时间,-,-,-,-,-,-
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置
电动机总扭矩(N·m),230,230,230,230,230,230
电动机总功率(kW),70,70,70,70,70,70
电动机(Ps),95,95,95,95,95,95
电动座椅记忆功能,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-
液晶仪表尺寸,-,-,-,-,-,-
最高车速(km/h),90,90,90,90,90,90
最小离地间隙(mm),125,125,125,125,125,125
最大载重质量(kg),1410,1410,1410,1410,1410,1410
最大扭矩(N·m),230,230,230,230,230,230
最大功率(kW),70,70,70,70,70,70
无钥匙进入功能,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-
整车质保,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里,三年或6万公里
整备质量(kg),1710,1710,1710,1710,1710,1710
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-
手机互联/映射,-,-,-,-,-,-
慢充时间(小时),6,6,6,6,6,6
感应雨刷功能,-,-,-,-,-,-
