Feature,1007081,1007098,1007099,1007100,1007102,1007104,1007106,1007107,1007108,1007109,1007110,1007111,1008075,1008076,1008077
高度(mm),1895,1895,1895,1895,1895,1895,1910,1910,1910,1910,1910,1910,1895,1895,1895
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4500,4500,4500,4500,4500,4500,5090,5090,5090,5090,5090,5090,4500,4500,4500
长*宽*高(mm),4500×1780×1895,4500×1780×1895,4500×1780×1895,4500×1780×1895,4500×1780×1895,4500×1780×1895,5090×1780×1910,5090×1780×1910,5090×1780×1910,5090×1780×1910,5090×1780×1910,5090×1780×1910,4500×1780×1895,4500×1780×1895,4500×1780×1895
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2910,2910,2910,2910,2910,2910,3285,3285,3285,3285,3285,3285,2910,2910,2910
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车,货车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,上汽MAXUS EV30 2019款 城市物流车智联版短轴上汽时代35kWh,上汽MAXUS EV30 2019款 城市物流车智运版短轴上汽时代35kWh,上汽MAXUS EV30 2019款 城市物流车快运版短轴上汽时代35kWh,上汽MAXUS EV30 2019款 城市物流车智运版短轴盟固利35kWh,上汽MAXUS EV30 2019款 城市物流车快运版短轴盟固利35kWh,上汽MAXUS EV30 2019款 城市物流车智联版短轴盟固利35kWh,上汽MAXUS EV30 2019款 城市物流车智联版长轴上汽时代52.5kWh,上汽MAXUS EV30 2019款 城市物流车智联版长轴盟固利35kWh,上汽MAXUS EV30 2019款 城市物流车快运版长轴上汽时代52.5kWh,上汽MAXUS EV30 2019款 城市物流车快运版长轴盟固利35kWh,上汽MAXUS EV30 2019款 城市物流车智运版长轴上汽时代52.5kWh,上汽MAXUS EV30 2019款 城市物流车智运版长轴盟固利35kWh,上汽MAXUS EV30 2019款 城市物流车智运版短轴上汽时代52.5kWh,上汽MAXUS EV30 2019款 城市物流车快运版短轴上汽时代52.5kWh,上汽MAXUS EV30 2019款 城市物流车智联版短轴上汽时代52.5kWh
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
货箱尺寸(mm),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电池组质保,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查,待查
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电池容量(kWh),35,35,35,35,35,35,52.5,35,52.5,35,52.5,35,52.5,52.5,52.5
电池充电时间,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电机类型,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步,永磁 / 同步
电机布局,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动机总扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
电动机总功率(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
电动机(Ps),95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最高车速(km/h),90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
最小离地间隙(mm),145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
最大扭矩(N·m),220,220,220,220,220,220,220,220,220,220,220,220,220,220,220
最大功率(kW),70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
无钥匙启动系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整车质保,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
整备质量(kg),1420,1420,1420,1420,1420,1420,1560,1500,1560,1500,1560,1500,1480,1480,1480
挡位个数,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
慢充时间(小时),5,5,5,5,5,5,8,5,8,5,8,5,8,8,8
感应后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
快充电量百分比,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
快充时间(小时),0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
座位数(个),2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
并线辅助,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
工信部续航里程(km),235,235,235,235,235,235,325,225,325,225,325,225,335,335,335
工信部纯电续航里程(km),235,235,235,235,235,235,325,225,325,225,325,225,335,335,335
宽度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
多功能方向盘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后风挡遮阳帘,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553
后轮胎规格,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排车门开启方式,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门,侧滑门
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅电动调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排侧隐私玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧,钢板弹簧
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后制动器类型,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式,鼓式
可变转向比,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),14.49万,14.09万,13.67万,13.29万,12.87万,13.69万,18.17万,14.19万,17.35万,13.37万,17.77万,13.79万,17.27万,16.85万,17.67万
厂商,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通,上汽大通
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
前轮距(mm),1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
前轮胎规格,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT,185/65 R15LT
前电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前电动机最大功率(kW),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
