Feature,43684,43686,43687,43688,43689,43690,43691,43692,43693,51603,51604,51605,51606,51607,51608,62259,62260,62261,62262,66606
高度(mm),1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928,1928
驾驶辅助影像,-,,,-,,,,,,,,-,,,,,,,,
驾驶模式切换,,,,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168,5168
长*宽*高(mm),5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928,5168*1980*1928
钥匙类型,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,
轴距(mm),3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198,3198
轮圈材质,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,4门7座MPV,4门7座MPV,4门9座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门9座MPV,4门7座MPV,4门9座MPV,5门7座MPV,5门9座MPV,4门7座MPV,4门7座MPV,4门8座MPV,4门9座MPV,5门7座MPV,4门7座MPV,5门7座MPV,4门7座MPV,4门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
车窗一键升降功能,,,,,,,,,,,,,,,,-,-,-,-,-
车型名称,大通G10 2021款 2.0T 自动智享版 汽油 7座,大通G10 2021款 2.0T 自动精英版 汽油 7座,大通G10 2021款 2.0T 自动精英版 汽油 9座,大通G10 2021款 2.0T 手动智享版 柴油 7座,大通G10 2021款 2.0T 手动精英版 柴油 7座,大通G10 2021款 2.0T 手动精英版 柴油 8座,大通G10 2021款 2.0T 手动精英版 柴油 9座,大通G10 2021款 2.0T 自动精英版 柴油 7座,大通G10 2021款 2.0T 自动精英版 柴油 9座,大通G10 2022款 2.0T 手动超值版 汽油 7座,大通G10 2022款 2.0T 手动超值版 汽油 9座,大通G10 2022款 2.0T 自动智享版 汽油 7座,大通G10 2022款 2.0T 自动精英版 汽油 7座,大通G10 2022款 2.0T 自动精英版 汽油 8座,大通G10 2022款 2.0T 自动精英版 汽油 9座,大通G10 2023款 2.0T 手动多功能版 柴油 7/8/9座,大通G10 2023款 2.0T 手动多功能旅行版 柴油 7/8座,大通G10 2023款 改款 2.0L 手动多功能版 汽油 7座,大通G10 2023款 2.0L 手动多功能旅行版 汽油 7座,大通G10 2024款 2.0L 手动多功能旅行版 CNG 7座
车前雾灯,,,,,,,,,,,,,,,,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,-,-,-,-,-
蓝牙/车载电话,-,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型_y,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油+CNG
能源类型_x,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,柴油,柴油,汽油,汽油,汽油+CNG
胎压监测功能,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铸铁,铸铁,铝合金,铝合金,铝合金
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,6挡手自一体,6挡手自一体,6挡手自一体,6挡手动,6挡手动,6挡手动,6挡手动,8挡手自一体,8挡手自一体,6挡手动,6挡手动,8挡手自一体,8挡手自一体,8挡手自一体,8挡手自一体,6挡手动,6挡手动,5挡手动,5挡手动,5挡手动
第二排独立座椅,●,●,●,●,●,-,●,●,●,●,●,●,●,-,●,●,●,●,●,●
第二排座椅调节,,,,,,,,,,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,,,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-,-,-,-
燃油标号,92号,92号,92号,0号,0号,0号,0号,0号,0号,92号,92号,92号,92号,92号,92号,0号,0号,92号,92号,92号
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),75,75,-,75,75,-,-,75,-,-,-,75,75,-,-,75,75,75,75,15
气罐容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,150
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,150,150,150
