Feature,70639,72143
高度(mm),1778,1778
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,,
驱动电机数,单电机,单电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
长度(mm),4825,4825
长*宽*高(mm),4825*1825*1778,4825*1825*1778
钥匙类型,,
配气机构,DOHC,DOHC
远光灯光源,,
进气形式,自然吸气,自然吸气
近光灯光源,,
辅助驾驶等级,,
轴距(mm),2800,2800
轮圈材质,,
车顶行李架,●,●
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,○,○
车道保持辅助系统,○,○
车载空气净化器,-,-
车身结构_y,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,○,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,大通G50插电混动 2025款 领航版,大通G50插电混动 2025款 旗舰版
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
超声波雷达数量,,
语音识别控制系统,,
行车电脑显示屏幕,,
蓝牙/车载电话,●,●
自适应远近光,-,-
自动驻车,●,●
自动头灯,●,●
能量回收系统,●,●
能源类型_y,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力
胎压监测功能,,
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,紧凑型MPV,紧凑型MPV
简称,1挡DHT,1挡DHT
第二排独立座椅,●,●
第二排座椅调节,,
空调温度控制方式,,
离去角(°),16,16
百公里耗电量(kWh/100km),15.1,15.1
疲劳驾驶提示,-,-
电芯品牌,,
电池预加热,●,●
电池能量(kWh),18.65,18.65
电池类型,,
电机类型,永磁/同步,永磁/同步
电机布局,前置,前置
电动机总马力(Ps),218,218
电动机总扭矩(N·m),280,280
电动机总功率(kW),160,160
电动机(Ps),218,218
电动座椅记忆功能,-,-
电动后备厢,○,●
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●
燃油标号,92号,92号
温度分区控制,-,-
液晶仪表尺寸,,
油箱容积(L),60,60
油电综合燃料消耗量(L/100km),3.17,3.17
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),180,180
最大马力(Ps),98,98
最大满载质量(kg),2325,2325
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,130,130
最大扭矩(N·m)_x,-,-
最大功率转速(rpm),-,-
最大功率(kW)_y,72,72
最大功率(kW)_x,-,-
最大净功率(kW),70,70
最低荷电状态油耗(L/100km)WLTC,5.4,5.4
无钥匙进入功能,,
无钥匙启动系统,●,●
方向盘记忆,-,-
方向盘材质,,
方向盘换挡,-,-
方向盘加热,○,●
方向盘位置调节,,
整车质保,,
整备质量(kg),1800,1800
摄像头数量,,
接近角(°),15,15
排量(mL),1499,1499
换挡形式,,
挡位个数,1,1
扬声器数量,,
扬声器品牌名称,-,-
手机无线充电功能,-,
手机互联/映射,,
手机APP远程功能,,
慢充接口位置,车左后侧,车左后侧
感应雨刷功能,-,-
快充功能,不支持,不支持
座椅材质,,
座椅布局,,
座位数(个),,
并线辅助,-,-
巡航系统,,
导航路况信息显示,○,●
对外放电,●,●
对外交流放电功率(kW),6.6,6.6
宽度(mm),1825,1825
官方0-100km/h加速(s),-,-
安全带未系提醒,,
天窗类型,,
大灯高度可调,●,●
大灯延时关闭,-,-
多媒体/充电接口,,
多功能方向盘,●,●
外后视镜功能,,
备胎规格,-,-
地图品牌,,
后雨刷,●,●
后轮距(mm),1570,1570
后轮胎规格,,
后排独立空调,●,●
后排杯架,●,●
后排座椅放倒形式,,
后排侧隐私玻璃,○,●
后悬架类型,,
后座出风口,●,●
后备厢容积(L),406-1162,406-1162
后制动器类型,,
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,1挡DHT,1挡DHT
发动机电子防盗,●,●
发动机布局,横置,横置
发动机型号,H15R,H15R
发动机,1.5L 98马力 L4,1.5L 98马力 L4
厂商指导价(元),13.98万,14.98万
厂商,上汽大通,上汽大通
卫星导航系统,○,●
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,,
前轮距(mm),1560,1560
前轮胎规格,,
前电动机最大扭矩(N·m),280,280
前电动机最大功率(kW),160,160
前电动机型号,TZ220XY008,TZ220XY008
前方碰撞预警,○,○
前方感知摄像头,,
前排座椅功能,,
前悬架类型,,
前制动器类型,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●
制动力分配(EBD/CBC等),●,●
内后视镜功能,,
全液晶仪表盘,●,●
供油方式,多点电喷,多点电喷
低速行车警告,●,●
主座椅调节方式,,
主动刹车/主动安全系统,○,○
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,
中控屏幕尺寸,,
上市时间,2025.04,2025.04
三电首任车主质保政策,,
WLTC综合油耗(L/100km),1.42,1.42
WLTC纯电续航里程(km)_y,85,85
WLTC纯电续航里程(km)_x,85,85
USB/Type-C最大充电功率,,
USB/Type-C接口数量,,
OTA升级,-,-
LED日间行车灯,●,●
ISOFIX儿童座椅接口,●,●
ETC装置,○,○
CLTC综合续航(km),1405,1405
CLTC纯电续航里程(km)_y,105,105
CLTC纯电续航里程(km)_x,105,105
ABS防抱死,●,●
4G/5G网络,,
