Feature,1020906,1020907,1020908
高度(mm),1950,1950,1950
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,●,●,●
限滑差速器/差速锁,-,,
防侧翻系统,●,●,●
长度(mm),5494,5494,5494
长*宽*高(mm),5494*1960*1950,5494*1960*1950,5494*1960*1950
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
道路交通标识识别,-,-,●
透明底盘/540度影像,○,○,●
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
辅助驾驶等级,-,-,
辅助变道,-,-,●
轴距(mm),3300,3300,3300
轮圈材质,,,
转向辅助灯,●,●,●
车顶行李架,○,○,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,-,-,●
车道偏离预警系统,-,-,●
车道保持辅助系统,-,-,●
车载空气净化器,-,-,-
车身结构_y,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,郑州日产Z9 GE PHEV 2025款 135KM 后驱智享版,郑州日产Z9 GE PHEV 2025款 135KM 四驱探索版,郑州日产Z9 GE PHEV 2025款 135KM 四驱尊享版
车前雾灯,,,
车内环境氛围灯,-,-,-
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车侧脚踏板,,,
车体结构,非承载式,非承载式,非承载式
货箱尺寸(mm),1520*1600*490,1520*1600*490,1520*1600*490
语音识别控制系统,,,
触摸式阅读灯,-,-,●
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,-,-,●
自动驻车,●,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,皮卡,皮卡,皮卡
系统综合扭矩(N·m),800,800,800
系统综合功率(kW),320,320,320
系统综合功率(Ps),435,435,435
简称,4挡DHT,4挡DHT,4挡DHT
第二排座椅调节,,,
空调温度控制方式,,,
离去角(°),25,25,25
疲劳驾驶提示,-,-,-
电芯品牌,,,
电池预加热,●,●,●
电池能量(kWh),32.85,32.85,32.85
电池类型,,,
电池快充电量范围(%)_y,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置
电动机总马力(Ps),212,212,212
电动机总扭矩(N·m),350,350,350
电动机总功率(kW),156,156,156
电动机(Ps),212,212,212
电动座椅记忆功能,-,-,
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
温度分区控制,○,○,●
液晶仪表尺寸,,,
油箱容积(L),67,67,67
气缸数(个),4,4,4
气缸排列形式,L,L,L
每缸气门数(个),4,4,4
最高车速(km/h),170,170,170
最小离地间隙(mm),232,232,232
最大马力(Ps),147,147,147
最大载重质量(kg),490,490,401
最大爬坡度(%),100,100,100
最大满载质量(kg),3135,3235,3235
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,220,220,220
最大扭矩(N·m)_x,800,800,800
最大功率转速(rpm),-,-,-
最大功率(kW)_y,108,108,108
最大功率(kW)_x,320,320,320
最大净功率(kW),105,105,105
最低荷电状态油耗(L/100km)NEDC,7.2,7.2,7.2
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,●
方向盘位置调节,,,
整车质保,-,-,-
整备质量(kg),2320,2420,2509
接近角(°),30,30,30
排量(mL),1497,1497,1497
挡位个数,4,4,4
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,
手机无线充电功率,,,
手机互联/映射,-,-,-
手机APP远程功能,,,
感应雨刷功能,-,-,-
快充接口位置,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),,,
并线辅助,-,-,●
巡航系统,,,
导航路况信息显示,●,●,●
对外放电,●,●,●
对外交流放电功率(kW),6,6,6
宽度(mm),1960,1960,1960
官方0-100km/h加速(s),-,-,-
安全带未系提醒,,,
天窗类型,-,-,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
地图品牌,,,
四驱形式,-,,
后雨刷,-,-,-
后轮距(mm),1650,1650,1650
后轮胎规格,,,
后电动机型号,TZ220XY001,TZ220XY001,TZ220XY001
后电动机品牌,博格华纳,博格华纳,博格华纳
后方碰撞预警,-,-,●
后排车门开启方式,,,
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),-,-,-
后制动器类型,,,
变速箱类型,混合动力专用变速箱(DHT),混合动力专用变速箱(DHT),混合动力专用变速箱(DHT)
变速箱,4挡DHT,4挡DHT,4挡DHT
发动机电子防盗,●,●,●
发动机布局,纵置,纵置,纵置
发动机型号,DFMC15TE3,DFMC15TE3,DFMC15TE3
发动机,1.5T 147马力 L4,1.5T 147马力 L4,1.5T 147马力 L4
厂商指导价(元),17.59万,18.69万,21.99万
厂商,郑州日产,郑州日产,郑州日产
卫星导航系统,●,●,●
助力类型,,,
副座椅调节方式,,,
前轮距(mm),1650,1650,1650
前轮胎规格,,,
前电动机最大扭矩(N·m),350,350,350
前电动机最大功率(kW),156,156,156
前方碰撞预警,-,-,●
前排座椅功能,,,
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,前○&nbsp;/&nbsp;后●,前○&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,前●&nbsp;/&nbsp;后●
