Feature,1015746,1015747,1015748,1015749,1015750,1015751,1015752,1015753,1015754,1015755,1015756,1015757,1015758,1015759,1015760,1015761,1015762,1015763,1016448,1016449,1019668,1019669,1019670,1019677,1020337,1020338,1020863
高度(mm),1690,1690,1725,1725,1690,1690,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725,1690,1725,1715,1715,1725,1900,1725,1725,1900
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5085,5085,5085,5085,5400,5400,5400,5400,5085,5085,5085,5085,5400,5400,5400,5400,5085,5085,5085,5085,5400,5400,5400,5085,5085,5400,5085
长*宽*高(mm),5085×1820×1690,5085×1820×1690,5085×1820×1725,5085×1820×1725,5400×1820×1690,5400×1820×1690,5400×1820×1725,5400×1820×1725,5085×1820×1725,5085×1820×1725,5085×1820×1725,5085×1820×1725,5400×1820×1725,5400×1820×1725,5400×1820×1725,5400×1820×1725,5085*1842*1725,5085*1842*1725,5085×1820×1690,5085×1820×1725,5400*1820*1715,5400*1820*1715,5400*1820*1725,5085*1820*1900,5085×1820×1725,5400*1820*1725,5085*1820*1900
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3365,3365,3365,3365,3050,3050,3050,3050,3365,3365,3365,3365,3050,3050,3050,3050,3365,3365,3365,3050,3050,3365,3050
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,锐骐 2023款 2.4T柴油两驱创业版基型车YCY24165-61,锐骐 2023款 2.4T柴油两驱小康版基型车YCY24165-61,锐骐 2023款 2.4T柴油四驱创业版基型车YCY24165-61,锐骐 2023款 2.4T柴油四驱小康版基型车YCY24165-61,锐骐 2023款 2.4T柴油两驱创业版长货箱YCY24165-61,锐骐 2023款 2.4T柴油两驱小康版长货箱YCY24165-61,锐骐 2023款 2.4T柴油四驱创业版长货箱YCY24165-61,锐骐 2023款 2.4T柴油四驱小康版长货箱YCY24165-61,锐骐 2023款 2.4L汽油两驱创业版基型车2TZH,锐骐 2023款 2.4L汽油两驱小康版基型车2TZH,锐骐 2023款 2.4L汽油四驱创业版基型车2TZH,锐骐 2023款 2.4L汽油四驱小康版基型车2TZH,锐骐 2023款 2.4L汽油两驱创业版长货箱2TZH,锐骐 2023款 2.4L汽油两驱小康版长货箱2TZH,锐骐 2023款 2.4L汽油四驱创业版长货箱2TZH,锐骐 2023款 2.4L汽油四驱小康版长货箱2TZH,锐骐 2023款 2.4T柴油四驱山地版舒适型YCY24165-61,锐骐 2023款 2.4T柴油四驱山地版豪华型YCY24165-61,锐骐 2023款 2.4T柴油两驱科技版基型车YCY24165-61,锐骐 2023款 2.4L汽油两驱科技版基型车2TZH,锐骐 2025款 2.4L CNG 双气瓶 四驱版 2TZH,锐骐 2025款 2.4L CNG 单气瓶 四驱版 2TZH,锐骐 2025款 2.4L CNG 单气瓶 两驱版 2TZH,锐骐 2024款 2.4L 汽油手动两驱创业版,锐骐 2025款 2.4T 柴油四驱手动标箱超能版,锐骐 2025款 2.4T  柴油四驱手动长货箱超能版,锐骐 2025款 厢式检修车 2.4L 汽油手动两驱创业版
车前雾灯,,,,,,,,,,,,,,,,,,,,,,,,,-,-,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
