Feature,1000333,1000334,1000335,1000336,1000337,1000338,1000339,1000340,1000341,1000342,1001430,1001431,1001432,1001433,1001434,1001435,1001932,1001933,1001934
高度(mm),1895,1895,1895,1940,1895,1895,1940,1895,1895,1940,1895,1895,1940,1895,1895,1940,1940,1895,1895
驱动方式,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4949,4949,4949,4949,4975,4975,4975,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949,4949
长*宽*高(mm),4949×1690×1895,4949×1690×1895,4949×1690×1895,4949×1820×1940,4975×1690×1895,4975×1690×1895,4975×1820×1940,4949×1690×1895,4949×1690×1895,4949×1820×1940,4949×1690×1895,4949×1690×1895,4949×1820×1940,4949×1690×1895,4949×1690×1895,4949×1820×1940,4949×1820×1940,4949×1690×1895,4949×1690×1895
铝合金轮圈,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
轴距(mm),2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950,2950
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
