Feature,1006117,1006118,1006119,1006120,1006121,1006122,1006123,1006124,1006125,1006126,1006127,1006128,1006129,1006130,1006131,1006132
高度(mm),1738,1725,1738,1725,1738,1725,1738,1725,1738,1725,1738,1725,1728,1715,1693,1680
驱动方式,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱,前置四驱,前置四驱,前置后驱,前置后驱
零胎压继续行驶,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
防紫外线玻璃,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5410,5410,5410,5410,5095,5095,5095,5095,5410,5410,5410,5410,5095,5095,5095,5095
长*宽*高(mm),5410×1820×1738,5410×1820×1725,5410×1820×1738,5410×1820×1725,5095×1820×1738,5095×1820×1725,5095×1820×1738,5095×1820×1725,5410×1820×1738,5410×1820×1725,5410×1820×1738,5410×1820×1725,5095×1820×1728,5095×1820×1715,5095×1720×1693,5095×1720×1680
铝合金轮圈,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
遮阳板化妆镜,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
遥控钥匙,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
远光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素,卤素
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3365,3365,3365,3365,3050,3050,3050,3050,3365,3365,3365,3365,3050,3050,3050,3050
