Feature,57185,57593,58958,59143,59144,59145,60257,63280,63281,65514,65515,66519,66520,68801,68802
高度(mm),1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490
驾驶辅助影像,,,,,,,,,,-,-,,,-,-
驾驶模式切换,,,-,-,-,-,,,,-,-,-,,-,-
驻车制动类型,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,
首任车主质保政策,,,,,,,,,,-,-,,,-,-
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4660,4670,4670,4660,4670,4670,4670,4670,4670,4660,4670,4670,4670,4619,4619
长*宽*高(mm),4660*1812*1490,4670*1812*1490,4670*1812*1490,4660*1812*1490,4670*1812*1490,4670*1812*1490,4670*1812*1490,4670*1812*1490,4670*1812*1490,4660*1812*1490,4670*1812*1490,4670*1812*1490,4670*1812*1490,4619*1812*1490,4619*1812*1490
钥匙类型,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
透明底盘/540度影像,●,●,-,-,-,●,●,●,●,-,-,-,○,-,-
远程启动功能,,,,-,,,,,,-,-,,,-,-
远光灯光源,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,涡轮增压,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,
运动风格座椅,-,●,●,●,●,●,●,●,●,●,●,-,-,●,●
轴距(mm),2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680,2646,2646
轮圈材质,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,,,-,-,,,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),-,●,●,●,●,●,●,●,●,●,●,●,●,-,-
车联网,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,
车型名称,奕炫 2022款 230T 自动追光骑士版,奕炫 2023款 马赫版 1.5T 自动追梦骑士版,奕炫 2023款 1.5L 自动荣耀版,奕炫 2023款 马赫版 1.5L 手动追风版,奕炫 2023款 马赫版 1.5L 自动追风版,奕炫 2023款 马赫版 1.5L 自动追影版,奕炫 2023款 马赫版 1.5T 自动追猎骑士版,奕炫 2023款 马赫版 1.5T 自动冠军版,奕炫 2023款 马赫版 1.5T 自动冠军版PLUS,奕炫 2023款 1.5L 手动畅享版,奕炫 2023款 1.5L 自动畅享版,奕炫 2024款 1.5L 自动劲速版,奕炫 2024款 1.5T 自动劲擎版,奕炫 2024款 驾考车 C1,奕炫 2024款 驾考车 C2
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,,,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,,-,-
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,,-,-,,,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,●,●,-,●,●,●,●,●,-,●,●,●,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,5挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,5挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,5挡手动,6挡湿式双离合
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,,,
离去角(°),18,17,17,18,17,17,17,17,17,18,17,17,17,18,17
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,●,●,●,●,●,●,●,●,●,●,●,●,-,-
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,,,,,,,,
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),190,200,180,175,180,180,200,200,200,175,180,180,200,175,180
最小转弯半径(m),5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75,5.75
最大马力(Ps),150,197,125,125,125,125,197,197,197,125,125,125,197,125,125
最大满载质量(kg),1663,1654,1631,1616,1631,1631,1654,1654,1654,1616,1631,1631,1654,1616,1631
最大扭矩转速(rpm),1800-4000,2000-4000,4500,4500,4500,4500,2000-4000,2000-4000,2000-4000,4500,4500,4500,2000-4000,4500,4500
最大扭矩(N·m)_y,230,300,158,158,158,158,300,300,300,158,158,158,300,158,158
最大扭矩(N·m)_x,230,300,158,158,158,158,300,300,300,158,158,158,300,158,158
最大功率转速(rpm),5500,5200,6000,6000,6000,6000,5200,5200,5200,6000,6000,6000,5200,6000,6000
最大功率(kW)_y,110,145,92,92,92,92,145,145,145,92,92,92,145,92,92
最大功率(kW)_x,110,145,92,92,92,92,145,145,145,92,92,92,145,92,92
最大净功率(kW),105,140,86,86,86,86,140,140,140,86,86,86,140,86,86
无钥匙进入功能,,,,,,,,,,-,-,,,-,-
无钥匙启动系统,●,●,●,●,●,●,●,●,●,●,●,●,●,-,-
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,,,
整备质量(kg),1273,1253,1232,1203,1232,1232,1253,1253,1253,1203,1232,1232,1253,1180,1200
接近角(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
排量(mL),1460,1476,1496,1496,1496,1496,1476,1476,1476,1496,1496,1496,1476,1496,1496
换挡形式,,,,,,,,,,,,,,,
挡位个数,6,6,6,5,6,6,6,6,6,5,6,6,6,5,6
扬声器数量,,,,,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,,-,-,-,-,-,-,,-,-,-,-,-,-
手机互联/映射,,,,,,,,,,-,-,,,-,-
手机APP远程功能,,,,,,,,,,-,-,,,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,○,-,-,-,-,○,○,○,-,-,-,-,-,-
座椅材质,,,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,,,
并线辅助,-,●,-,-,-,-,-,-,●,-,-,-,-,-,-
巡航系统,,,,-,,,,,,-,-,,,-,-
导航路况信息显示,●,●,●,●,●,●,●,●,●,-,-,●,●,-,-
宽度(mm),1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,,,,,
天窗类型,,,-,-,-,,,,,-,-,-,,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,,-,-
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
外观套件,,-,-,-,-,-,-,-,-,-,-,-,,-,-
外后视镜功能,,,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,,,
地图品牌,-,,,,,,,,,-,-,,,-,-
后雨刷,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后轮距(mm),1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553,1553
后轮胎规格,,,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,,-,-,-,-,-,-,,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,,,
后座出风口,●,●,-,-,-,●,●,●,●,-,-,-,-,-,-
后备厢容积(L),454,454,454,454,454,454,454,454,454,454,454,454,454,454,454
后制动器类型,,,,,,,,,,,,,,,
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),手动变速箱(MT),湿式双离合变速箱(DCT)
变速箱,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,5挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,5挡手动,6挡湿式双离合,6挡湿式双离合,6挡湿式双离合,5挡手动,6挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,横置,-,-
发动机型号,DFMA15T,DFMC15TP1,DFMC15DR,DFMC15DR,DFMC15DR,DFMC15DR,DFMC15TP1,DFMC15TP1,DFMC15TP1,DFMC15DR,DFMC15DR,DFMC15DR,DFMC15TP1,DFMC15DR,DFMC15DR
发动机,1.5T 150马力 L4,1.5T 197马力 L4,1.5L 125马力 L4,1.5L 125马力 L4,1.5L 125马力 L4,1.5L 125马力 L4,1.5T 197马力 L4,1.5T 197马力 L4,1.5T 197马力 L4,1.5L 125马力 L4,1.5L 125马力 L4,1.5L 125马力 L4,1.5T 197马力 L4,1.5L 125马力 L4,1.5L 125马力 L4
厂商指导价(元),8.89万,9.39万,8.39万,6.49万,6.99万,7.99万,8.99万,8.99万,9.39万,7.99万,8.59万,7.79万,8.79万,8.29万,8.69万
