Feature,1007969,1007970,1007971,1007972,1007973,1007974,1007975,1007976,1009955,1009956,1009957,1009958,1012770,1012771,1012772,1012773,1013523,1013524,1013525,1013526,1013527,1013528,1013529,1013531,1013539,1013540,1013541,1013542,1015455,1015937,1015938,1015939,1015940
高度(mm),1775,1775,1775,1775,1775,1775,1775,1775,1775,1775,1780,1775,1824,1824,1824,1824,1825,1825,1825,1825,1825,1825,1824,1824,1824,1824,1824,1824,1824,1825,1825,1825,1825
驾驶辅助影像,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5319,5614,5319,5614,5319,5614,5319,5614,5614,5614,5582,5614,5553,5553,5553,5553,5319,5614,5614,5319,5614,5614,5258,5258,5328,5623,5328,5623,5553,5319,5319,5614,5614
长*宽*高(mm),5319×1812×1775,5614×1812×1775,5319×1812×1775,5614×1812×1775,5319×1812×1775,5614×1812×1775,5319×1812×1775,5614×1812×1775,5614×1812×1775,5614×1812×1775,5582×1825×1780,5614×1812×1775,5553×1800×1824,5553×1800×1824,5553×1800×1824,5553×1800×1824,5319×1812×1825,5614×1812×1825,5614×1812×1825,5319×1812×1825,5614×1812×1825,5614×1812×1825,5258×1800×1824,5258×1800×1824,5328×1812×1824,5623×1812×1824,5328×1812×1824,5623×1812×1824,5553×1800×1824,5319×1812×1825,5319×1812×1825,5614×1812×1825,5614×1812×1825
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3100,3395,3100,3395,3100,3395,3100,3395,3395,3395,3420,3395,3420,3420,3420,3420,3100,3395,3395,3100,3395,3395,3125,3125,3125,3420,3125,3420,3420,3100,3100,3395,3395
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
