Feature,62017,62018,62019,62020,62021,62022,62023,62024,62025,62026,62027
高度(mm),1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
驾驶辅助影像,-,-,,,,,-,,,,
驾驶模式切换,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,-,-,-,-,-,-,单电机,单电机,双电机,单电机,双电机
驱动方式,前置前驱,前置前驱,前置前驱,前置四驱,前置前驱,前置四驱,前置前驱,前置前驱,前置四驱,前置前驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,●,-,-,-,-,-
长度(mm),4665,4665,4665,4665,4665,4665,4665,4665,4665,4665,4665
长*宽*高(mm),4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680,4665*1855*1680
钥匙类型,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●
远光灯光源,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,,,,
辅助驾驶系统,-,,,,,,,,,,
辅助驾驶等级,-,,,,,,,,,,
轴距(mm),2690,2690,2690,2690,2690,2690,2690,2690,2690,2690,2690
轮圈材质,,,,,,,,,,,
车顶行李架,-,-,●,●,●,●,-,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,●,●,●,●,●,●,●,●,●,●
车道偏离预警系统,-,●,●,●,●,●,●,●,●,●,●
车道保持辅助系统,-,●,●,●,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,●,●,-,-,-,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●
车联网,-,-,-,-,●,●,-,-,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,
车型名称,威兰达 2023款 2.0L CVT两驱领先版,威兰达 2023款 2.0L CVT两驱都市版,威兰达 2023款 2.0L CVT两驱豪华PLUS版,威兰达 2023款 2.0L CVT四驱豪华PLUS版,威兰达 2023款 2.0L CVT两驱尊贵版,威兰达 2023款 2.0L CVT四驱尊贵版,威兰达 2023款 双擎 2.5L E-CVT两驱都市版,威兰达 2023款 双擎 2.5L E-CVT两驱豪华PLUS版,威兰达 2023款 双擎 2.5L E-CVT四驱豪华PLUS版,威兰达 2023款 双擎 2.5L E-CVT两驱尊贵版,威兰达 2023款 双擎 2.5L E-CVT四驱尊贵版
车前雾灯,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,-,-,-,●,●,-,-,-,●,●
语音识别控制系统,-,-,-,-,-,-,-,-,-,,
行车电脑显示屏幕,,,,,,,,,,,
行程(mm),97.6,97.6,97.6,97.6,97.6,97.6,103.4,103.4,103.4,103.4,103.4
行李厢12V电源接口,-,○,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,●,●,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●,●,●,●
膝部气囊,●,●,●,●,●,●,●,●,●,●,●
能量回收系统,-,-,-,-,-,-,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
胎压监测功能,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),80.5,80.5,80.5,80.5,80.5,80.5,87.5,87.5,87.5,87.5,87.5
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合功率(kW),-,-,-,-,-,-,160,160,163,160,163
系统综合功率(Ps),-,-,-,-,-,-,218,218,222,218,222
简称,CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),CVT无级变速(模拟10挡),E-CVT+自动变速箱(模拟),E-CVT+自动变速箱(模拟),E-CVT+自动变速箱(模拟),E-CVT+自动变速箱(模拟),E-CVT+自动变速箱(模拟)
第二排座椅调节,,,,,,,,,,,
空调温度控制方式,,,,,,,,,,,
百公里耗电量(kWh/100km),-,-,-,-,-,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-
电池能量(kWh),-,-,-,-,-,-,-,-,-,-,-
电池组质保,-,-,-,-,-,-,八年或20万公里,八年或20万公里,八年或20万公里,八年或20万公里,八年或20万公里
电池类型,-,-,-,-,-,-,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,-,-,-,-,-,-,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,-,-,-,-,-,-,前置,前置,前置+后置,前置,前置+后置
电动机总扭矩(N·m),-,-,-,-,-,-,202,202,202,202,202
电动机总功率(kW),-,-,-,-,-,-,88,88,128,88,128
电动机总功率(Ps),-,-,-,-,-,-,120,120,174,120,174
电动机(Ps),-,-,-,-,-,-,120,120,174,120,174
电动座椅记忆功能,-,-,-,-,-,-,-,-,-,-,-
电动后备厢位置记忆,-,-,-,-,●,●,-,-,-,●,●
电动后备厢,-,-,-,-,●,●,-,-,-,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油,油电混合,油电混合,油电混合,油电混合,油电混合
温度分区控制,-,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,
油箱容积(L),55,55,55,55,55,55,55,55,55,55,55
气缸数(个),4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),180,180,180,180,180,180,180,180,180,180,180
最小转弯半径(m),5.5,5.5,5.5,5.5,5.7,5.7,5.5,5.5,5.5,5.5,5.5
最大马力(Ps),171,171,171,171,171,171,178,178,178,178,178
最大扭矩转速(rpm),4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,4600-5000,3600-5200,3600-5200,3600-5200,3600-5200,3600-5200
最大扭矩(N·m)_y,206,206,206,206,206,206,221,221,221,221,221
最大扭矩(N·m)_x,206,206,206,206,206,206,-,-,-,-,-
最大功率转速(rpm),6600,6600,6600,6600,6600,6600,5700,5700,5700,5700,5700
最大功率(kW)_y,126,126,126,126,126,126,131,131,131,131,131
最大功率(kW)_x,126,126,126,126,126,126,160,160,163,160,163
最大净功率(kW),126,126,126,126,126,126,131,131,131,131,131
无钥匙进入功能,-,,,,,,,,,,
无钥匙启动系统,-,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,,,,
整车质保,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里,三年或10万公里
整备质量(kg),1545,1560,1590,1640,1615,1695,1645,1675,1740,1690,1760
排量(mL),1987,1987,1987,1987,1987,1987,2487,2487,2487,2487,2487
换挡形式,,,,,,,,,,,
挡位个数,10,10,10,10,10,10,无级变速,无级变速,无级变速,无级变速,无级变速
扬声器数量,,,,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,,,-,-,-,,
手机互联/映射,,,,,,,,,,,
手机APP远程功能,,,,,,,,,,,
慢充时间(小时),-,-,-,-,-,-,-,-,-,-,-
感应雨刷功能,-,-,-,-,-,-,-,-,-,-,-
感应后备厢,-,-,-,-,●,●,-,-,-,●,●
快充电量(%),-,-,-,-,-,-,-,-,-,-,-
快充时间(小时),-,-,-,-,-,-,-,-,-,-,-
快充功能,-,-,-,-,-,-,-,-,-,-,-
座椅材质,,,,,,,,,,,
座位数(个),5,5,5,5,5,5,5,5,5,5,5
并线辅助,-,-,-,-,●,●,-,-,-,●,●
巡航系统,-,,,,,,,,,,
导航路况信息显示,-,-,-,-,-,-,-,-,-,●,●
宽度(mm),1855,1855,1855,1855,1855,1855,1855,1855,1855,1855,1855
官方0-100km/h加速(s),-,-,-,-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,,,,
天窗类型,-,,,,,,,,,,
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●
大灯延时关闭,-,-,-,-,-,-,-,-,-,-,-
多媒体/充电接口,,,,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
四驱形式,-,-,-,适时四驱,-,适时四驱,-,-,电动四驱,-,电动四驱
后雨刷,●,●,●,●,●,●,●,●,●,●,●
后轮距(mm),1620,1620,1620,1620,1610,1610,1620,1620,1620,1620,1620
后轮胎规格,225/60 R18,225/60 R18,225/60 R18,225/60 R18,235/55 R19,235/55 R19,225/60 R18,225/60 R18,225/60 R18,225/60 R18,225/60 R18
后电动机最大扭矩(N·m),-,-,-,-,-,-,-,-,121,-,121
后电动机最大功率(kW),-,-,-,-,-,-,-,-,40,-,40
后排独立空调,-,-,-,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,,,,
后悬架类型,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架,E型多连杆式独立悬架
后座出风口,●,●,●,●,●,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),无级变速箱(CVT),E-CVT+自动变速箱,E-CVT+自动变速箱,E-CVT+自动变速箱,E-CVT+自动变速箱,E-CVT+自动变速箱
