Feature,43182,43183,43184,43185,43186,43187,43188,43189,46521,46522,56464,56541,56683,57034,57035,57036,57037,57038,57039,62201,63931,63938,63939,66090,66098,67218,67219,69211,69212
高度(mm),1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
驾驶辅助影像,-,-,,,-,-,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,-,●,-,-,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,,,,,,,,,-,-,-,-,,,,,,,,,,,,-,
长度(mm),4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830,4830
长*宽*高(mm),4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830,4830*1860*1830
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
远程启动功能,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
