Feature,1016017,1016018,1016019,1016020,1016221,1016222,1016223,1016224,1016225,1016226,1016227,1016228,1016229,1016230,1016231,1016232,1016689,1016690,1016691,1016692,1016693,1016694,1017531,1017532,1017533,1017534,1017535,1017536,1018379,1018381,1018383,1018385,1018849,1018850,1018851,1018852,1018853,1018854,1019479,1019480,1019481,1019482,1019483,1019484
高度(mm),1785,1830,1785,1785,1830,1785,1830,1830,1785,1785,1830,1830,1785,1785,1830,1830,1785,1830,1785,1830,1785,1785,1785,1785,1785,1785,1785,1785,1830,1830,1830,1830,1785,1785,1785,1785,1850,1850,1785,1785,1785,1785,1785,1785
驾驶辅助影像,-,,-,-,,-,,,-,-,,,-,-,,,-,,-,,-,-,-,-,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,●,-,-,●,-,●,●,-,-,●,●,-,-,●,●,-,●,-,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●
限滑差速器/差速锁,-,-,-,,-,,,,-,-,-,-,,,,,-,-,-,-,-,-,-,-,-,,,-,-,,-,,-,-,-,-,-,-,-,-,-,,,-
长度(mm),5330,5615,5615,5615,5330,5330,5330,5615,5330,5615,5330,5615,5330,5615,5330,5615,5615,5615,5615,5615,5615,5615,5330,5615,5615,5330,5615,5615,5330,5330,5330,5330,5330,5330,5615,5615,5615,5615,5330,5615,5615,5330,5615,5615
长*宽*高(mm),5330*1860*1785,5615*1860*1830,5615*1860*1785,5615*1860*1785,5330*1860*1830,5330*1860*1785,5330*1860*1830,5615*1860*1830,5330*1860*1785,5615*1860*1785,5330*1860*1830,5615*1860*1830,5330*1860*1785,5615*1860*1785,5330*1860*1830,5615*1860*1830,5615*1860*1785,5615*1860*1830,5615*1860*1785,5615*1860*1830,5615*1860*1785,5615*1860*1785,5330*1860*1785,5615*1860*1785,5615*1860*1785,5330*1860*1785,5615*1860*1785,5615*1860*1785,5330*1860*1830,5330*1860*1830,5330*1860*1830,5330*1860*1830,5330*1860*1785,5330*1860*1785,5615*1860*1785,5615*1860*1785,5615*1860*1850,5615*1860*1850,5330*1860*1785,5615*1860*1785,5615*1860*1785,5330*1860*1785,5615*1860*1785,5615*1860*1785
