Feature,64200,64254,64255,64256,67975,67976,67977,67978
高度(mm),1515,1515,1515,1515,1515,1515,1515,1515
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),0.228,0.228,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4835,4835,4835,4835,4835,4835,4835,4835
长*宽*高(mm),4835*1860*1515,4835*1860*1515,4835*1860*1515,4835*1860*1515,4835*1860*1515,4835*1860*1515,4835*1860*1515,4835*1860*1515
钥匙类型,,,,,,,,
配气机构,-,-,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,○,-,-,-,-,-,-,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,-,-,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,,,,
辅助驾驶等级,,-,-,-,-,-,-,
轴距(mm),2800,2800,2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,-,-,-,-,-,-,●
车道偏离预警系统,○,-,-,-,-,-,-,●
车道保持辅助系统,○,-,-,-,-,-,-,●
车载空气净化器,-,-,-,-,-,-,-,-
车载智能系统,,-,-,,-,-,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,-,-,●,-,-,●,●
车窗防夹手功能,●,-,●,●,-,-,●,●
车窗一键升降功能,,-,-,,-,-,,
车型名称,五菱星光 2024款 共创版 510 进阶型,五菱星光 2024款 共创版 410 标准型,五菱星光 2023款 70 标准版,五菱星光 2023款 150 进阶版,五菱星光 2024款 共创版 70 标准型,五菱星光 2024款 共创版 150 标准型,五菱星光 2024款 共创版 150 进阶型,五菱星光 2024款 共创版 150 领航型
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音连续识别,●,-,-,-,-,-,●,●
语音识别控制系统,,-,-,,-,-,,
语音助手唤醒词,,-,-,,-,-,,
语音分区域唤醒识别,,-,-,,-,-,,
语音免唤醒词,●,-,-,-,-,-,●,●
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型_y,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,纯电动,纯电动,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,-,-,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,-,-,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型车,中型车,中型车,中型车,中型车,中型车,中型车,中型车
简称,电动车单速变速箱,电动车单速变速箱,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速,E-CVT无级变速
第二排座椅调节,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),18,18,18,18,18,18,18,18
百公里耗电量(kWh/100km),12.5,11.5,-,-,-,-,-,-
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),1.41,1.3,-,-,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●
电池能量(kWh),54.5,41.9,9.5,20.5,9.5,20.5,20.5,20.5
电池类型,,,,,,,,
电池特有技术,神炼电池2C,神炼电池2C,-,-,神炼电池,神炼电池,神炼电池,神炼电池
电池慢充电量范围(%)_y,20-100,20-100,-,-,20-100,20-100,20-100,20-100
电池慢充电量范围(%)_x,20-100,20-100,-,-,20-100,20-100,20-100,20-100
电池慢充时间(小时)_y,9,7,3.5,6.7,3.5,6.7,6.7,6.7
电池慢充时间(小时)_x,9,7,3.5,6.7,3.5,6.7,6.7,6.7
电池快充电量范围(%)_y,30-80,30-80,-,30-80,-,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,-,30-80,-,30-80,30-80,30-80
电池快充时间(小时)_y,0.33,0.25,-,0.5,-,0.5,0.5,0.5
电池快充时间(小时)_x,0.33,0.25,-,0.5,-,0.5,0.5,0.5
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机总马力(Ps),204,136,177,177,204,204,204,204
电动机总扭矩(N·m),310,200,320,320,310,310,310,310
电动机总功率(kW),150,100,130,130,150,150,150,150
电动机(Ps),204,136,177,177,204,204,204,204
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
环保标准_y,-,-,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,-,-,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,-,-,92号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-,-,-,-
液晶仪表尺寸,,,,,,,,
油箱容积(L),-,-,53,53,53,53,53,53
气缸数(个),-,-,4,4,4,4,4,4
气缸排列形式,-,-,L,L,L,L,L,L
每缸气门数(个),-,-,4,4,4,4,4,4
最高车速(km/h),160,150,145,145,185,185,185,185
最大马力(Ps),204,136,106,106,106,106,106,106
最大满载质量(kg),2030,1945,2010,2085,2010,2085,2085,2085
最大扭矩转速(rpm),-,-,-,-,-,-,-,-
最大扭矩(N·m)_y,310,200,130,130,130,130,130,130
最大扭矩(N·m)_x,310,200,-,-,-,-,-,-
最大功率转速(rpm),-,-,-,-,-,-,-,-
最大功率(kW)_y,150,100,78,78,78,78,78,78
最大功率(kW)_x,150,100,-,-,-,-,-,-
最大净功率(kW),-,-,75,75,75,75,75,75
