Feature,68113,68463,68464,68465,72051,72052,72053,72054,72701
高度(mm),1580,1580,1580,1580,1580,1580,1580,1580,1580
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-
长度(mm),3950,3950,3950,3950,3950,3950,3950,3950,3950
长*宽*高(mm),3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580,3950*1708*1580
钥匙类型,,,,,,,,,
远程启动功能,-,,,,-,,,,
远光灯光源,,,,,,,,,
近光灯光源,,,,,,,,,
轴距(mm),2560,2560,2560,2560,2560,2560,2560,2560,2560
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-
车载智能系统,-,-,,,-,,,,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,●,●,●,-,●,●,●,●
车联网,-,-,●,●,-,●,●,●,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-
车型名称,五菱缤果 2024款 203km 轻享款,五菱缤果 2024款 333km 悦享款,五菱缤果 2024款 333km 灵犀互联款,五菱缤果 2024款 410km 灵犀尊享款,五菱缤果 2025款 203km 轻享款,五菱缤果 2025款 333km 灵犀互联款,五菱缤果 2025款 333km 灵犀尊享款,五菱缤果 2025款 410km 灵犀尊享款,五菱缤果 2025款 333km 悦享款
车前雾灯,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,,,,,
语音识别控制系统,-,-,,,-,,,,-
语音助手唤醒词,-,-,,,-,,,,-
行车电脑显示屏幕,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,-,●,●,●,-,●,●,●,●
自动头灯,-,-,-,●,-,-,-,●,-
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,
级别,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车,小型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,
离去角(°),29,29,29,29,29,29,29,29,29
百公里耗电量(kWh/100km),-,-,-,-,10,10.6,10.6,10.6,10.6
