Feature,1011553,1011554,1011555,1011556,1011557,1011558,1011559,1011560,1011561,1011562,1011563,1011564,1011565,1011566,1011567,1011568,1011569,1011570,1011571,1011572,1011573
高度(mm),1900,1900,1900,1900,1900,1900,1900,1900,1900,,,,,,,,,,,,
驾驶辅助影像,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4490,4490,4490,4490,4490,4490,4490,4490,4490,,,,,,,,,,,,
长*宽*高(mm),4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,4490×1615×1900,,,,,,,,,,,,
钥匙类型,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,
轴距(mm),3050,3050,3050,3050,3050,3050,3050,3050,3050,,,,,,,,,,,,
轮圈材质,,,,,,,,,,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,,,,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,客车,客车,客车,货车,货车,货车,货车,货车,货车,,,,,,,,,,,,
车身结构_x,客车,客车,客车,货车,货车,货车,货车,货车,货车,,,,,,,,,,,,
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,五菱荣光 2021款 1.5L加长基本型L3C,五菱荣光 2021款 1.5L加长标准型助力版L3C,五菱荣光 2021款 1.5L加长标准型空调版L3C,五菱荣光 2021款 1.5L加长基本型封窗车2座L3C,五菱荣光 2021款 1.5L加长基本型封窗车5座L3C,五菱荣光 2021款 1.5L加长标准型封窗车助力版2座L3C,五菱荣光 2021款 1.5L加长标准型封窗车助力版5座L3C,五菱荣光 2021款 1.5L加长标准型封窗车空调版2座L3C,五菱荣光 2021款 1.5L加长标准型封窗车空调版5座L3C,,,,,,,,,,,,
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,●,●,-,-,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●
