Feature,55267,55810,55820,55821,55822,56033,56034,56035,56036,56037,56038,56039,56040,56242,56244,58960,58961,58962,58963,60405,60504,60506,60507,65441,66045
高度(mm),1614,1659,1659,1665,1665,1621,1621,1621,1621,1621,1621,1621,1621,1621,1621,1649,1604,1649,1604,1621,1621,1621,1621,1629,1629
驾驶辅助影像,,,-,,-,,,,,-,-,-,-,-,-,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3059,3061,3061,3061,3061,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920,3064,3089,3064,3089,2920,2920,2920,2920,3064,3064
长*宽*高(mm),3059*1521*1614,3061*1520*1659,3061*1520*1659,3061*1520*1665,3061*1520*1665,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,3064*1521*1649,3089*1521*1604,3064*1521*1649,3089*1521*1604,2920*1493*1621,2920*1493*1621,2920*1493*1621,2920*1493*1621,3064*1493*1629,3064*1493*1629
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
轴距(mm),2010,2010,2010,2010,2010,1940,1940,1940,1940,1940,1940,1940,1940,1940,1940,2010,2010,2010,2010,1940,1940,1940,1940,2010,2010
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,
车顶行李架,-,●,●,●,●,-,-,-,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,软顶敞篷车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,2门2座软顶敞篷车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车,3门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,●,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,宏光MINIEV 2022款 敞篷版,宏光MINIEV 2022款 GAMEBOY 300km 玩咖款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 300km 玩乐款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 玩咖款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 玩乐款 磷酸铁锂,宏光MINIEV 2022款 马卡龙时尚款 三元锂,宏光MINIEV 2022款 马卡龙时尚款 磷酸铁锂,宏光MINIEV 2022款 马卡龙臻享款 三元锂,宏光MINIEV 2022款 马卡龙臻享款 磷酸铁锂,宏光MINIEV 2022款 自在款 三元锂,宏光MINIEV 2022款 自在款 磷酸铁锂,宏光MINIEV 2022款 悦享款 三元锂,宏光MINIEV 2022款 悦享款 磷酸铁锂,宏光MINIEV 2022款 轻松款 三元锂,宏光MINIEV 2022款 轻松款 磷酸铁锂,宏光MINIEV 2022款 GAMEBOY 200km 都市追风限量版,宏光MINIEV 2022款 GAMEBOY 200km 竞速游侠限量版,宏光MINIEV 2022款 GAMEBOY 300km 都市追风限量版,宏光MINIEV 2022款 GAMEBOY 300km 竞速游侠限量版,宏光MINIEV 2022款 马卡龙绘色款 磷酸铁锂,宏光MINIEV 2022款 马卡龙缤纷款 磷酸铁锂,宏光MINIEV 2022款 马卡龙缤纷款 三元锂,宏光MINIEV 2022款 马卡龙绘色款 三元锂,宏光MINIEV 2024款 马卡龙 215km,宏光MINIEV 2024款 马卡龙 170km
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,-,-,-,-,-,-,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,,,,,,,,,-,-,-,-,-,-,,,,,,,,,-,-
行车电脑显示屏幕,,,,,,,,,,,,,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,-,-,-,-,-,-,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
