Feature,53803,56840,56841,56842,56843,56844,56845,56846,56847,56848,60396,60397,63018
高度(mm),1267,1295,1281,1276,1262,1295,1280,1286,1272,1273,1295,1281,1267
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
限滑差速器/差速锁,,,,,,,,,,-,,,
长度(mm),4456,4379,4379,4379,4379,4379,4379,4393,4379,4379,4379,4379,4456
长*宽*高(mm),4456*1822*1267,4379*1801*1295,4379*1801*1281,4379*1801*1276,4379*1801*1262,4379*1801*1295,4379*1801*1280,4393*1801*1286,4379*1801*1272,4379*1801*1273,4379*1801*1295,4379*1801*1281,4456*1822*1267
钥匙类型,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,
进气形式,自然吸气,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,自然吸气
近光灯光源,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●
轴距(mm),2482,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475,2482
轮圈材质,,,,,,,,,,,,,
转向头灯,○,○,○,○,○,○,○,○,○,○,○,○,○
车门数(个),,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,○,○,○,○,○,○,○,○,-,○,○,-
车载CD/DVD,,,,,,,,,,,,,
车身结构_y,硬顶跑车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,软顶敞篷车,硬顶跑车,软顶敞篷车,软顶敞篷车
车身结构_x,2门2座硬顶跑车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座软顶敞篷车,2门2座硬顶跑车,2门2座软顶敞篷车,2门2座软顶敞篷车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,○,○,○,○,○,○,○,○,○,●,○,○,○
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,保时捷718 2022款 Cayman GT4 RS 4.0L,保时捷718 2022款 Cayman 2.0T,保时捷718 2022款 Boxster 2.0T,保时捷718 2022款 Cayman T 2.0T,保时捷718 2022款 Boxster T 2.0T,保时捷718 2022款 Cayman S 2.5T,保时捷718 2022款 Boxster S 2.5T,保时捷718 2022款 Cayman GTS 2.5T,保时捷718 2022款 Boxster GTS 2.5T,保时捷718 2022款 Spyder 2.0T,保时捷718 2023款 Cayman Style Edition 2.0T,保时捷718 2023款 Boxster Style Edition 2.0T,保时捷718 2023款 Spyder RS 4.0L
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,,,,,-
行车电脑显示屏幕,,,,,,,,,,,,,
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-,81.5
蓝牙/车载电话,○,○,○,○,○,○,○,○,○,●,○,○,○
自适应远近光,○,○,○,○,○,○,○,○,○,○,○,○,○
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-,102
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车,跑车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,,
疲劳驾驶提示,-,-,-,-,-,-,-,-,-,-,-,-,-
电动扰流板,-,●,●,●,●,●,●,●,●,●,●,●,-
电动座椅记忆功能,-,,,-,-,,,,,,,,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号,95号
温度分区控制,●,●,●,●,●,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,,,,,,
油箱容积(L),54,54,54,54,54,64,64,64,64,54,54,54,54
气缸数(个),6,4,4,4,4,4,4,4,4,4,4,4,6
气缸排列形式,H,H,H,H,H,H,H,H,H,H,H,H,H
每缸气门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4
最高车速(km/h),315,260,260,275,275,285,285,290,290,270,260,260,308
最大马力(Ps),500,250,250,300,300,350,350,366,366,300,250,250,500
最大满载质量(kg),1771,1685,1685,1685,1685,1695,1695,1705,1705,1695,1685,1685,-
最大扭矩转速(rpm),6750,2050-5000,2050-5000,2150-4500,2150-4500,2100-4500,2100-4500,2100-5000,2100-5000,2150-4500,2050-5000,2050-5000,6750
最大扭矩(N·m)_y,450,310,310,380,380,420,420,430,430,380,310,310,450
最大扭矩(N·m)_x,450,310,310,380,380,420,420,430,430,380,310,310,450
最大功率转速(rpm),8400,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,8400
最大功率(kW)_y,368,184,184,220,220,257,257,269,269,220,184,184,368
最大功率(kW)_x,368,184,184,220,220,257,257,269,269,220,184,184,368
最大净功率(kW),368,184,184,220,220,257,257,269,269,220,184,184,368
无钥匙进入功能,-,,,,,,,,,-,,,-
无钥匙启动系统,-,○,○,○,○,○,○,○,○,-,○,○,-
无框设计车门,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘记忆,-,○,○,○,○,○,○,○,○,●,○,○,-
方向盘材质,,,,,,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●,●,●,●,●,●
方向盘加热,-,○,○,○,○,○,○,○,○,○,●,●,-
方向盘位置调节,,,,,,,,,,,,,
整车质保,,,,,,,,,,,,,
整备质量(kg),1459,1421,1416,1440,1438,1445,1440,1460,1443,1448,1421,1416,1410
排量(mL),3996,1988,1988,1988,1988,2497,2497,2497,2497,1988,1988,1988,3996
换挡形式,,,,,,,,,,,,,
挡位个数,7,7,7,7,7,7,7,7,7,7,7,7,7
扬声器数量,,,,,,,,,,,,,
扬声器品牌名称,,,,,,,,,,,,,
手机无线充电功能,-,,,,,,,,,,,,-
手机互联/映射,,,,,,,,,,,,,
感应雨刷功能,-,,,,,,,,,,,,-
座椅材质,,,,,,,,,,,,,
座位数(个),,,,,,,,,,,,,
并线辅助,-,○,○,○,○,○,○,○,○,○,○,○,-
巡航系统,,,,,,,,,,,,,
导航路况信息显示,○,○,○,○,○,○,○,○,○,●,○,○,○
宽度(mm),1822,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801,1801,1822
实测100-0km/h制动(m),31.61,-,-,-,-,-,-,-,-,-,-,-,-
实测0-100km/h加速(s),3.44,-,-,-,-,-,-,-,-,-,-,-,-
官方0-100km/h加速(s),3.4,5.6,5.6,4.9,4.9,4.4,4.4,4.3,4.3,4.7,5.6,5.6,3.4
安全带未系提醒,,,,,,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●,●,●,●,●,●
大灯清洗装置,○,○,○,○,○,○,○,○,○,○,○,○,○
大灯延时关闭,●,●,●,●,●,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,,,,,,
多功能方向盘,-,○,○,○,○,○,○,○,○,○,●,●,-
外观套件,,-,-,-,-,-,-,-,-,-,-,-,
外后视镜功能,,,,,,,,,,,,,
备胎规格,,,,,,,,,,,,,
后雨刷,-,○,-,○,-,○,-,○,-,-,○,-,-
后轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
后轮胎规格,,,,,,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-,-,-,-,-,-
后排座椅放倒形式,-,-,-,-,-,-,-,-,-,-,-,-,-
后悬架类型,,,,,,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-,-,-,-,-,-
后备厢容积(L),136,272,122,272,122,272,122,272,122,122,272,122,-
后制动器类型,,,,,,,,,,,,,
可变转向比,●,●,●,●,●,●,●,●,●,●,●,●,●
可变悬架功能,,,,,,,,,,,,,
可加热喷水嘴,●,●,●,●,●,●,●,●,●,●,●,●,●
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机布局,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置,纵置
发动机型号,-,DPG,DPG,DPG,DPG,DPH,DPH,DPH,DPH,DPG,DPG,DPG,-
发动机启停技术,●,●,●,●,●,●,●,●,●,●,●,●,●
发动机,4.0L 500马力 H6,2.0T 250马力 H4,2.0T 250马力 H4,2.0T 300马力 H4,2.0T 300马力 H4,2.5T 350马力 H4,2.5T 350马力 H4,2.5T 366马力 H4,2.5T 366马力 H4,2.0T 300马力 H4,2.0T 250马力 H4,2.0T 250马力 H4,4.0L 500马力 H6
压缩比,-,9.5,9.5,-,-,9.5,9.5,-,-,-,9.5,9.5,13.3
厂商指导价(元),157.80万,56.50万,58.50万,66.10万,68.10万,79.80万,81.70万,89.50万,91.50万,75.80万,65.00万,67.00万,157.80万
厂商,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷,保时捷
卫星导航系统,○,○,○,○,○,○,○,○,○,●,○,○,○
助力类型,,,,,,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,,,,,,
前轮距(mm),-,-,-,-,-,-,-,-,-,-,-,-,-
前轮胎规格,,,,,,,,,,,,,
前排座椅功能,-,,,,,,,,,,,,-
前悬架类型,,,,,,,,,,,,,
前备厢容积(L),125,150,150,150,150,150,150,150,150,150,150,150,-
前制动器类型,,,,,,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后○,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后○
前/后电动车窗,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,-
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,,,,,,
全液晶仪表盘,-,-,-,-,-,-,-,-,-,-,-,-,-
供油方式,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,,,,,,
中控屏幕尺寸,,,,,,,,,,,,,
上市时间,2021.11,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.04,2022.11,2022.11,2023.05
上坡辅助,●,●,●,●,●,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),-,-,8.4,-,-,-,-,-,-,8.7,-,8.4,-
USB/Type-C接口数量,,,,,,,,,,,,,
OTA升级,-,-,-,-,-,-,-,-,-,-,-,-,-
NEDC综合油耗(L/100km),-,7.2,7.2,8.3,8.3,-,-,9.1,-,-,7.2,7.2,-
LED日间行车灯,●,●,●,●,●,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,-,○,○,○,○,○,○,○,○,○,○,○,-
ABS防抱死,●,●,●,●,●,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,,,,,,
