Feature,57756,57757,57758,59631,59632,60570,61401,66372
高度(mm),1666,1666,1666,1666,1666,1666,1666,1666
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),3584,3584,3584,3584,3584,3584,3584,3584
长*宽*高(mm),3584*1475*1666,3584*1475*1666,3584*1475*1666,3584*1475*1666,3584*1475*1666,3584*1475*1666,3584*1475*1666,3584*1475*1666
钥匙类型,,,,,,,,
远程启动功能,-,-,-,-,-,-,-,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
轴距(mm),2455,2455,2455,2455,2455,2455,2455,2455
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车,5门4座两厢车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,●
车窗防夹手功能,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-
车型名称,凌宝BOX 2022款 蔡文姬Pro版,凌宝BOX 2022款 卓文君Pro版,凌宝BOX 2022款 李清照Pro版 14.08kWh,凌宝BOX 2023款 蔡文姬版,凌宝BOX 2023款 蔡文姬-乐享版,凌宝BOX 2023款 蔡文姬-智享版,凌宝BOX 2023款 蔡文姬-运动版,凌宝BOX 2024款 凌智版
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,
语音分区域唤醒识别,,,,,,,,
行车电脑显示屏幕,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
级别,微型车,微型车,微型车,微型车,微型车,微型车,微型车,微型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,,-,-,-
空调温度控制方式,,,,,,,,
离去角(°),43,43,43,43,43,43,43,43
百公里耗电量(kWh/100km),10.5,10.4,10,10,10,10,9.8,10
疲劳驾驶提示,-,-,-,-,-,-,-,-
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),1.18,1.18,1.13,1.13,1.13,1.13,1.13,1.13
电池预加热,●,●,●,●,●,●,●,●
电池能量密度(Wh/kg),114,160,123.99,102.38,102.38,102.38,100.03,102.38
电池能量(kWh),19.13,31.45,14.08,19.2,19.2,19.2,17.28,19.2
电池类型,,,,,,,,
电池慢充时间(小时)_y,10,15,-,11,11,11,7,11
电池慢充时间(小时)_x,10,15,-,11,11,11,7,11
电池快充电量范围(%)_y,-,80,-,80,80,80,80,80
电池快充电量范围(%)_x,-,80,-,80,80,80,80,80
电池快充时间(小时)_y,-,1.2,-,1.2,1.2,1.2,-,0.8
电池快充时间(小时)_x,-,1.2,-,1.2,1.2,1.2,-,0.8
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),95,125,95,125,125,125,105,125
电动机总功率(kW),30,35,30,35,35,35,25,35
电动机总功率(Ps),41,48,41,48,48,48,34,48
电动机(Ps),41,48,41,48,48,48,34,48
电动座椅记忆功能,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-
满载最小离地间隙(mm),121,121,121,121,121,121,145,140
温度分区控制,-,-,-,-,-,-,-,-
液晶仪表尺寸,-,,-,-,,-,,
最高车速(km/h),101,101,101,101,101,101,101,101
最小转弯半径(m),4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9
最大爬坡角度(°),11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
最大爬坡度(%),20,20,20,20,20,20,20,20
最大满载质量(kg),1220,1270,1165,1255,1255,1255,1193,1255
最大扭矩(N·m),95,125,95,125,125,125,105,125
最大功率(kW),30,35,30,35,35,35,25,35
无钥匙进入功能,-,-,-,-,-,-,-,-
无钥匙启动系统,-,-,-,-,-,-,-,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,-,-,-,-,-,-,-,-
整车质保,,,,,,,,
整备质量(kg),920,970,865,955,955,955,893,955
接近角(°),22,22,22,22,22,22,22,22
换挡形式,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-
手机无线充电功能,-,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,-
手机APP远程功能,-,-,-,-,-,-,-,
慢充接口位置,车正前,车正前,车正前,车正前,车正前,车正前,车正前,车正前
感应雨刷功能,-,-,-,-,-,-,-,-
快充功能,不支持,支持,不支持,支持,支持,支持,不支持,支持
座椅材质,,,,,,,,
座位数(个),,,,,,,,
并线辅助,-,-,-,-,-,-,-,-
巡航系统,-,-,-,-,-,-,-,-
导航路况信息显示,-,-,-,-,-,-,-,-
宽度(mm),1475,1475,1475,1475,1475,1475,1475,1475
官方0-50km/h加速(s),-,-,-,7,7,-,7,-
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,
天窗类型,-,-,-,-,-,-,-,-
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,
多功能方向盘,-,-,-,-,●,●,-,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-
后轮距(mm),1295,1295,1295,1295,1295,1295,1295,1295
后轮胎规格,,,,,,,,
后排独立空调,-,-,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-,-,-
后排座椅放倒形式,,,,,,,,
后悬架类型,,,,,,,,
后座出风口,-,-,-,-,-,-,-,-
后备厢容积(L),63,63,63,63,63,63,63,63
后制动器类型,,,,,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),4.59万,6.88万,3.98万,5.58万,5.98万,5.68万,4.88万,4.89万
厂商,吉麦新能源,吉麦新能源,吉麦新能源,吉麦新能源,吉麦新能源,吉麦新能源,吉麦新能源,吉麦新能源
卫星导航系统,●,●,●,●,●,●,●,-
助力类型,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,
前轮距(mm),1300,1300,1300,1300,1300,1300,1300,1300
前轮胎规格,,,,,,,,
前电动机最大扭矩(N·m),95,125,95,125,125,125,105,125
前电动机最大功率(kW),30,35,30,35,35,35,25,35
前电动机型号,TZ160X15H-144,TZ180XS002,TZ160X15H-144,TZ156XSM02,TZ180XS002,TZ156XSM02,-,TZ156XSM02
前电动机品牌,合普动力,蜂巢传动,合普动力,浙江创驱智能科技,蜂巢传动,浙江创驱智能科技,-,浙江创驱智能科技
前排座椅功能,-,-,-,-,-,-,-,-
前悬架类型,,,,,,,,
前制动器类型,,,,,,,,
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-,-,-
前/后排侧气囊,-,-,-,-,-,-,-,-
前/后中央扶手,-,-,-,-,-,-,-,-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,
全液晶仪表盘,-,●,-,-,●,-,-,-
低速行车警告,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-,-,-
主/副驾驶座电动调节,-,-,-,-,-,-,-,-
主/副驾驶座安全气囊,-,主○&nbsp;/&nbsp;副-,-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-
中控彩色屏幕,,,,,,,,
中控屏幕尺寸,,,,,,,,
上市时间,2022.06,2022.06,2022.06,2022.09,2022.09,2022.11,2023.02,2024.01
上坡辅助,●,●,●,●,●,●,●,●
三电系统质保,,,,,,,,
USB/Type-C接口数量,,,,,,,,
