Feature,1015214,1015215,1015453,1015454,1017408,1017409,1017410,1017411,1017573,1017574,1017575,1017576
高度(mm),2065,2065,2065,2065,2065,2065,2065,2065,2065,2065,2065,2065
驾驶辅助影像,-,-,-,-,,,,,,,,
驾驶模式切换,-,-,-,-,-,-,-,-,-,-,-,-
驻车制动类型,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5265,5265,4865,4865,4865,5265,4865,5265,4865,4865,5265,5265
长*宽*高(mm),5265*1715*2065,5265*1715*2065,4865*1715*2065,4865*1715*2065,4865*1715*2065,5265*1715*2065,4865*1715*2065,5265*1715*2065,4865*1715*2065,4865*1715*2065,5265*1715*2065,5265*1715*2065
钥匙类型,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
轴距(mm),3450,3450,3050,3050,3050,3450,3050,3450,3050,3050,3450,3450
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车
车身结构_x,货车,货车,货车,货车,货车,货车,货车,货车,客车,客车,客车,客车
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车窗一键升降功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,骏航 2022款 ES7舒适版 江西安驰,骏航 2022款 ES7舒适版 国轩高科,骏航 2022款 ES6舒适版 江西安驰,骏航 2022款 ES6舒适版 国轩高科,骏航 2023款 ES6豪华版 江西安驰,骏航 2023款 ES7豪华版 江西安驰,骏航 2023款 ES6豪华版 国轩高科,骏航 2023款 ES7豪华版 国轩高科,骏航ES 2024款 ES6 客车 38.01kWh,骏航ES 2024款 ES6 客车 41.93kWh,骏航ES 2024款 ES7 客车 38.01kWh,骏航ES 2024款 ES7 客车 41.93kWh
车前雾灯,,,,,,,,,,,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,-,-,-,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,-,-,-,-,-,-,-,-,-,-,-,-
行车电脑显示屏幕,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,-,-,-,-,-,-,-,-,-,-,-,-
级别,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面,微面
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-,-,-,-,-,-,-
空调温度控制方式,,,,,,,,,,,,
离去角(°),20,20,20,20,20,20,20,20,20,20,20,20
百公里耗电量(kWh/100km),-,-,-,-,15,15,15,15,15,15,15,15
