Feature,50673,50827,50955,50958,62265,62266,64186,64266,64267,64268,64269,64270
高度(mm),1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520,1520
驾驶辅助影像,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670,4670
长*宽*高(mm),4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520,4670*1820*1520
钥匙类型,,,,,,,,,,,,
远程启动功能,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
运动风格座椅,-,-,-,-,-,-,●,●,●,●,●,●
轴距(mm),2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670
轮圈材质,,,,,,,,,,,,
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,○,●,○,-,●,●,○,●,○,○,●
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
