Feature,41484,41485,41486,41487,45873,46593,47026,47027,54792,57093,57094,59567
高度(mm),1510,1510,1510,1510,1510,1510,1510,1510,1510,1520,1510,1520
驾驶辅助影像,,,,,,,,,-,,,-
驾驶模式切换,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,-
长度(mm),4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650
长*宽*高(mm),4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1510,4650*1820*1520,4650*1820*1510,4650*1820*1520
钥匙类型,,,,,,,,,,,,
道路救援呼叫,●,●,●,●,-,-,-,-,-,-,-,-
远光灯光源,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,
轴距(mm),2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670,2670
轮圈材质,,,,,,,,,,,,
车门数(个),,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,-
车联网,●,●,●,●,●,●,●,●,-,●,●,-
车窗防夹手功能,-,-,-,●,●,●,●,●,-,-,-,-
车窗一键升降功能,-,-,-,,,,,,-,-,-,-
车型名称,北京EU5 2019款 R500 智风版,北京EU5 2019款 R500 智尚版,北京EU5 2019款 R600 智潮版,北京EU5 2019款 R600 智领版,北京EU5 2020款 R600 智潮版,北京EU5 2020款 R600 智领版,北京EU5 2020款 R500 智尚版,北京EU5 2020款 R500 智风版,北京EU5 2021款 快换版,北京EU5 2022款 网约车豪华版,北京EU5 2022款 网约车高功率豪华版,北京EU5 2022款 网约出行版
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,-,-,-,,,,,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,-,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,,,,,-,,,-
行车电脑显示屏幕,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,-,●,●,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●,●,●,-
自动头灯,●,●,●,●,●,●,●,-,-,-,-,-
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,-,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
