Feature,67937,71138,72766
高度(mm),1964,1964,1964
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,双电机,双电机,双电机
驱动方式,,,
风阻系数(Cd),-,-,-
零重力座椅,,-,
陡坡缓降,●,●,●
限滑差速器/差速锁,,,
防侧翻系统,●,●,●
长度(mm),4790,4790,4790
长*宽*高(mm),4790*1940*1964,4790*1940*1964,4790*1940*1964
钥匙类型,,,
配气机构,DOHC,DOHC,DOHC
遥控泊车,●,-,●
道路救援呼叫,●,●,●
道路交通标识识别,●,●,●
透明底盘/540度影像,●,●,●
远程启动功能,,,
远光灯光源,,,
进气形式,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,
辅助驾驶等级,,,
辅助泊车入位,●,-,●
辅助变道,●,-,●
轴距(mm),2760,2760,2760
轮圈材质,,,
转向辅助灯,●,●,●
车顶行李架,●,●,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,●,●,●
车载智能系统,,,
车身结构_y,SUV,SUV,SUV
车身结构_x,4门5座SUV,4门5座SUV,4门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车机智能芯片,,,
车型名称,北京越野BJ40增程 2025款 进阶版,北京越野BJ40增程 2025款 标准版,北京越野BJ40增程 2025款 赤兔版
车前雾灯,,,
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车侧脚踏板,,,
车体结构,非承载式,非承载式,非承载式
超声波雷达数量,,,
负离子发生器,●,●,●
语音连续识别,●,●,●
语音识别控制系统,,,
语音助手唤醒词,,,
语音分区域唤醒识别,,,
语音免唤醒词,●,●,●
行车电脑显示屏幕,,,
蠕行模式,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,●,-,●
自动驻车,●,●,●
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型_y,增程式,增程式,增程式
能源类型_x,增程式,增程式,增程式
胎压监测功能,,,
缸盖材料,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),655,655,655
系统综合功率(kW),403,403,403
系统综合功率(Ps),548,548,548
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,
空调温度控制方式,,,
空气质量监测,●,●,●
离去角(°),37,37,37
百公里耗电量(kWh/100km),23.8,23.8,23.8
疲劳驾驶提示,●,●,●
电芯品牌,,,
电池预加热,●,●,●
电池能量(kWh),40.3,40.3,40.3
电池类型,,,
电池快充电量范围(%)_y,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80
电池快充时间(小时)_y,0.5,0.5,0.5
电池快充时间(小时)_x,0.5,0.5,0.5
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置+后置,前置+后置
电动机总马力(Ps),548,548,548
电动机总扭矩(N·m),655,655,655
电动机总功率(kW),403,403,403
电动机(Ps),548,548,548
电动座椅记忆功能,,,
电动吸合车门,-,-,
电动后备厢,-,-,-
环保标准_y,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●
燃油标号,92号,92号,92号
温度分区控制,●,●,●
液晶仪表尺寸,,,
涉水感应系统,●,●,●
油箱容积(L),82,82,82
油电综合燃料消耗量(L/100km),4.15,4.15,4.15
气缸数(个),4,4,4
气缸排列形式,L,L,L
毫米波雷达数量,,,
每缸气门数(个),4,4,4
最高车速(km/h),170,170,170
最小离地间隙(mm),215,215,215
最大马力(Ps),188,188,188
最大满载质量(kg),3140,3140,3140
最大涉水深度(mm),750,750,750
最大扭矩转速(rpm),-,-,-
最大扭矩(N·m)_y,-,-,-
最大扭矩(N·m)_x,655,655,655
最大功率转速(rpm),-,-,-
最大功率(kW)_y,138,138,138
最大功率(kW)_x,403,403,403
最大净功率(kW),130,130,130
最低荷电状态油耗(L/100km)WLTC,8.68,8.68,8.68
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
无框设计车门,●,●,●
方向盘记忆,●,●,●
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,●,●,●
方向盘位置调节,,,
整车质保,,,
整备质量(kg),2640,2640,2640
摄像头数量,,,
接近角(°),38,38,38
排量(mL),1498,1498,1498
换挡形式,,,
挡位个数,1,1,1
拖车取电口,○,○,○
拖挂钩,,,
拖挂模式,○,○,○
扬声器数量,,,
扬声器品牌名称,,-,
手机无线充电功能,,-,
手机无线充电功率,,-,
手机互联/映射,,,
手机APP远程功能,,,
慢充接口位置,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,
快充接口位置,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持
快充功率(kW),60,60,60
循迹倒车,●,-,●
座椅材质,,,
座位数(个),,,
应用商店,●,●,●
并线辅助,●,-,●
巡航系统,,,
尾门玻璃独立开启,●,●,●
导航路况信息显示,●,●,●
对外直流放电功率(kW),6,6,6
对外放电,●,●,●
对外交流放电功率(kW),3.5,3.5,3.5
宽度(mm),1940,1940,1940
官方0-100km/h加速(s),-,-,-
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多指飞屏操控,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
备胎放置方式,,,
坦克转弯,●,●,●
地图品牌,,,
四驱形式,,,
后雨刷,●,●,●
后轮距(mm),1640,1640,1640
后轮胎规格,,,
后电动机最大功率(kW),250,250,250
后电动机型号,TZ220XY806,TZ220XY806,TZ220XY806
后方碰撞预警,●,-,●
后排独立空调,-,-,-
后排杯架,●,●,●
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),-,-,-
后制动器类型,,,
可见即可说,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,●,●,●
发动机布局,纵置,纵置,纵置
发动机型号,A156T2H,A156T2H,A156T2H
发动机,增程器 188马力,增程器 188马力,增程器 188马力
厂商指导价(元),19.98万,17.98万,29.98万
厂商,北京越野,北京越野,北京越野
卫星导航系统,●,●,●
单踏板模式,●,●,●
助力类型,,,
副驾驶位后排可调节按钮,-,-,-
副驾娱乐屏尺寸,,,
副座椅调节方式,,,
前轮距(mm),1620,1620,1620
前轮胎规格,,,
前电动机最大功率(kW),153,153,153
前电动机型号,TZ180XS502A,TZ180XS502A,TZ180XS502A
前方碰撞预警,●,●,●
前方感知摄像头,,,
前排座椅功能,,,
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,-,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,●,●,●
内后视镜功能,,,
全液晶仪表盘,●,●,●
倒车车侧预警系统,●,-,●
供油方式,直喷,直喷,直喷
低速行车警告,●,●,●
低速四驱,●,●,●
主座椅调节方式,,,
主动降噪,●,●,●
主动刹车/主动安全系统,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
中央差速器锁止功能,●,●,●
上市时间,2025.04,2025.04,2025.04
上坡辅助,●,●,●
三电首任车主质保政策,,,
三电系统质保,,,
Wi-Fi热点,●,●,●
WLTC综合油耗(L/100km),1.39,1.39,1.39
WLTC纯电续航里程(km)_y,126,126,126
WLTC纯电续航里程(km)_x,126,126,126
USB/Type-C接口数量,,,
OTA升级,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
DOW开门预警,●,-,●
CLTC综合续航(km),1200,1200,1200
CLTC纯电续航里程(km)_y,152,152,152
CLTC纯电续航里程(km)_x,152,152,152
ABS防抱死,●,●,●
4G/5G网络,,,
220V/230V电源,●,●,●
