Feature,37363,37381,37382,37383,39951,39952,44504,44505,45580,45581,45714,45715,45716,46057
高度(mm),1870,1870,1870,1870,1870,1870,1870,1870,1910,1910,1870,1970,1970,1910
驻车制动类型,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹,手刹
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
面部识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4080,4080,4080,4080,4080,4080,4080,4080,4245,4245,4080,4245,4245,4245
长*宽*高(mm),4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4080*1840*1870,4245*1830*1910,4245*1830*1910,4080*1840*1870,4245*1830*1970,4245*1830*1970,4245*1830*1910
配气机构,未知,未知,未知,未知,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-,-,-
道路交通标识识别,-,-,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),2300,2300,2300,2300,2300,2300,2300,2300,2460,2460,2300,2460,2460,2460
转向辅助灯,-,-,-,-,-,-,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,3,3,4
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载电视,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,4门5座SUV,3门4座SUV,3门4座SUV,4门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,BJ 212 2019款 1.5T 三角门 国V,BJ 212 2019款 1.5T 方门 国V,BJ 212 2019款 2.8T 三角门 柴油版 国V,BJ 212 2019款 2.8T 方门 柴油版 国V,BJ 212 2019款 1.5T 三角门 国VI,BJ 212 2019款 1.5T 方门 国VI,BJ 212 2019款 改款 1.5T 方门 国VI,BJ 212 2019款 改款 1.5T 三角门 国VI,BJ 212 2020款 1.5T 方门 硬顶,BJ 212 2020款 1.5T 方门 帆布篷,BJ 212 2020款 1.5T 三角门,BJ 212 2020款 1.5T 三门 硬顶,BJ 212 2020款 1.5T 三门 帆布篷,BJ 212 2020款 2.4T 方门 硬顶
车内香氛装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内中控锁,-,-,-,-,-,-,-,-,●,●,●,●,●,-
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
负离子发生器,-,-,-,-,-,-,-,-,-,-,-,-,-,-
触摸式阅读灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
被动行人保护,-,-,-,-,-,-,-,-,-,-,-,-,-,-
行程(mm),-,-,-,-,-,-,84.8,84.8,84.8,84.8,84.8,84.8,84.8,100
行李厢容积(L),-,-,-,-,-,-,-,-,-,-,-,-,-,-
行李厢12V电源接口,-,-,-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动泊车入位,-,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,柴油,柴油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,未知,未知,未知,未知,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),-,-,-,-,-,-,75,75,75,75,75,75,75,87
