Feature,1005499,1005559,1005561,1005564,1005566,1005568,1006380,1006381,1006382,1006383,1006384,1006385
高度(mm),1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890,1890
驱动方式,前置后驱,前置四驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560,5560
长*宽*高(mm),5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890,5560×1940×1890
配气机构,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
道路救援呼叫,-,-,-,-,-,-,-,-,-,-,-,-
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
运动风格座椅,-,-,-,-,-,-,-,-,-,-,-,-
运动外观套件,-,-,-,-,-,-,-,-,-,-,-,-
轴距(mm),3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
转向辅助灯,-,-,-,-,-,-,-,-,-,-,-,-
转向头灯,-,-,-,-,-,-,-,-,-,-,-,-
车顶行李架,-,-,-,-,-,-,-,-,-,-,-,-
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4
车载电视,-,-,-,-,-,-,-,-,-,-,-,-
车载冰箱,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身结构_x,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-
车窗防夹手功能,-,-,-,-,-,-,-,-,-,-,-,-
车型名称,卡威K150GT 2017款 2.0T汽油手动两驱精英型4G63S4T,卡威K150GT 2017款 2.0T汽油手动四驱精英型4G63S4T,卡威K150GT 2017款 2.0T汽油自动两驱精英型4G63S4T,卡威K150GT 2017款 1.9T柴油手动四驱精英型D19TCIE2,卡威K150GT 2017款 1.9T柴油自动两驱精英型D19TCIE2,卡威K150GT 2017款 1.9T柴油手动两驱精英型D19TCIE2,卡威K150GT 2018款 1.9T柴油手动四驱旗舰型D19TCIE2,卡威K150GT 2018款 1.9T柴油自动两驱旗舰型D19TCIE2,卡威K150GT 2018款 1.9T柴油手动两驱旗舰型D19TCIE2,卡威K150GT 2018款 2.0T汽油手动四驱旗舰型4G63S4T,卡威K150GT 2018款 2.0T汽油自动两驱旗舰型4G63S4T,卡威K150GT 2018款 2.0T汽油手动两驱旗舰型4G63S4T
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式,非承载式
货箱尺寸(mm),1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560,1805x1590x560
行程(mm),-,-,-,-,-,-,-,-,-,-,-,-
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,-,-,-
膝部气囊,-,-,-,-,-,-,-,-,-,-,-,-
能源类型,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-
缸盖材料,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝,铝
缸径(mm),-,-,-,-,-,-,-,-,-,-,-,-
缸体材料,铁,铁,铁,未知,未知,未知,未知,未知,未知,铁,铁,铁
级别,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡,皮卡
简称,6挡手动,6挡手动,5挡自动,6挡手动,5挡自动,6挡手动,6挡手动,5挡自动,6挡手动,6挡手动,5挡自动,6挡手动
空气悬架,-,-,-,-,-,-,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-,-,-,-,-,-,-
环保标准_y,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
环保标准_x,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V,国V
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-,-,-,-,-,-,-
燃油标号,92号,92号,92号,0号,0号,0号,0号,0号,0号,92号,92号,92号
燃料形式,汽油,汽油,汽油,柴油,柴油,柴油,柴油,柴油,柴油,汽油,汽油,汽油
温度分区控制,-,-,-,-,-,-,-,-,-,-,-,-
油箱容积(L),70,70,70,70,70,70,70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L,L,L,L,L
每缸气门数(个),未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知,未知
最高车速(km/h),140,140,140,150,150,150,-,-,-,-,-,-
最小离地间隙(mm),235,235,235,235,235,235,235,235,235,235,235,235
最大马力(Ps),177,177,177,150,150,150,150,150,150,177,177,177
最大载重质量(kg),-,-,-,-,-,-,-,-,-,-,-,-
