Feature,56543,56544,56545,56546,56547,56548,56549,62405,63404,63405,66166,66167,66168
高度(mm),1600,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645,1645
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
隐藏电动门把手,-,-,●,●,●,●,●,●,-,●,-,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4602,4602,4602,4602,4602,4602,4602,4602,4602,4602,4602,4602,4602
长*宽*高(mm),4602*1900*1600,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645,4602*1900*1645
钥匙类型,,,,,,,,,,,,,
遥控泊车,-,-,●,●,●,●,●,●,-,●,-,●,●
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,-,-,●,●,●,-,-,●,-,-,●
透明底盘/540度影像,-,-,●,●,●,●,●,●,-,●,-,●,●
远程启动功能,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,
辅助驾驶系统,-,-,-,-,,,,-,-,,-,-,
辅助驾驶等级,-,-,-,-,,,,-,-,,-,-,
轴距(mm),2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750,2750
轮圈材质,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●
车顶行李架,-,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,●,●,●,-,-,●,-,-,●
车道保持辅助系统,-,-,-,-,●,●,●,-,-,●,-,-,●
车载空气净化器,-,-,-,-,-,-,●,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,合创Z03 2022款 430km 潮享版 135kW 55.5kWh,合创Z03 2022款 510km 潮享版 135kW 63.98kWh,合创Z03 2022款 510km 潮酷版 135kW 63.98kWh,合创Z03 2022款 620km 潮酷版 160kW 76.8kWh,合创Z03 2022款 510km 潮智版 135kW 63.98kWh,合创Z03 2022款 620km 潮智版 160kW 76.8kWh,合创Z03 2022款 620km Z潮版 160kW 76.8kWh,合创Z03 2022款 510km 潮酷版 160kW 61.13kWh,合创Z03 2022款 510km 潮享版 160kW 61.13kWh,合创Z03 2022款 510km 潮智版 160kW 61.13kWh,合创Z03 2022款 510km 潮享版 135kW 64.23kWh,合创Z03 2022款 510km 潮酷版 135kW 64.23kWh,合创Z03 2022款 510km 潮智版 135kW 64.23kWh
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,-,-,-,-,●,-,-,-,-,-,-
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,-,-,,,,,,,-,,-,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,
负离子发生器,-,-,-,-,-,-,●,-,-,-,-,-,-
语音连续识别,●,●,●,●,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,●,●,●,-,-,●,-,-,●
自动驻车,●,●,●,●,●,●,●,●,●,●,●,●,●
自动泊车入位,-,-,-,-,-,-,○,-,-,-,-,-,-
自动头灯,-,-,-,-,●,●,●,-,-,●,-,-,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,
