Feature,69110,69111,69943,69944,69945
高度(mm),1570,1570,1570,1570,1570
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
首任车主质保政策,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,●,●,●,●,●
长度(mm),4135,4135,4135,4135,4135
长*宽*高(mm),4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570,4135*1805*1570
钥匙类型,,,,,
道路交通标识识别,-,-,-,-,○
透明底盘/540度影像,-,-,○,○,●
远程启动功能,,,,,
远光灯光源,,,,,
近光灯光源,,,,,
轴距(mm),2650,2650,2650,2650,2650
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,○
车道保持辅助系统,-,-,-,-,-
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车外扬声器数量,,,,,
车型名称,星愿 2025款 310km 青春版,星愿 2025款 410km 自由版,星愿 2025款 310km 梦想版,星愿 2025款 UP 410km 探索版,星愿 2025款 UP 410km 探索+版
车前雾灯,-,-,-,-,-
车内环境氛围灯,-,-,-,-,
车内化妆镜,-,-,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
起步提醒,-,-,-,-,○
语音识别控制系统,,,,,
语音助手唤醒词,,,,,
语音分区域唤醒识别,,,,,
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,○
自动驻车,●,●,●,●,●
自动头灯,-,-,●,●,●
能量回收系统,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,
级别,小型车,小型车,小型车,小型车,小型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),19,19,19,19,19
百公里耗电量(kWh/100km),10.9,10.7,10.9,10.7,10.7
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电能当量燃料消耗量(L/100km),1.27,1.24,1.27,1.24,1.24
电池预加热,●,●,●,●,●
电池能量(kWh),30.12,40.16,30.12,40.16,40.16
电池类型,,,,,
电池快充电量范围(%)_y,30-80,30-80,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80,30-80,30-80
电池快充时间(小时)_y,0.35,0.35,0.35,0.35,0.35
电池快充时间(小时)_x,0.35,0.35,0.35,0.35,0.35
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置
电动机总马力(Ps),79,116,79,116,116
电动机总扭矩(N·m),130,150,130,150,150
电动机总功率(kW),58,85,58,85,85
电动机(Ps),79,116,79,116,116
电动座椅记忆功能,-,-,-,-,-
