Feature,58108,58109,58114,58115,63265,63498
高度(mm),1469,1469,1469,1469,1469,1469
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4785,4785,4785,4785,4785,4785
长*宽*高(mm),4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469,4785*1869*1469
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,○,●,-,●,-,-
道路救援呼叫,●,●,●,●,-,-
道路交通标识识别,○,●,-,●,-,-
透明底盘/540度影像,○,●,-,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
运动外观套件,●,-,-,●,-,●
辅助驾驶等级,,,-,,-,-
轴距(mm),2800,2800,2800,2800,2800,2800
轮圈材质,,,,,,
车门数(个),4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,●,-,●,-,-
车道偏离预警系统,○,●,-,●,-,-
车道保持辅助系统,○,●,-,●,-,-
车载空气净化器,○,-,-,-,-,-
车载智能系统,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,星瑞 2023款 2.0TD 时空版,星瑞 2023款 2.0TD 尊贵型,星瑞 2023款 2.0TD 豪华型,星瑞 2023款 2.0TD 只此青绿版,星瑞 2023款 1.5TD 扶摇版,星瑞 2023款 1.5TD 昆仑版
车前雾灯,-,-,-,-,-,-
车内香氛装置,○,●,-,●,-,-
车内环境氛围灯,,,-,,-,-
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
负离子发生器,○,-,-,-,-,-
语音识别控制系统,,,,,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,○,●,-,●,-,-
自动驻车,●,●,●,●,●,●
自动泊车入位,○,●,-,●,-,-
自动头灯,●,●,●,●,●,●
能源类型,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车,紧凑型车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),14.3,14.3,14.3,14.3,15,15
疲劳驾驶提示,-,-,-,-,-,-
电动座椅记忆功能,,-,-,,-,-
电动后备厢,-,-,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,92号,92号
燃料形式,汽油,汽油,汽油,汽油,汽油,汽油
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),50,50,50,50,50,50
气缸数(个),4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L
每缸气门数(个),4,4,4,4,4,4
最高车速(km/h),210,210,210,210,195,195
最大马力(Ps),190,190,190,190,181,181
最大满载质量(kg),2050,2050,2050,2050,1905,1905
最大扭矩转速(rpm),1400-4000,1400-4000,1400-4000,1400-4000,2000-3500,2000-3500
最大扭矩(N·m)_y,300,300,300,300,290,290
最大扭矩(N·m)_x,300,300,300,300,290,290
最大功率转速(rpm),4700,4700,4700,4700,5500,5500
最大功率(kW)_y,140,140,140,140,133,133
最大功率(kW)_x,140,140,140,140,133,133
最大净功率(kW),140,140,140,140,128,128
无钥匙进入功能,,,,,,
无钥匙启动系统,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,●,●,-,●,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里,四年或10万公里
整备质量(kg),1500,1542,1500,1542,1465,1465
接近角(°),14.8,14.8,14.8,14.8,13,13
排量(mL),1969,1969,1969,1969,1499,1499
换挡形式,,,,,,
挡位个数,7,7,7,7,7,7
扬声器数量,,,,,,
扬声器品牌名称,,,-,,-,-
手机无线充电功能,,-,-,-,-,-
手机互联/映射,,,,,,
手机APP远程功能,,,,,,
感应雨刷功能,,,-,,-,-
座椅材质,,,,,,
座位数(个),5,5,5,5,5,5
并线辅助,○,●,-,●,-,-
巡航系统,,,,,,
导航路况信息显示,●,●,●,●,●,●
宽度(mm),1869,1869,1869,1869,1869,1869
官方0-100km/h加速(s),7.9,7.9,7.9,7.9,-,-
安全带未系提醒,,,,,,
天窗类型,,,,,,
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,●,●,●
外后视镜功能,,,,,,
备胎规格,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸,非全尺寸
地图品牌,,,,,,
四驱形式,-,-,-,-,-,-
后雨刷,-,-,-,-,-,-
后轮距(mm),1618,1618,1618,1618,1618,1618
后轮胎规格,235/45 R18,225/45 R18,215/55 R17,225/45 R18,215/55 R17,225/45 R18
后排独立空调,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●
后排座椅放倒形式,,,,,,
后悬架类型,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架,多连杆式独立悬架
后座出风口,●,●,●,●,●,●
后备厢容积(L),-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT),湿式双离合变速箱(DCT)
变速箱,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
发动机电子防盗,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置
发动机型号,JLH-4G20TD,JLH-4G20TD,JLH-4G20TD,JLH-4G20TD,BHE15-EFZ,BHE15-EFZ
发动机,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,2.0T 190马力 L4,1.5T 181马力 L4,1.5T 181马力 L4
厂商指导价(元),13.27万,13.97万,12.57万,14.57万,10.87万,11.47万
厂商,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车,吉利汽车
卫星导航系统,●,●,●,●,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,○,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),1618,1618,1618,1618,1618,1618
前轮胎规格,235/45 R18,225/45 R18,215/55 R17,225/45 R18,215/55 R17,225/45 R18
前方碰撞预警,○,●,-,●,-,-
前排座椅功能,,,-,,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●
内置行车记录仪,○,○,○,○,○,○
内后视镜功能,,,,,,
全液晶仪表盘,○,●,-,●,-,●
供油方式,直喷,直喷,直喷,直喷,直喷,直喷
主座椅调节方式,,,,,,
主动刹车/主动安全系统,○,●,-,●,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副○,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,
中控屏幕尺寸,,,,,,
中央差速器结构,-,-,-,-,-,-
上市时间,2022.07,2022.07,2022.07,2022.07,2023.06,2023.06
上坡辅助,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●
WLTC综合油耗(L/100km),-,-,-,-,6.2,6.2
USB/Type-C接口数量,,,,,,
OTA升级,●,●,●,●,●,●
NEDC综合油耗(L/100km),6.7,6.7,6.7,6.7,-,-
LED日间行车灯,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●
HUD抬头数字显示,○,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●
4G/5G网络,,,,,,
