Feature,69919,70654,70655,70656,70657
高度(mm),1685,1685,1685,1685,1685
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,
风阻系数(Cd),0.288,0.288,0.288,0.288,0.288
陡坡缓降,●,●,●,●,●
防侧翻系统,●,●,●,●,●
长度(mm),4740,4740,4740,4740,4740
长*宽*高(mm),4740*1905*1685,4740*1905*1685,4740*1905*1685,4740*1905*1685,4740*1905*1685
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,-,○,-,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,,
辅助驾驶等级,,-,,-,
轴距(mm),2755,2755,2755,2755,2755
轮圈材质,,,,,
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,○,-,●
车道偏离预警系统,●,-,○,-,●
车道保持辅助系统,●,-,○,-,●
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,银河星舰7 EM-i 2025款 120km 领航版,银河星舰7 EM-i 2025款 55km 启航版,银河星舰7 EM-i 2025款 55km 探索版,银河星舰7 EM-i 2025款 120km 启航+版,银河星舰7 EM-i 2025款 120km 探索+版
车前雾灯,-,-,-,-,-
车内环境氛围灯,,-,-,-,-
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音分区域唤醒识别,,,,,
语音免唤醒词,●,●,●,●,●
行车电脑显示屏幕,,,,,
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,-,○,-,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
简称,1挡DHT,1挡DHT,1挡DHT,1挡DHT,1挡DHT
第二排座椅调节,-,-,-,-,-
空调温度控制方式,,,,,
离去角(°),20,20,20,20,20
百公里耗电量(kWh/100km),14.8,11,11,14.8,14.8
疲劳驾驶提示,-,-,-,-,-
电芯品牌,,,,,
电池预加热,●,●,●,●,●
电池能量(kWh),19.09,8.5,8.5,19.09,19.09
电池类型,,,,,
电池特有技术,神盾电池,神盾电池,神盾电池,神盾电池,神盾电池
电池快充电量范围(%)_y,30-80,-,-,30-80,30-80
电池快充电量范围(%)_x,30-80,-,-,30-80,30-80
电池快充时间(小时)_y,0.33,-,-,0.33,0.33
电池快充时间(小时)_x,0.33,-,-,0.33,0.33
电池冷却方式,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置
电动机总马力(Ps),218,218,218,218,218
电动机总扭矩(N·m),262,262,262,262,262
电动机总功率(kW),160,160,160,160,160
电动机(Ps),218,218,218,218,218
电动座椅记忆功能,,-,-,-,-
电动后备厢位置记忆,●,-,●,-,●
电动后备厢,●,-,●,-,●
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,92号,92号,92号,92号,92号
温度分区控制,-,-,-,-,-
液晶仪表尺寸,,,,,
油箱容积(L),51,51,51,51,51
油电综合燃料消耗量(L/100km),2.71,-,-,2.71,2.71
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
毫米波雷达数量,,-,-,-,-
每缸气门数(个),4,4,4,4,4
最高车速(km/h),180,180,180,180,180
最小转弯半径(m),5.3,5.3,5.3,5.3,5.3
最大马力(Ps),112,112,112,112,112
最大满载质量(kg),2144,2010,2010,2144,2144
最大扭矩转速(rpm),4000-5000,4000-5000,4000-5000,4000-5000,4000-5000
最大扭矩(N·m)_y,136,136,136,136,136
最大扭矩(N·m)_x,-,-,-,-,-
最大功率转速(rpm),6000,6000,6000,6000,6000
最大功率(kW)_y,82,82,82,82,82
最大功率(kW)_x,-,-,-,-,-
最大净功率(kW),79,79,79,79,79
最低荷电状态油耗(L/100km)CLTC,3.75,3.75,3.75,3.75,3.75
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,-,-,-,-,-
方向盘材质,,,,,
方向盘换挡,-,-,-,-,-
方向盘加热,-,-,-,-,-
方向盘位置调节,,,,,
整车质保,,,,,
整备质量(kg),1724,1610,1610,1724,1724
摄像头数量,,,,,
接近角(°),18,18,18,18,18
排量(mL),1499,1499,1499,1499,1499
换挡形式,,,,,
挡位个数,1,1,1,1,1
扬声器数量,,,,,
扬声器品牌名称,-,-,-,-,-
手机无线充电功能,,-,,-,
手机无线充电功率,,-,,-,
手机互联/映射,,,,,
手机APP远程功能,,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,,,
快充接口位置,车右后侧,-,-,车右后侧,车右后侧
快充功能,支持,-,-,支持,支持
快充功率(kW),36,-,-,36,36
座椅材质,,,,,
座位数(个),,,,,
应用商店,●,●,●,●,●
并线辅助,●,-,-,-,-
巡航系统,,,,,
导航路况信息显示,●,●,●,●,●
对外放电,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3
宽度(mm),1905,1905,1905,1905,1905
官方0-100km/h加速(s),7.5,7.5,7.5,7.5,7.5
安全带未系提醒,,,,,
天窗类型,,-,,,
大灯高度可调,●,●,●,●,●
大灯延时关闭,●,●,●,●,●
多媒体/充电接口,,,,,
