Feature,63400,64141,65167,67706,67939,67940,67941
高度(mm),1822,1822,1822,1843,1822,1843,1843
驾驶辅助影像,,,-,,-,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
限滑差速器/差速锁,,,-,,-,,
防侧翻系统,●,●,●,●,●,●,●
长度(mm),4800,4800,4800,4800,4800,4800,4800
长*宽*高(mm),4800*1916*1822,4800*1916*1822,4800*1916*1822,4800*1950*1843,4800*1916*1822,4800*1950*1843,4800*1950*1843
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
遥控泊车,-,-,-,○,-,-,-
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,●,-,●,●
透明底盘/540度影像,●,●,-,●,-,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶系统,,,-,,-,,
辅助驾驶等级,,,-,,-,,
轴距(mm),2738,2738,2738,2738,2738,2738,2738
轮圈材质,,,,,,,
车顶行李架,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,●,-,●,●
车道偏离预警系统,●,●,-,●,-,●,●
车道保持辅助系统,●,●,-,●,-,●,●
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车型名称,哈弗猛龙 2023款 Hi4 145 探索版,哈弗猛龙 2023款 Hi4 102 探索版,哈弗猛龙 2023款 Hi4 102 探界版,哈弗猛龙 2024款 Hi4 145 穿越版,哈弗猛龙 2024款 Hi4 102 Air,哈弗猛龙 2024款 Hi4 102 Pro,哈弗猛龙 2024款 Hi4 145 Pro
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,-,-,,-,-,-
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,
负离子发生器,○,-,-,●,-,-,-
语音连续识别,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
语音助手唤醒词,,,,,,,
语音分区域唤醒识别,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,-,●,-,●,●
自动驾驶辅助路段,-,-,-,,-,-,-
自动驻车,●,●,●,●,●,●,●
自动泊车入位,-,-,-,○,-,-,-
自动头灯,●,●,●,●,●,●,●
自动变道辅助,-,-,-,○,-,-,-
能量回收系统,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力,插电式混合动力
胎压监测功能,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
纵向通过角(°),19,19,19,20.1,19,20.1,20.1
级别,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV,紧凑型SUV
系统综合扭矩(N·m),750,750,750,750,750,750,750
系统综合功率(kW),282,278,278,282,278,278,282
系统综合功率(Ps),384,378,378,384,378,378,384
简称,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT,2挡DHT
