Feature,67743,67748
高度(mm),1480,1480
驾驶辅助影像,-,-
驾驶模式切换,-,-
驻车制动类型,,
驱动电机数,单电机,单电机
驱动方式,,
风阻系数(Cd),-,-
陡坡缓降,-,-
长度(mm),4980,4980
长*宽*高(mm),4980*1980*1480,4980*1980*1480
钥匙类型,-,-
配气机构,DOHC,DOHC
远光灯光源,-,-
进气形式,自然吸气,自然吸气
近光灯光源,-,-
轴距(mm),2980,2980
轮圈材质,-,-
车门数(个),,
车门开启方式,平开门,平开门
车道偏离预警系统,-,-
车道保持辅助系统,-,-
车载空气净化器,-,-
车身结构_y,旅行车,旅行车
车身结构_x,5门5座旅行车,5门5座旅行车
车身稳定控制(ESC/ESP/DSC等),-,-
车联网,-,-
车窗防夹手功能,-,-
车窗一键升降功能,-,-
车型名称,哪吒S猎装 2024款 增程 300 MAX,哪吒S猎装 2024款 增程 300 PRO
车前雾灯,-,-
车内环境氛围灯,-,-
车内化妆镜,-,-
车内中控锁,-,-
车内PM2.5过滤装置,-,-
车体结构,承载式,承载式
语音识别控制系统,-,-
行车电脑显示屏幕,-,-
蓝牙/车载电话,-,-
自适应远近光,-,-
自动驻车,-,-
自动头灯,-,-
能源类型_y,增程式,增程式
能源类型_x,增程式,增程式
胎压监测功能,-,-
缸盖材料,-,-
缸体材料,-,-
级别,中大型车,中大型车
简称,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-
空调温度控制方式,-,-
离去角(°),19,19
百公里耗电量(kWh/100km),-,20.8
疲劳驾驶提示,-,-
电芯品牌,,
电池能量(kWh),43,31
电池类型,,
电池冷却方式,液冷,液冷
电机类型,永磁/同步,永磁/同步
电机布局,后置,后置
电动机总马力(Ps),272,272
电动机总功率(kW),200,200
电动机(Ps),272,272
电动座椅记忆功能,-,-
电动后备厢,-,-
环保标准_y,国VI,国VI
环保标准_x,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-
燃油标号,92号,92号
温度分区控制,-,-
液晶仪表尺寸,-,-
气缸数(个),4,4
气缸排列形式,L,L
每缸气门数(个),4,4
最高车速(km/h),185,185
最大马力(Ps),95,95
最大满载质量(kg),2345,2335
最大扭矩转速(rpm),-,-
最大扭矩(N·m)_y,-,-
最大扭矩(N·m)_x,-,-
最大功率转速(rpm),-,-
最大功率(kW)_y,70,70
最大功率(kW)_x,200,200
最大净功率(kW),65,65
最低荷电状态油耗(L/100km)WLTC,-,5.7
无钥匙进入功能,-,-
无钥匙启动系统,-,-
方向盘记忆,-,-
方向盘材质,-,-
方向盘换挡,-,-
方向盘加热,-,-
方向盘位置调节,-,-
整车质保,,
整备质量(kg),1970,1960
接近角(°),14,14
排量(mL),1498,1498
挡位个数,1,1
扬声器数量,-,-
扬声器品牌名称,-,-
手机无线充电功能,-,-
手机互联/映射,-,-
感应雨刷功能,-,-
快充功能,支持,支持
座椅材质,-,-
座位数(个),,
并线辅助,-,-
巡航系统,-,-
导航路况信息显示,-,-
宽度(mm),1980,1980
官方0-100km/h加速(s),-,-
安全带未系提醒,-,-
天窗类型,-,-
大灯高度可调,-,-
大灯延时关闭,-,-
多媒体/充电接口,-,-
多功能方向盘,-,-
外后视镜功能,-,-
备胎规格,,
后雨刷,-,-
后轮距(mm),1705,1705
后轮胎规格,,
后电动机最大功率(kW),200,200
后电动机型号,TZ210XS002,TZ210XS002
后电动机品牌,中车时代,中车时代
后排独立空调,-,-
后排杯架,-,-
后排座椅放倒形式,-,-
后悬架类型,,
后座出风口,-,-
后备厢容积(L),593-1295,593-1295
后制动器类型,,
变速箱类型,固定齿比变速箱,固定齿比变速箱
变速箱,电动车单速变速箱,电动车单速变速箱
发动机电子防盗,-,-
发动机布局,横置,横置
发动机型号,DAM15HE,DAM15HE
发动机,1.5L 95马力 L4,1.5L 95马力 L4
厂商指导价(元),-,-
厂商,合众汽车,合众汽车
卫星导航系统,-,-
助力类型,,
副驾驶位后排可调节按钮,-,-
副座椅调节方式,-,-
前轮距(mm),1706,1706
前轮胎规格,,
前排座椅功能,-,-
前悬架类型,,
前制动器类型,,
前/后驻车雷达,-,-
前/后电动车窗,-,-
前/后排头部气囊(气帘),-,-
前/后排侧气囊,-,-
前/后中央扶手,-,-
刹车辅助(EBA/BAS/BA等),-,-
制动力分配(EBD/CBC等),-,-
内后视镜功能,-,-
全液晶仪表盘,-,-
供油方式,-,-
主座椅调节方式,-,-
主动刹车/主动安全系统,-,-
主/副驾驶座电动调节,-,-
主/副驾驶座安全气囊,-,-
中控彩色屏幕,-,-
中控屏幕尺寸,-,-
上市时间,-,-
上坡辅助,-,-
三电系统质保,,
WLTC综合油耗(L/100km),0.87,1.06
WLTC纯电续航里程(km)_y,-,125
WLTC纯电续航里程(km)_x,-,125
USB/Type-C接口数量,-,-
OTA升级,-,-
LED日间行车灯,-,-
ISOFIX儿童座椅接口,-,-
ABS防抱死,-,-
