Feature,48379,48380,48381,48382,48383,48384
高度(mm),1620,1620,1620,1611,1611,1611
驾驶辅助影像,-,-,,-,-,
驾驶模式切换,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4150,4150,4150,4150,4150,4150
长*宽*高(mm),4150*1800*1620,4150*1800*1620,4150*1800*1620,4150*1800*1611,4150*1800*1611,4150*1800*1611
钥匙类型,,,,,,
远程启动功能,-,-,,-,,
远光灯光源,,,,,,
近光灯光源,,,,,,
轴距(mm),2650,2650,2650,2650,2650,2650
轮圈材质,,,,,,
转向辅助灯,●,●,●,-,●,●
车顶行李架,-,●,●,-,-,●
车门数(个),5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,●,-,-,●
车道保持辅助系统,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-
车联网,-,-,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,国机智骏GX5 2021款 智领 430,国机智骏GX5 2021款 智悦 430,国机智骏GX5 2021款 智尊 430,国机智骏GX5 2021款 智领 430P,国机智骏GX5 2021款 智悦 430P,国机智骏GX5 2021款 智尊 430P
车前雾灯,-,-,,-,,
车内环境氛围灯,-,-,,-,-,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,-,●,●,-,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,-,●,●,-,●,●
语音识别控制系统,-,-,,-,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-
自动头灯,-,●,●,-,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
级别,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV,小型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-,-,-,-
空调温度控制方式,,,,,,
离去角(°),36,36,36,36,36,36
百公里耗电量(kWh/100km),13,13,13,14,14,14
疲劳驾驶提示,-,-,-,-,-,-
电芯品牌,捷威,捷威,捷威,捷威,捷威,捷威
电能当量燃料消耗量(L/100km),1.47,1.47,1.47,1.58,1.58,1.58
电池预加热,●,●,●,●,●,●
电池能量密度(Wh/kg),191,191,191,148,148,148
电池能量(kWh),46.4,46.4,46.4,46.4,46.4,46.4
电池组质保,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里,八年或15万公里
电池类型,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池,三元锂电池
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置,前置,前置,前置
电动机总扭矩(N·m),180,180,180,280,280,280
电动机总功率(kW),65,65,65,90,90,90
电动机总功率(Ps),-,-,-,-,-,-
电动机(Ps),88,88,88,122,122,122
电动座椅记忆功能,-,-,-,-,-,-
电动后备厢,-,-,-,-,-,-
牵引力控制(ASR/TCS/TRC等),-,-,-,-,-,-
满载最小离地间隙(mm),150,150,150,150,150,150
温度分区控制,-,-,-,-,-,-
液晶仪表尺寸,,,,,,
最高车速(km/h),140,140,140,140,140,140
最大满载质量(kg),1825,1825,1825,1825,1825,1825
最大扭矩(N·m),180,180,180,280,280,280
最大功率(kW),65,65,65,90,90,90
无钥匙进入功能,,,,-,,
无钥匙启动系统,●,●,●,-,●,●
方向盘记忆,-,-,-,-,-,-
方向盘材质,,,,,,
方向盘换挡,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-
方向盘位置调节,,,,,,
整车质保,-,-,-,-,-,-
整备质量(kg),1450,1450,1450,1450,1450,1450
接近角(°),24,24,24,24,24,24
换挡形式,,,,,,
挡位个数,1,1,1,1,1,1
扬声器数量,,,,,,
扬声器品牌名称,-,-,-,-,-,-
手机无线充电功能,-,,,-,-,
手机互联/映射,,,,,,
慢充时间(小时)_y,7.5,7.5,7.5,7.5,7.5,7.5
慢充时间(小时)_x,7.5,7.5,7.5,7.5,7.5,7.5
感应雨刷功能,-,,,-,,
快充电量百分比,80,80,80,80,80,80
快充电量(%),80,80,80,80,80,80
快充时间(小时)_y,0.67,0.67,0.67,0.67,0.67,0.67
快充时间(小时)_x,0.67,0.67,0.67,0.67,0.67,0.67
快充功能,-,-,-,-,-,-
座椅材质,,,,,,
座位数(个),5,5,5,5,5,5
并线辅助,-,-,●,-,-,●
巡航系统,,,,-,-,-
导航路况信息显示,-,-,●,-,●,●
宽度(mm),1800,1800,1800,1800,1800,1800
官方0-50km/h加速(s),4.5,4.5,4.5,3.9,3.9,3.9
官方0-100km/h加速(s),-,-,-,-,-,-
安全带未系提醒,,,,,,
天窗类型,-,,,-,-,
大灯高度可调,●,●,●,●,●,●
大灯延时关闭,●,●,●,-,●,●
多媒体/充电接口,,,,,,
多功能方向盘,●,●,●,-,●,●
外后视镜功能,,,,,,
备胎规格,无,无,无,无,无,无
四驱形式,-,-,-,-,-,-
后雨刷,●,●,●,●,●,●
后轮距(mm),1562,1562,1562,1562,1562,1562
后轮胎规格,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17
后排独立空调,-,-,-,-,-,-
后排杯架,-,-,-,-,-,-
后排座椅放倒形式,,,,,,
后悬架类型,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架,扭力梁式非独立悬架
后座出风口,-,-,-,-,-,-
后备厢容积(L),-,-,-,-,-,-
后制动器类型,盘式,盘式,盘式,盘式,盘式,盘式
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),11.58万,12.38万,13.38万,11.58万,12.98万,13.98万
厂商,国机智骏,国机智骏,国机智骏,国机智骏,国机智骏,国机智骏
卫星导航系统,-,-,●,-,●,●
助力类型,电动助力,电动助力,电动助力,电动助力,电动助力,电动助力
副驾驶位后排可调节按钮,-,-,-,-,-,-
副座椅调节方式,,,,,,
前轮距(mm),1556,1556,1556,1556,1556,1556
前轮胎规格,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17,215/50 R17
前电动机最大扭矩(N·m),180,180,180,280,280,280
前电动机最大功率(kW),65,65,65,90,90,90
前排座椅功能,-,-,-,-,-,-
前悬架类型,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架,麦弗逊式独立悬架
前制动器类型,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式,通风盘式
前/后驻车雷达,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,-,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),-,-,-,-,-,-
前/后排侧气囊,-,-,前●&nbsp;/&nbsp;后-,-,-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),-,-,-,-,-,-
制动力分配(EBD/CBC等),●,●,●,●,●,●
内后视镜功能,,,,,,
全液晶仪表盘,●,●,●,●,●,●
主座椅调节方式,,,,,,
主动刹车/主动安全系统,-,-,-,-,-,-
主/副驾驶座电动调节,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-,-,主●&nbsp;/&nbsp;副-,主●&nbsp;/&nbsp;副-
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,
中控屏幕尺寸,,,,,,
中央差速器结构,-,-,-,-,-,-
上市时间,2020.10,2020.10,2020.10,2020.10,2020.10,2020.10
上坡辅助,-,-,-,-,-,-
USB/Type-C接口数量,,,,,,
OTA升级,-,-,●,-,●,●
NEDC纯电续航里程(km)_y,338,338,338,338,338,338
NEDC纯电续航里程(km)_x,338,338,338,338,338,338
LED日间行车灯,●,●,●,-,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●
ABS防抱死,●,●,●,●,●,●
