Feature,71025,71026,71027,72574,72575,72576
高度(mm),1592,1592,1592,1592,1592,1592
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4336,4319,4319,4336,4319,4319
长*宽*高(mm),4336*1819*1592,4319*1819*1592,4319*1819*1592,4336*1819*1592,4319*1819*1592,4319*1819*1592
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,-,●,●,-,●,●
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
辅助驾驶系统,-,,,-,,
辅助驾驶等级,-,,,-,,
辅助泊车入位,-,-,●,-,-,●
轴距(mm),2680,2680,2680,2680,2680,2680
轮圈材质,,,,,,
转向辅助灯,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,○,●,-,○,●
车道偏离预警系统,-,●,●,-,●,●
车道保持辅助系统,-,●,●,-,●,●
车载空气净化器,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,T-ROC探歌 2025款 280TSI DSG两驱时光版,T-ROC探歌 2025款 300TSI DSG两驱辰光版,T-ROC探歌 2025款 300TSI DSG两驱星光版,T-ROC探歌 2025款 改款 280TSI DSG两驱时光版,T-ROC探歌 2025款 改款 300TSI DSG两驱辰光版,T-ROC探歌 2025款 改款 300TSI DSG两驱星光版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
语音识别控制系统,-,,,-,,
语音助手唤醒词,-,,,-,,
语音分区域唤醒识别,-,,,-,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,-,●,●,-,●,●
自动驻车,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油
