Feature,64089,64113,64114,65340,67032,67033
高度(mm),1459,1459,1459,1459,1459,1459
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-
长度(mm),4869,4865,4865,4869,4865,4869
长*宽*高(mm),4869*1870*1459,4865*1870*1459,4865*1870*1459,4869*1870*1459,4865*1870*1459,4869*1870*1459
钥匙类型,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路交通标识识别,●,●,-,-,●,●
远光灯光源,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,
辅助驾驶系统,,,,,,
辅助驾驶等级,,,-,-,,
轴距(mm),2841,2841,2841,2841,2841,2841
轮圈材质,,,,,,
转向辅助灯,●,●,○,○,●,●
转向头灯,●,●,○,○,●,●
车顶行李架,●,-,-,●,-,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,●,●
车道偏离预警系统,●,●,-,-,●,●
车道保持辅助系统,●,●,-,-,●,●
车载空气净化器,●,●,●,●,●,●
车身结构_y,旅行跨界车,掀背车,掀背车,旅行跨界车,掀背车,旅行跨界车
车身结构_x,5门5座旅行跨界车,5门5座掀背车,5门5座掀背车,5门5座旅行跨界车,5门5座掀背车,5门5座旅行跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,一汽-大众CC 2024款 猎装车 380TSI 猎心版,一汽-大众CC 2024款 380TSI 夺目版,一汽-大众CC 2024款 330TSI 炫目版,一汽-大众CC 2024款 猎装车 330TSI 猎目版,一汽-大众CC 2024款 380TSI 耀目版,一汽-大众CC 2024款 猎装车 380TSI 猎风版
车前雾灯,-,-,-,-,-,-
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,
语音识别控制系统,,,,,,
行车电脑显示屏幕,,,,,,
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,○,○,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,-,-,●,●
自动头灯,●,●,●,●,●,●
膝部气囊,,,-,-,,
能量回收系统,●,●,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁,铸铁,铸铁
级别,中型车,中型车,中型车,中型车,中型车,中型车
简称,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合,7挡湿式双离合
第二排座椅调节,-,-,-,-,-,-
第二排座椅功能,,,-,-,,
空调温度控制方式,,,,,,
离去角(°),15,15,15,15,15,15
疲劳驾驶提示,●,●,●,●,●,●
电动座椅记忆功能,,,-,-,,
