Feature,58124,59028,59099,59569,59757,59758,59759,59761,59762,59763,62983,62984,62985,62986,62987,62988,62989,64560,64561,64562,64563,64564,67608,67609,67610,67611,67612
高度(mm),1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729,1729
驾驶辅助影像,,,,,,,,,,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,-,-,●,●,●,●,-,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917,4917
长*宽*高(mm),4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729,4917*1989*1729
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶系统,,,,,,,,,,,,,,,,,,,,,,,,,,,
辅助驾驶等级,,-,,,-,,,,,,-,,-,,,,,-,,,,,-,,,,
轴距(mm),2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980,2980
轮圈材质,,,,,,,,,,,,,,,,,,,,,,,,,,,
转向辅助灯,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
转向头灯,-,-,-,-,-,-,-,●,-,●,-,-,-,-,-,-,●,-,-,-,●,●,-,-,-,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,-,●,●,-,●,●,●,●,●,-,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●
车道偏离预警系统,●,-,●,●,-,●,●,●,●,●,-,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●
车道保持辅助系统,●,-,●,●,-,●,●,●,●,●,-,●,-,●,●,●,●,-,●,●,●,●,-,●,●,●,●
