Feature,59585,59586,59587,59652,59653,59654,63628,63629,63630,63631,63632,63633,63634
高度(mm),1598,1598,1598,1598,1598,1598,1600,1598,1598,1598,1598,1598,1598
驾驶辅助影像,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,
驻车制动类型,手刹,手刹,电子驻车,手刹,手刹,电子驻车,手刹,手刹,手刹,手刹,手刹,电子驻车,电子驻车
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱,前置前驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695,3695
长*宽*高(mm),3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1600,3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1598,3695*1685*1598
钥匙类型,,,,,,,,,,,,,
远程启动功能,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,
近光灯光源,,,,,,,,,,,,,
轴距(mm),2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410,2410
轮圈材质,,,,,,,,,,,,,
转向辅助灯,-,-,●,-,-,●,-,-,-,-,-,●,●
车门数(个),5,5,5,5,5,5,5,5,5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车道保持辅助系统,-,-,-,-,-,-,-,-,-,-,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-,-,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,-,-,-,-,-,-,-,-,-,-,-
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,
车型名称,悦虎 2022款 300 标准版,悦虎 2022款 300 豪华版,悦虎 2022款 300 贵宾版,悦虎 2022款 330 标准版,悦虎 2022款 330 豪华版,悦虎 2022款 330 贵宾版,悦虎 2023款 230 标准版,悦虎 2023款 300 标准版,悦虎 2023款 330 标准版,悦虎 2023款 300 豪华版,悦虎 2023款 330 豪华版,悦虎 2023款 300 贵宾版,悦虎 2023款 330 贵宾版
车前雾灯,-,-,,-,-,,-,-,-,-,-,,
车内环境氛围灯,-,-,-,-,-,-,-,-,-,-,-,-,-
车内化妆镜,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-,-,-,-,-,-,-,-,-
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,,,,,
语音识别控制系统,-,-,-,-,-,-,-,,,,,,
行车电脑显示屏幕,,,,,,,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-,-,-,-,-
自动驻车,-,-,-,-,-,-,-,-,-,-,-,-,-
自动头灯,-,-,-,-,-,-,-,-,-,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-,-,-,-,-,-
