Feature,56306,56307,56308,56309,56310,56314,56315,56319,56321,56323,56327,56328,59401,59402,59410,59411,59413,59414,59415,59419,64220,64221,64222,64223,64224,64225,65676,65677,65678,65679,65680,65681
高度(mm),1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
驾驶辅助影像,-,-,,,,-,,-,,,-,,,,,-,,,,,,,,,,,-,-,-,-,-,-
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850,4850
长*宽*高(mm),4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780,4850*1860*1780
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
