Feature,68126,68127,68128,69331
高度(mm),1570,1570,1570,1570
驾驶辅助影像,,,,
驾驶模式切换,-,-,,
驻车制动类型,,,,
驱动方式,,,,
首任车主质保政策,,,,
风阻系数(Cd),-,-,-,-
陡坡缓降,-,-,○,-
长度(mm),4200,4200,4200,4200
长*宽*高(mm),4200*1760*1570,4200*1760*1570,4200*1760*1570,4200*1760*1570
钥匙类型,,,,
配气机构,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,
进气形式,自然吸气,自然吸气,自然吸气,自然吸气
近光灯光源,,,,
轴距(mm),2555,2555,2555,2555
轮圈材质,,,,
车顶行李架,●,●,●,-
车门数(个),,,,
车门开启方式,平开门,平开门,平开门,平开门
车道偏离预警系统,-,-,-,-
车道保持辅助系统,-,-,-,-
车载空气净化器,-,-,-,-
车身结构_y,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),-,-,○,-
车联网,-,-,-,-
车窗防夹手功能,-,-,-,-
车窗一键升降功能,-,-,-,-
车型名称,瑞虎3x 2024款 惠民版 1.5L 手动都市型,瑞虎3x 2024款 惠民版 1.5L 手动时尚型,瑞虎3x 2024款 惠民版 1.5L CVT时尚型,瑞虎3x 2024款 1.5L CVT卓越版
车前雾灯,-,-,-,-
车内环境氛围灯,-,-,-,-
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,-,-,-,-
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
语音识别控制系统,-,-,-,-
语音分区域唤醒识别,,,,
行车电脑显示屏幕,,,,
蓝牙/车载电话,●,●,●,●
自适应远近光,-,-,-,-
自动驻车,-,-,○,-
自动头灯,●,●,●,●
能源类型_y,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油
胎压监测功能,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铸铁,铸铁
级别,小型SUV,小型SUV,小型SUV,小型SUV
简称,5挡手动,5挡手动,CVT无级变速(模拟9挡),CVT无级变速(模拟9挡)
第二排座椅调节,-,-,-,-
空调温度控制方式,,,,
离去角(°),26,26,26,26
疲劳驾驶提示,-,-,-,-
电动座椅记忆功能,-,-,-,-
电动后备厢,-,-,-,-
环保标准_y,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),-,-,○,-
燃油标号,92号,92号,92号,92号
温度分区控制,-,-,-,-
液晶仪表尺寸,,,,
油箱容积(L),48,48,48,48
气缸数(个),4,4,4,4
气缸排列形式,L,L,L,L
每缸气门数(个),4,4,4,4
最高车速(km/h),170,170,165,165
最大马力(Ps),116,116,116,116
最大满载质量(kg),1662,1662,1662,1662
最大扭矩转速(rpm),4000,4000,4000,4000
最大扭矩(N·m)_y,143,143,143,143
最大扭矩(N·m)_x,143,143,143,143
最大功率转速(rpm),6150,6150,6150,6150
最大功率(kW)_y,85,85,85,85
最大功率(kW)_x,85,85,85,85
最大净功率(kW),83,83,83,83
无钥匙进入功能,-,-,,-
无钥匙启动系统,-,-,●,●
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,-,-,-,-
方向盘位置调节,,,,
整车质保,,,,
整备质量(kg),1238,1238,1268,1268
摄像头数量,,,,
接近角(°),20,20,20,20
排量(mL),1499,1499,1499,1499
换挡形式,,,,
挡位个数,5,5,9,9
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,-,-,-,-
手机互联/映射,,,,
感应雨刷功能,-,-,-,-
座椅材质,,,,
座位数(个),,,,
并线辅助,-,-,-,-
巡航系统,,,,-
导航路况信息显示,-,-,-,-
宽度(mm),1760,1760,1760,1760
官方0-100km/h加速(s),-,-,-,-
安全带未系提醒,,,,
