Feature,59662,60674,60779,61207,61336
高度(mm),1403,1408,1403,1403,1408
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-
陡坡缓降,-,-,-,-,-
长度(mm),4439,4445,4439,4439,4445
长*宽*高(mm),4439*1796*1403,4445*1850*1408,4439*1796*1403,4439*1796*1403,4445*1850*1408
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
运动风格座椅,○,●,●,●,●
运动外观套件,○,●,●,●,○
辅助驾驶等级,,,,,
轴距(mm),2729,2729,2729,2729,2729
轮圈材质,,,,,
转向头灯,●,●,●,●,●
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,-,○,○,●
车道偏离预警系统,○,●,○,○,●
车道保持辅助系统,○,●,○,○,●
车载空气净化器,-,-,-,-,-
车载智能系统,,,,,
车身结构_y,两厢车,两厢车,两厢车,两厢车,两厢车
车身结构_x,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车,5门5座两厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,奔驰A级AMG(进口) 2023款 AMG A 35 4MATIC,奔驰A级AMG(进口) 2023款 AMG A 45 S 4MATIC+,奔驰A级AMG(进口) 2023款 AMG A 35 4MATIC 灿日特别版,奔驰A级AMG(进口) 2023款 AMG A 35 4MATIC 55周年纪念版,奔驰A级AMG(进口) 2023款 AMG A 45 4MATIC+
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,-,-,-,-,-
