Feature,62120,62121,62122,62123,62124,62125,62126,62127,62128,62129,65247,65248,65883,65884,65902,65903,65904,65905
高度(mm),1480,1490,1480,1480,1480,1480,1490,1480,1480,1480,1493,1493,1493,1493,1493,1493,1493,1493
驾驶辅助影像,,,,,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置后驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23
隐藏电动门把手,-,-,-,-,-,-,-,-,-,-,●,●,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),5078,5078,5078,5078,5078,5078,5078,5078,5078,5078,5092,5092,5092,5092,5092,5092,5092,5092
长*宽*高(mm),5078*1860*1480,5078*1860*1490,5078*1860*1480,5078*1860*1480,5078*1860*1480,5078*1860*1480,5078*1860*1490,5078*1860*1480,5078*1860*1480,5078*1860*1480,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493,5092*1880*1493
钥匙类型,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,-,○,○,●,-,-,○,●,○,●,●,●,●,●,●,-,-
远程启动功能,,,,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,,,,,
运动外观套件,●,●,●,●,●,-,-,-,-,-,●,-,-,●,-,●,-,-
辅助驾驶等级,-,-,,,,-,-,,,,,,,,,,,
轴距(mm),3079,3079,3079,3079,3079,3079,3079,3079,3079,3079,3094,3094,3094,3094,3094,3094,3094,3094
轮圈材质,,,,,,,,,,,,,,,,,,
转向头灯,○,○,○,○,●,○,○,○,●,○,○,○,-,-,○,○,○,○
车门数(个),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,-,-,○,○,●,-,-,○,●,○,●,●,●,●,●,●,-,-
车道偏离预警系统,-,-,○,○,●,-,-,○,●,○,●,●,●,●,●,●,-,-
车道保持辅助系统,-,-,○,○,●,-,-,○,●,○,●,●,●,●,●,●,-,-
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,,,,,,,,,,,
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车,4门5座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,,,,,,,,,,
车机智能芯片,-,-,-,-,-,-,-,-,-,-,,,,,,,,
车型名称,奔驰E级 2023款 改款 E 260 L 运动型,奔驰E级 2023款 改款 E 260 L 运动型 4MATIC,奔驰E级 2023款 改款 E 300 L 运动时尚型,奔驰E级 2023款 改款 E 300 L 运动豪华型,奔驰E级 2023款 改款 E 300 L 运动尊贵型,奔驰E级 2023款 改款 E 260 L,奔驰E级 2023款 改款 E 260 L 4MATIC,奔驰E级 2023款 改款 E 300 L 时尚型,奔驰E级 2023款 改款 E 300 L 尊贵型,奔驰E级 2023款 改款 E 300 L 豪华型,奔驰E级 2024款 E 300 L 豪华运动型,奔驰E级 2024款 E 300 L 豪华型,奔驰E级 2024款 E 260 L,奔驰E级 2024款 E 260 L 运动型,奔驰E级 2024款 E 300 L 时尚型,奔驰E级 2024款 E 300 L 时尚运动型,奔驰E级 2024款 E 260 L 4MATIC,奔驰E级 2024款 E 260 L 4MATIC 运动型
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,○,○,○,-,-,○,○,○,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,,,,,,
车内摄像头数量,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-
车内化妆镜,,,,,,,,,,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-
