Feature,67142,67143,67148,67149,68180,68181,68182,68183,70193,70195,70197,70198,70199,70200
高度(mm),1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714
驾驶辅助影像,,,,,,,,,,,,,,
驾驶模式切换,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,
驱动方式,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●,●,●,●,●,●,●,●
长度(mm),4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826,4826
长*宽*高(mm),4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714,4826*1890*1714
钥匙类型,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,○,○,○,○,○,○,○,○,○,○
透明底盘/540度影像,-,-,●,●,○,○,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,,,,,,,
运动风格座椅,●,●,●,●,●,●,●,●,●,●,●,●,●,●
辅助驾驶等级,,,,,,,,,,,,,,
轴距(mm),2977,2977,2977,2977,2977,2977,2977,2977,2977,2977,2977,2977,2977,2977
轮圈材质,,,,,,,,,,,,,,
转向头灯,-,-,●,●,-,-,○,○,-,-,○,○,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,○,○,○,○,○,○,○,○,○,○,○,○,○,○
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,●,●
