Feature,56831,61208,61335,61394,61395
高度(mm),1782,1782,1782,1782,1782
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,电子驻车,电子驻车,电子驻车,电子驻车,电子驻车
驱动方式,前置四驱,前置四驱,前置四驱,前置四驱,前置四驱
首任车主质保政策,-,-,-,-,-
陡坡缓降,●,●,●,●,●
限滑差速器/差速锁,-,-,-,-,
长度(mm),4948,4948,4948,4937,4947
长*宽*高(mm),4948*2015*1782,4948*2015*1782,4948*2015*1782,4937*2015*1782,4947*2015*1782
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,○,○,○,●,○
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,涡轮增压+电动增压,双涡轮增压
近光灯光源,,,,,
运动风格座椅,●,●,●,●,●
运动外观套件,●,●,●,●,●
辅助驾驶等级,,,,,
轴距(mm),2995,2995,2995,2995,2995
轮圈材质,,,,,
转向辅助灯,●,●,●,●,●
转向头灯,○,○,○,○,○
车顶行李架,●,●,●,●,●
车门数(个),5,5,5,5,5
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车载智能系统,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,奔驰GLE AMG 2022款 AMG GLE 53 4MATIC+ 皓夜特别版,奔驰GLE AMG 2023款 AMG GLE 53 4MATIC+ 55周年纪念版,奔驰GLE AMG 2023款 AMG GLE 53 4MATIC+,奔驰GLE AMG 2024款 AMG GLE 53 4MATIC+,奔驰GLE AMG 2024款 AMG GLE 63 S 4MATIC+
车前雾灯,-,-,-,-,-
车内香氛装置,○,○,○,○,○
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车侧脚踏板,,,,,
车体结构,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,-,-,-,,
负离子发生器,○,○,○,○,○
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动泊车入位,●,●,●,●,●
自动头灯,●,●,●,●,●
自动变道辅助,○,○,○,●,○
能量回收系统,●,●,●,●,●
能源类型,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
胎压监测功能,,,,,
缺气保用轮胎,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排座椅调节,,,,,
第二排座椅电动调节,●,●,●,●,●
第二排座椅功能,-,-,-,,
空调温度控制方式,,,,,
空气悬架,●,●,●,●,●
离去角(°),22.8,22.8,22.8,22.8,22.8
疲劳驾驶提示,●,●,●,●,●
电动座椅记忆功能,,,,,
电动吸合车门,-,-,-,,
电动后备厢位置记忆,●,●,●,●,●
电动后备厢,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号
燃料形式,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统,汽油+48V轻混系统
灯光特色功能,,,,,
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
油箱容积(L),85,85,85,85,85
气缸数(个),6,6,6,6,8
气缸排列形式,L,L,L,L,V
每缸气门数(个),4,4,4,4,4
最高车速(km/h),250,250,250,250,250
最大马力(Ps),435,435,435,435,612
最大满载质量(kg),3150,3150,3150,-,-
最大扭矩转速(rpm),1800-5800,1800-5800,1800-5800,2200-5000,2500-4500
最大扭矩(N·m)_y,520,520,520,560,850
最大扭矩(N·m)_x,520,520,520,560,850
最大功率转速(rpm),5500-6100,5500-6100,5500-6100,6100,5750-6500
最大功率(kW)_y,320,320,320,320,450
最大功率(kW)_x,320,320,320,320,450
最大净功率(kW),320,320,320,320,450
无钥匙进入功能,,,,,
无钥匙启动系统,●,●,●,●,●
方向盘记忆,●,●,●,●,●
方向盘材质,,,,,
方向盘换挡,●,●,●,●,●
方向盘加热,-,-,-,○,○
方向盘位置调节,,,,,
整车质保,三年不限公里,三年不限公里,三年不限公里,三年不限公里,三年不限公里
整备质量(kg),2404,2404,2404,-,-
摄像头数量,-,-,-,,
接近角(°),24.2,24.2,24.2,24.2,24.2
排量(mL),2999,2999,2999,2999,3982
换挡形式,,,,,
