Feature,60649,61398
高度(mm),1782,1782
驾驶辅助影像,,
驾驶模式切换,,
驻车制动类型,电子驻车,电子驻车
驱动电机数,单电机,单电机
驱动方式,前置四驱,前置四驱
首任车主质保政策,-,-
陡坡缓降,●,●
长度(mm),4941,4927
长*宽*高(mm),4941*2018*1782,4927*2018*1782
钥匙类型,,
配气机构,DOHC,DOHC
道路救援呼叫,●,●
道路交通标识识别,○,●
远程启动功能,,
远光灯光源,,
进气形式,涡轮增压,涡轮增压
近光灯光源,,
辅助驾驶等级,,
轴距(mm),2995,2995
轮圈材质,,
转向头灯,○,○
车顶行李架,●,●
车门数(个),5,5
车门开启方式,平开门,平开门
车道居中保持,●,●
车道偏离预警系统,●,●
车道保持辅助系统,●,●
车载空气净化器,●,●
车载智能系统,,
车身结构_y,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●
车联网,●,●
车窗防夹手功能,●,●
车窗一键升降功能,,
车型名称,奔驰GLE新能源 2023款 GLE 350 e 4MATIC,奔驰GLE新能源 2024款 GLE 400 e 4MATIC
车前雾灯,-,-
车内环境氛围灯,,
车内化妆镜,,
车内中控锁,●,●
车内PM2.5过滤装置,●,●
车体结构,承载式,承载式
语音识别控制系统,,
行车电脑显示屏幕,,
行李厢12V电源接口,●,●
蓝牙/车载电话,●,●
自适应远近光,●,●
自动驻车,●,●
自动泊车入位,●,●
自动头灯,●,●
自动变道辅助,○,●
能量回收系统,●,●
能源类型,插电式混合动力,插电式混合动力
胎压监测功能,,
缺气保用轮胎,●,●
缸盖材料,铝合金,铝合金
缸体材料,铝合金,铝合金
级别,中大型SUV,中大型SUV
系统综合扭矩(N·m),700,650
系统综合功率(kW),245,280
系统综合功率(Ps),333,381
简称,9挡手自一体,9挡手自一体
第二排座椅调节,,
第二排座椅电动调节,●,●
空调温度控制方式,,
空气悬架,●,●
离去角(°),27.7,27.3
百公里耗电量(kWh/100km),22.2,-
疲劳驾驶提示,●,●
电能当量燃料消耗量(L/100km),2.51,-
电池预加热,●,●
电池能量(kWh),31.2,31.2
