Feature,54579,67444,67445,67446,68040,68041
高度(mm),1510,1510,1510,1510,1510,1510
驾驶辅助影像,,,,,,
驾驶模式切换,,,,,,
驻车制动类型,,,,,,
驱动方式,,,,,,
风阻系数(Cd),-,-,-,-,-,-
面部识别,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●
陡坡缓降,-,-,-,-,-,-
长度(mm),5470,5470,5470,5470,5470,5470
长*宽*高(mm),5470*1921*1510,5470*1921*1510,5470*1921*1510,5470*1921*1510,5470*1921*1510,5470*1921*1510
钥匙类型,,,,,,
配气机构,SOHC,DOHC,DOHC,SOHC,DOHC,SOHC
遥控泊车,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●
远程启动功能,,,,,,
远光灯光源,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,
辅助驾驶等级,,,,,,
轴距(mm),3396,3396,3396,3396,3396,3396
轮圈材质,,,,,,
转向头灯,●,●,●,●,●,●
车门数(个),,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●
车载智能系统,,,,,,
车载冰箱,●,-,○,●,○,●
车身结构_y,三厢车,三厢车,三厢车,三厢车,三厢车,三厢车
车身结构_x,4门4座三厢车,4门5座三厢车,4门4座三厢车,4门4座三厢车,4门4座三厢车,4门4座三厢车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●
车联网,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●
车窗一键升降功能,,,,,,
车型名称,迈巴赫S级 2022款 S 680 4MATIC 匠心高定首发版,迈巴赫S级 2024款 改款 S 480 4MATIC,迈巴赫S级 2024款 S 580 4MATIC,迈巴赫S级 2024款 S 680 4MATIC,迈巴赫S级 2024款 S 580 4MATIC 极夜版,迈巴赫S级 2024款 S 680 4MATIC 极夜版
车前雾灯,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●
车内环境氛围灯,,,,,,
车内化妆镜,,,,,,
车内中控锁,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●
语音识别控制系统,,,,,,
触摸式阅读灯,●,●,●,●,●,●
被动行人保护,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,
行李厢12V电源接口,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●
自动变道辅助,●,●,●,●,●,●
能量回收系统,-,●,●,-,●,-
能源类型_y,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油
能源类型_x,汽油,汽油+48V轻混系统,汽油+48V轻混系统,汽油,汽油+48V轻混系统,汽油
胎压监测功能,,,,,,
缺气保用轮胎,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,大型车,大型车,大型车,大型车,大型车,大型车
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,●,○,●,●,●,●
第二排座椅调节,,,,,,
第二排座椅电动调节,●,●,●,●,●,●
第二排座椅功能,,,,,,
空调温度控制方式,,,,,,
空气悬架,●,●,●,●,●,●
离去角(°),15.4,15.4,15.4,15.4,15.4,15.4
疲劳驾驶提示,●,●,●,●,●,●
电动座椅记忆功能,,,,,,
电动吸合车门,,,,,,
电动后备厢,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号
灯光特色功能,,,,,,
温度分区控制,●,●,●,●,●,●
液晶仪表尺寸,,,,,,
油箱容积(L),76,76,76,76,76,76
气缸数(个),12,6,8,12,8,12
气缸排列形式,V,L,V,V,V,V
每缸气门数(个),3,4,4,3,4,3
最高车速(km/h),250,250,250,250,250,250
最大马力(Ps),612,380,503,612,503,612
最大满载质量(kg),2890,2840,2870,2890,2870,2890
最大扭矩转速(rpm),2000-4500,1800-5000,2000-4500,2000-4000,2000-4500,2000-4000
最大扭矩(N·m)_y,900,500,700,900,700,900
最大扭矩(N·m)_x,900,500,700,900,700,900
最大功率转速(rpm),5500,6000,5500,5250-5500,5500,5250-5500
最大功率(kW)_y,450,280,370,450,370,450
最大功率(kW)_x,450,280,370,450,370,450
