Feature,63975,63979,63980,63981,63982
高度(mm),1569,1569,1569,1569,1569
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
陡坡缓降,●,-,-,-,●
长度(mm),4516,4516,4516,4516,4516
长*宽*高(mm),4516*1843*1569,4516*1843*1569,4516*1843*1569,4516*1843*1569,4516*1843*1569
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
运动风格座椅,●,●,●,●,●
辅助驾驶等级,,-,,,
轴距(mm),2680,2680,2680,2680,2680
轮圈材质,,,,,
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,○,-,○,○,○
车道保持辅助系统,○,-,○,○,○
车载空气净化器,-,-,-,-,-
车身结构_y,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车,SUV跨界车
车身结构_x,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车,5门5座SUV跨界车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车型名称,奥迪Q3 Sportback 2024款 45 TFSI quattro 上市特别版,奥迪Q3 Sportback 2024款 35 TFSI 进取型,奥迪Q3 Sportback 2024款 40 TFSI 时尚型,奥迪Q3 Sportback 2024款 40 TFSI RS套件燃速型,奥迪Q3 Sportback 2024款 45 TFSI quattro 时尚型
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
语音识别控制系统,,,,,
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,-,-,-,-,-
自动驻车,●,●,●,●,●
自动泊车入位,●,○,○,○,○
