Feature,62267,62268,62269,62270,62271,62272,62273,62274,62275,62276,62277,62278,67932,68571,68572
高度(mm),1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675
驾驶辅助影像,,,,,,,,,,,,,-,,
驾驶模式切换,,,,,,,,,,,,,-,,
驻车制动类型,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,双电机,双电机,单电机,单电机,单电机,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4876,4876,4876,4876,4876,4876,4876,4876,4876,4876,4876,4876,4876,4876,4876
长*宽*高(mm),4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675,4876*1860*1675
钥匙类型,,,,,,,,,,,,,-,,
道路救援呼叫,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
道路交通标识识别,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
远程启动功能,,,,,,,,,,,,,-,,
远光灯光源,,,,,,,,,,,,,-,,
近光灯光源,,,,,,,,,,,,,-,,
辅助驾驶芯片,,,,,,,,,,,,,-,-,-
辅助驾驶等级,,,,,,,,,,,,,-,,
轴距(mm),2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965,2965
轮圈材质,,,,,,,,,,,,,-,,
转向头灯,-,-,●,●,●,●,●,●,●,●,●,●,-,●,●
车顶行李架,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车门数(个),,,,,,,,,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道偏离预警系统,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车载空气净化器,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门6座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车联网,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车窗一键升降功能,,,,,,,,,,,,,-,,
车型名称,奥迪Q5 e-tron 2023款 40 e-tron 闪耀型 锦衣套装,奥迪Q5 e-tron 2023款 40 e-tron 闪耀型 机甲套装,奥迪Q5 e-tron 2023款 40 e-tron 星耀型 锦衣套装,奥迪Q5 e-tron 2023款 40 e-tron 星耀型 机甲套装,奥迪Q5 e-tron 2023款 50 e-tron quattro 荣耀型 锦衣套装,奥迪Q5 e-tron 2023款 50 e-tron quattro 荣耀型 机甲套装,奥迪Q5 e-tron 2023款 40 e-tron 星耀型 黑武士版,奥迪Q5 e-tron 2023款 40 e-tron 星耀型 白法师版,奥迪Q5 e-tron 2023款 40 e-tron 星耀型 影武士版,奥迪Q5 e-tron 2023款 50 e-tron quattro 荣耀型 黑武士版,奥迪Q5 e-tron 2023款 50 e-tron quattro 荣耀型 白法师版,奥迪Q5 e-tron 2023款 50 e-tron quattro 荣耀型 影武士版,奥迪Q5 e-tron 2024款 RS edition,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 锦衣套装,奥迪Q5 e-tron 2024款 50 e-tron quattro 光耀型 机甲套装
车前雾灯,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,,,,,,-,,
车内化妆镜,,,,,,,,,,,,,-,,
车内中控锁,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
语音识别控制系统,,,,,,,,,,,,,-,,
语音分区域唤醒识别,,,,,,,,,,,,,-,,
触摸式阅读灯,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
触屏振动反馈,●,●,●,●,●,●,●,●,●,●,●,●,-,●,●
