Feature,45606,50627,50628
高度(mm),1640,1640,1640
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,双电机,双电机,双电机
驱动方式,,,
风阻系数(Cd),-,-,-
陡坡缓降,●,●,●
长度(mm),4901,4901,4901
长*宽*高(mm),4901*1935*1640,4901*1935*1640,4901*1935*1640
钥匙类型,,,
道路救援呼叫,●,●,●
道路交通标识识别,●,○,○
远程启动功能,,,
远光灯光源,,,
近光灯光源,,,
运动风格座椅,●,○,●
辅助驾驶等级,,,
轴距(mm),2928,2928,2928
轮圈材质,,,
车顶行李架,●,●,●
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,○,○
车道偏离预警系统,●,○,○
车道保持辅助系统,●,○,○
车载空气净化器,-,-,-
车载智能系统,,,
车身结构_y,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车型名称,奥迪e-tron 2021款 50 quattro 尊享型,奥迪e-tron 2021款 50 quattro 豪华型,奥迪e-tron 2021款 50 quattro 臻选型
车前雾灯,-,-,-
车内环境氛围灯,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音识别控制系统,,,
语音分区域唤醒识别,,,
触摸式阅读灯,●,●,●
触屏振动反馈,●,●,●
行车电脑显示屏幕,,,
行李厢12V电源接口,●,●,●
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驻车,-,-,-
自动泊车入位,○,○,○
自动头灯,●,●,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
级别,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
第二排座椅功能,,,
空调温度控制方式,,,
空气悬架,●,●,●
离去角(°),21,21,21
百公里耗电量(kWh/100km),21,19.4,21
疲劳驾驶提示,●,○,○
电芯品牌,,,
电能当量燃料消耗量(L/100km),2.4,2.2,2.4
电池预加热,●,●,●
电池能量密度(Wh/kg),142,142,142
