Feature,64449,64450,64451,64452,64453,64454,69229
高度(mm),1776,1776,1776,1776,1776,1776,1776
驾驶辅助影像,,,,,,,
驾驶模式切换,,,,,,,
驻车制动类型,,,,,,,
驱动方式,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-
陡坡缓降,●,●,●,●,●,●,●
长度(mm),5060,5060,5060,5060,5060,5060,5060
长*宽*高(mm),5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776,5060*2004*1776
钥匙类型,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●
远程启动功能,,,,,,,
远光灯光源,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,
辅助驾驶等级,,,,,,,
轴距(mm),3105,3105,3105,3105,3105,3105,3105
轮圈材质,,,,,,,
转向头灯,●,●,●,●,●,●,●
车顶行李架,●,●,●,●,●,●,●
车门数(个),,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●
车载空气净化器,-,-,-,-,-,-,-
车载智能系统,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,
车机智能芯片,,,,,,,
车型名称,宝马X5 2023款 xDrive 30Li M运动套装,宝马X5 2023款 xDrive 30Li 尊享型M运动套装,宝马X5 2023款 xDrive 30Li 尊享型M运动曜夜套装,宝马X5 2023款 xDrive 40Li M运动套装,宝马X5 2023款 xDrive 40Li M运动曜夜套装,宝马X5 2023款 xDrive 40Li 尊享型M运动曜夜套装,宝马X5 2024款 xDrive 40Li 尊享型黑焰限量版
车前雾灯,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,
车内化妆镜,,,,,,,
车内中控锁,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,
行车电脑显示屏幕,,,,,,,
蓝牙/车载电话,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●
自动泊车入位,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●
自动变道辅助,○,○,○,○,○,●,●
能量回收系统,-,-,-,●,●,●,●
