Feature,64378,64379,64380,64381,64382,64383,64384,64385
高度(mm),1405,1399,1405,1399,1405,1399,1405,1399
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-
长度(mm),4850,4850,4850,4850,4850,4850,4850,4850
长*宽*高(mm),4850*1954*1405,4850*1954*1399,4850*1954*1405,4850*1954*1399,4850*1954*1405,4850*1954*1399,4850*1954*1405,4850*1954*1399
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,○,○,○,○,●,●,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压,双涡轮增压
近光灯光源,,,,,,,,
运动风格座椅,-,-,-,-,●,●,-,-
辅助驾驶等级,,,,,,,,
轴距(mm),2851,2849,2851,2849,2851,2849,2851,2849
轮圈材质,,,,,,,,
转向头灯,●,●,●,●,●,●,●,●
车门数(个),,,,,,,,
车门开启方式,-,-,-,-,-,-,-,-
车道偏离预警系统,○,○,○,○,○,○,●,●
车道保持辅助系统,○,○,○,○,○,○,●,●
车载空气净化器,-,-,-,-,-,-,-,-
车载CD/DVD,,,,,,,,
车身结构_y,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车,硬顶跑车,软顶敞篷车
车身结构_x,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车,2门4座硬顶跑车,2门4座软顶敞篷车
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,欧陆 2024款 4.0T GT V8,欧陆 2024款 4.0T GT V8 敞篷版,欧陆 2024款 4.0T GT V8 Mulliner,欧陆 2024款 4.0T GT V8 Mulliner 敞篷版,欧陆 2024款 4.0T GT S V8,欧陆 2024款 4.0T GT S V8 敞篷版,欧陆 2024款 4.0T GT V8 雅度版,欧陆 2024款 4.0T GT V8 敞篷雅度版
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,,,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
负离子发生器,○,○,○,○,○,○,○,○
语音识别控制系统,,,,,,,,
触摸式阅读灯,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
行程(mm),89,89,89,89,89,89,89,89
行李厢12V电源接口,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,-,-,-,-,-,-,-,-
自动泊车入位,○,○,○,○,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸径(mm),84.5,84.5,84.5,84.5,84.5,84.5,84.5,84.5
