Feature,68685,68727,69647
高度(mm),1445,1445,1445
驾驶辅助影像,,,
驾驶模式切换,,,
驻车制动类型,,,
驱动电机数,单电机,单电机,单电机
驱动方式,,,
风阻系数(Cd),0.194,0.194,0.194
面部识别,●,●,●
隐藏电动门把手,●,●,●
陡坡缓降,-,-,-
长度(mm),4780,4780,4780
长*宽*高(mm),4780*1896*1445,4780*1896*1445,4780*1896*1445
钥匙类型,,,
遥控泊车,-,-,●
道路交通标识识别,-,-,●
远程启动功能,,,
远程召唤,-,-,●
远光灯光源,,,
近光灯光源,,,
辅助驾驶芯片,-,-,
辅助驾驶系统,,,
辅助驾驶等级,,,
轴距(mm),2815,2815,2815
轮圈材质,,,
车门数(个),,,
车门开启方式,平开门,平开门,平开门
车道居中保持,●,●,●
车道偏离预警系统,●,●,●
车道保持辅助系统,●,●,●
车载空气净化器,-,-,-
车身结构_y,掀背车,掀背车,掀背车
车身结构_x,5门5座掀背车,5门5座掀背车,5门5座掀背车
车身稳定控制(ESC/ESP/DSC等),●,●,●
车联网,●,●,●
车窗防夹手功能,●,●,●
车窗一键升降功能,,,
车机系统存储(GB),,,
车机系统内存(GB),,,
车机智能芯片,,,
车型名称,小鹏MONA M03 2024款 620,小鹏MONA M03 2024款 515,小鹏MONA M03 2024款 580 超长续航 Max
车前雾灯,-,-,-
车内环境氛围灯,,-,
车内摄像头数量,,,
车内化妆镜,,,
车内中控锁,●,●,●
车内PM2.5过滤装置,●,●,●
车体结构,承载式,承载式,承载式
超声波雷达数量,,,
语音连续识别,●,●,●
语音识别控制系统,,,
语音助手唤醒词,,,
语音分区域唤醒识别,,,
记忆泊车,-,-,●
触摸式阅读灯,●,●,●
行车电脑显示屏幕,,,
蓝牙/车载电话,●,●,●
自适应远近光,●,●,●
自动驾驶辅助路段,-,-,
自动驻车,●,●,●
自动泊车入位,●,●,●
自动头灯,●,●,●
自动变道辅助,-,-,●
能量回收系统,●,●,●
能源类型,纯电动,纯电动,纯电动
胎压监测功能,,,
级别,紧凑型车,紧凑型车,紧凑型车
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,-,-,-
空调温度控制方式,,,
离去角(°),17,17,17
百公里耗电量(kWh/100km),11.5,11.5,11.5
疲劳驾驶提示,●,●,●
电芯品牌,,,
电能当量燃料消耗量(L/100km),1.34,1.34,1.34
电池预加热,●,●,●
电池能量(kWh),62.2,51.8,62.2
电池类型,,,
电池特有技术,刀片电池,刀片电池,刀片电池
电池快充电量范围(%)_y,30-80,30-80,30-80
电池快充电量范围(%)_x,30-80,30-80,30-80
电池快充时间(小时)_y,0.43,0.43,0.43
电池快充时间(小时)_x,0.43,0.43,0.43
电池冷却方式,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步
电机布局,前置,前置,前置
电动机总马力(Ps),218,190,218
电动机总扭矩(N·m),250,225,250
电动机总功率(kW),160,140,160
电动机(Ps),218,190,218
电动座椅记忆功能,,,
电动后备厢位置记忆,●,●,●
电动后备厢,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●
温度分区控制,●,●,●
液晶仪表尺寸,-,-,-
毫米波雷达数量,,,
最高车速(km/h),155,155,155
最小转弯半径(m),5.3,5.3,5.3
最大满载质量(kg),2114,2036,2114
最大扭矩(N·m),250,225,250
最大功率(kW),160,140,160
无钥匙进入功能,,,
无钥匙启动系统,●,●,●
方向盘记忆,-,-,-
方向盘材质,,,
方向盘换挡,-,-,-
方向盘加热,-,-,-
方向盘位置调节,,,
整车质保,,,
整备质量(kg),1739,1661,1739
摄像头数量,,,
接近角(°),12,12,12
换挡形式,,,
挡位个数,1,1,1
扬声器数量,,,
扬声器品牌名称,-,-,-
手机无线充电功能,,,
手机互联/映射,-,-,-
手机APP远程功能,,,
慢充接口位置,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,
快充接口位置,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持
座椅材质,,,
座位数(个),,,
应用商店,●,●,●
并线辅助,●,●,●
巡航系统,,,
导航路况信息显示,●,●,●
宽度(mm),1896,1896,1896
实测续航里程(km),536,-,-
实测电池快充电量范围(%),30-80,-,-
实测快充时间(小时),0.53,-,-
实测平均电耗(kWh/100km),13.3,-,-
实测100-0km/h制动(m),39.64,-,-
实测0-100km/h加速(s),7.32,-,-
官方0-100km/h加速(s),7.4,7.8,7.4
安全带未系提醒,,,
天窗类型,,,
大灯高度可调,●,●,●
大灯延时关闭,●,●,●
多媒体/充电接口,,,
多功能方向盘,●,●,●
外后视镜功能,,,
备胎规格,,,
后雨刷,-,-,-
后轮距(mm),1628,1628,1628
后轮胎规格,,,
后方碰撞预警,●,●,●
后排独立空调,-,-,-
后排杯架,-,-,-
后排座椅放倒形式,,,
后悬架类型,,,
后座出风口,●,●,●
后备厢容积(L),621-1603,621-1603,621-1603
后制动器类型,,,
可见即可说,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),12.98万,11.98万,15.58万
厂商,小鹏汽车,小鹏汽车,小鹏汽车
卫星导航系统,●,●,●
匝道自动驶出(入),-,-,●
助力类型,,,
副驾驶位后排可调节按钮,-,-,-
副座椅调节方式,,,
前轮距(mm),1628,1628,1628
前轮胎规格,,,
前电动机最大扭矩(N·m),250,225,250
前电动机最大功率(kW),160,140,160
前电动机型号,TZ190XS01D01X,TZ180XS120,TZ190XS01D01X
前电动机品牌,菲仕绿能,苏州汇川,菲仕绿能
前方碰撞预警,●,●,●
前方感知摄像头,,,
前排座椅功能,,-,
前悬架类型,,,
前制动器类型,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
刹车辅助(EBA/BAS/BA等),●,●,●
制动力分配(EBD/CBC等),●,●,●
内置行车记录仪,●,●,●
内后视镜功能,,,
全液晶仪表盘,-,-,-
充电站（座）,1000+,1000+,1000+
倒车车侧预警系统,●,●,●
信号灯识别,-,-,●
低速行车警告,●,●,●
主座椅调节方式,,,
主动闭合式进气格栅,●,●,●
主动式环境氛围灯,●,-,●
主动刹车/主动安全系统,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,
中控屏幕尺寸,,,
上市时间,2024.08,2024.08,2024.08
上坡辅助,●,●,●
三电系统质保,,,
Wi-Fi热点,●,●,●
USB/Type-C最大充电功率,,,
USB/Type-C接口数量,,,
OTA升级,●,●,●
LED日间行车灯,●,●,●
ISOFIX儿童座椅接口,●,●,●
DOW开门预警,●,●,●
CLTC纯电续航里程(km)_y,620,515,580
CLTC纯电续航里程(km)_x,620,515,580
ABS防抱死,●,●,●
4G/5G网络,,,
