Feature,60835,64735,64736,66307
高精地图,●,●,●,●
高度(mm),1785,1785,1785,1785
高压快充,支持,支持,支持,支持
驾驶辅助影像,,,,
驾驶模式切换,,,,
驻车制动类型,,,,
驱动电机数,双电机,单电机,单电机,单电机
驱动方式,,,,
风阻系数(Cd),0.227,0.227,0.227,0.227
面部识别,●,●,●,●
隐藏电动门把手,●,●,●,●
陡坡缓降,●,●,●,●
长度(mm),5293,5293,5293,5293
长*宽*高(mm),5293*1988*1785,5293*1988*1785,5293*1988*1785,5293*1988*1785
钥匙类型,,,,
遥控泊车,●,●,●,●
道路救援呼叫,●,●,●,●
道路交通标识识别,●,●,●,●
透明底盘/540度影像,●,●,●,●
远程启动功能,,,,
远程召唤,●,●,●,●
远光灯光源,,,,
近光灯光源,,,,
辅助驾驶芯片,,,,
辅助驾驶系统,,,,
辅助驾驶等级,,,,
轴距(mm),3160,3160,3160,3160
轮圈材质,,,,
车门数(个),,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,●,●,●,●
车道偏离预警系统,●,●,●,●
车道保持辅助系统,●,●,●,●
车载空气净化器,●,●,●,●
车载智能系统,,,,
车载冰箱,●,●,●,●
车身结构_y,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●
车联网,●,●,●,●
车窗防夹手功能,●,●,●,●
车窗一键升降功能,,,,
车机智能芯片,,,,
车型名称,小鹏X9 2024款 640四驱高性能Max,小鹏X9 2024款 610长续航Pro,小鹏X9 2024款 702超长续航Max,小鹏X9 2024款 702超长续航Pro
车前雾灯,-,-,-,-
车内香氛装置,○,○,○,○
车内环境氛围灯,,,,
车内化妆镜,,,,
车内中控锁,●,●,●,●
车内PM2.5过滤装置,●,●,●,●
车体结构,承载式,承载式,承载式,承载式
超声波雷达数量,,,,
负离子发生器,●,●,●,●
语音连续识别,●,●,●,●
语音识别控制系统,,,,
语音分区域唤醒识别,,,,
语音免唤醒词,●,●,●,●
记忆泊车,●,●,●,●
行车电脑显示屏幕,,,,
行李厢12V电源接口,●,●,●,●
蓝牙/车载电话,●,●,●,●
芯片总算力,,,,
自适应远近光,●,●,●,●
自动驾驶辅助路段,,,,
自动驻车,●,●,●,●
自动泊车入位,●,●,●,●
自动头灯,●,●,●,●
自动变道辅助,●,●,●,●
能量回收系统,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,
缺气保用轮胎,-,-,-,-
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,●
第二排座椅调节,,,,
第二排座椅电动调节,●,●,●,●
第二排座椅功能,,,,
第三排座椅调节,,,,
第三排座椅电动调节,●,●,●,●
空调温度控制方式,,,,
空气悬架,●,●,●,●
离去角(°),15,15,15,15
百公里耗电量(kWh/100km),17.7,16.2,16.3,16.3
疲劳驾驶提示,●,●,●,●
电芯品牌,,,,
电能当量燃料消耗量(L/100km),2,1.83,1.84,1.84
电池预加热,●,●,●,●
电池能量(kWh),101.5,84.5,101.5,101.5
电池类型,,,,
电池快充电量范围(%)_y,10-80,10-80,10-80,10-80
电池快充电量范围(%)_x,10-80,10-80,10-80,10-80
电池快充时间(小时)_y,0.33,0.33,0.33,0.33
电池快充时间(小时)_x,0.33,0.33,0.33,0.33
电池冷却方式,液冷,液冷,液冷,液冷
电机类型,前永磁/同步 后感应/异步,永磁/同步,永磁/同步,永磁/同步
电机布局,前置+后置,前置,前置,前置
电动机总扭矩(N·m),640,450,450,450
电动机总功率(kW),370,235,235,235
电动机总功率(Ps),503,320,320,320
电动机(Ps),503,320,320,320
电动座椅记忆功能,,,,
电动后备厢位置记忆,●,●,●,●
电动后备厢,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●
热泵空调,●,●,●,●
激光雷达数量,,-,,-
温度分区控制,●,●,●,●
液晶仪表尺寸,,,,
毫米波雷达数量,,,,
最高车速(km/h),200,200,200,200
最小转弯半径(m),5.4,5.4,5.4,5.4
最大满载质量(kg),3210,3125,3135,3135
最大扭矩(N·m),640,450,450,450
最大功率(kW),370,235,235,235
无钥匙进入功能,,,,
无钥匙启动系统,●,●,●,●
方向盘记忆,-,-,-,-
方向盘材质,,,,
方向盘换挡,-,-,-,-
方向盘加热,●,●,●,●
方向盘位置调节,,,,
整车质保,-,-,-,-
整备质量(kg),2630,2560,2555,2555
整体主动转向系统,●,●,●,●
摄像头数量,,,,
接近角(°),14,14,14,14
换挡形式,,,,
挡位个数,1,1,1,1
扬声器数量,,,,
扬声器品牌名称,-,-,-,-
手机无线充电功能,,,,
手机无线充电功率,,,,
手机互联/映射,,,,
手机APP远程功能,,,,
慢充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
感应雨刷功能,,,,
快充接口位置,车右后侧,车右后侧,车右后侧,车右后侧
快充功能,支持,支持,支持,支持
座椅材质,,,,
座椅布局,,,,
座位数(个),,,,
并线辅助,●,●,●,●
巡航系统,,,,
导航路况信息显示,●,●,●,●
对外放电,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3
宽度(mm),1988,1988,1988,1988
官方0-100km/h加速(s),5.7,7.7,7.7,7.7
安全带未系提醒,,,,
天窗类型,,,,
大灯高度可调,●,●,●,●
大灯延时关闭,●,●,●,●
多层隔音玻璃,,,,
多媒体/充电接口,,,,
多功能方向盘,●,●,●,●
外后视镜功能,,,,
备胎规格,-,-,-,-
地图品牌,,,,
四驱形式,,-,-,-
后雨刷,-,-,-,-
后轮距(mm),1683,1683,1683,1683
后轮胎规格,,,,
后电动机最大扭矩(N·m),190,-,-,-
后电动机最大功率(kW),135,-,-,-
后电动机型号,YS210XY01H93X,-,-,-
后方碰撞预警,●,●,●,●
后排独立空调,●,●,●,●
后排液晶屏幕尺寸,,,,
后排液晶屏幕,,,,
后排杯架,●,●,●,●
后排控制多媒体,●,●,●,●
后排座椅电动放倒,●,●,●,●
后排座椅放倒形式,,,,
后排小桌板,●,●,●,●
后排侧隐私玻璃,●,●,●,●
后排侧窗遮阳帘,,,,
后悬架类型,,,,
后座出风口,●,●,●,●
后备厢容积(L),755-2554,755-2554,755-2554,755-2554
后制动器类型,,,,
可见即可说,●,●,●,●
可变悬架功能,,,,
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),41.98万,35.98万,39.98万,37.98万
厂商,小鹏汽车,小鹏汽车,小鹏汽车,小鹏汽车
卫星导航系统,●,●,●,●
单踏板模式,●,●,●,●
助力类型,,,,
副驾驶位后排可调节按钮,●,●,●,●
副座椅调节方式,,,,
前轮距(mm),1679,1679,1679,1679
前轮胎规格,,,,
