Feature,64683,65104,65105,65106,65193,66132,67216,67217,67653
魔毯智能悬架,-,-,●,●,●,-,-,-,-
高度(mm),1820,1820,1800,1800,1800,1820,1820,1820,1820
驾驶辅助影像,,,,,,,,,
驾驶模式切换,,,,,,,,,
驻车制动类型,,,,,,,,,
驱动电机数,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机,双电机
驱动方式,,,,,,,,,
首任车主质保政策,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-
面部识别,●,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●,●
长度(mm),5315,5315,5315,5315,5315,5315,5315,5315,5315
长*宽*高(mm),5315*1985*1820,5315*1985*1820,5315*1985*1800,5315*1985*1800,5315*1985*1800,5315*1985*1820,5315*1985*1820,5315*1985*1820,5315*1985*1820
钥匙类型,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,-,DOHC,-,-,-,-
遥控泊车,-,●,●,●,●,●,-,●,-
道路救援呼叫,●,●,●,●,●,●,●,●,●
道路交通标识识别,-,●,●,●,●,●,-,●,-
透明底盘/540度影像,●,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,,
远光灯光源,,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,-,涡轮增压,-,-,-,-
近光灯光源,,,,,,,,,
辅助驾驶等级,-,,,,,,-,,-
轴距(mm),3200,3200,3200,3200,3200,3200,3200,3200,3200
轮圈材质,,,,,,,,,
车门数(个),,,,,,,,,
车门开启方式,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门,平开门+侧滑门
车道居中保持,-,●,●,●,●,●,-,●,-
车道偏离预警系统,-,●,●,●,●,●,-,●,-
车道保持辅助系统,-,●,●,●,●,●,-,●,-
车载空气净化器,●,●,●,●,●,●,-,●,-
车身结构_y,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV,MPV
车身结构_x,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门4座MPV,5门7座MPV,5门7座MPV,5门7座MPV,5门7座MPV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,,
车机智能芯片,,,,,,,,,
车型名称,梦想家 2024款 PHEV 超长续航卓越版,梦想家 2024款 PHEV 超长续航尊贵版,梦想家 2024款 PHEV 超长续航旗舰版,梦想家 2024款 EV 超长续航旗舰版,岚图梦想家 2024款 私人定制版,岚图梦想家 2024款 EV 长续航尊贵版,岚图梦想家 2024款 EV 长续航卓越版,岚图梦想家 2024款 EV 超长续航尊贵版,岚图梦想家 2024款 EV 超长续航卓越版
车前雾灯,-,-,-,-,-,-,-,-,-
车内香氛装置,-,-,●,●,●,-,-,-,-
车内环境氛围灯,-,,,,,,-,,-
车内摄像头数量,,,,,,,-,,-
车内化妆镜,,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,,
负离子发生器,-,-,●,●,●,-,-,-,-
语音连续识别,●,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,,
语音助手唤醒词,,,,,,,,,
语音分区域唤醒识别,,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●,●
自适应远近光,-,-,-,-,-,-,-,-,-
自动驻车,●,●,●,●,●,●,●,●,●
自动泊车入位,-,●,●,●,●,●,-,●,-
自动头灯,●,●,●,●,●,●,●,●,●
自动变道辅助,-,●,●,●,●,●,-,●,-
能量回收系统,●,●,●,●,●,●,●,●,●
能源类型_y,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,纯电动,纯电动,纯电动,纯电动
能源类型_x,插电式混合动力,插电式混合动力,插电式混合动力,纯电动,插电式混合动力,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,,
缸盖材料,铝合金,铝合金,铝合金,-,铝合金,-,-,-,-
缸体材料,铝合金,铝合金,铝合金,-,铝合金,-,-,-,-
级别,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV,中大型MPV
系统综合扭矩(N·m),840,840,840,620,840,620,620,620,620
系统综合功率(kW),420,420,420,320,420,320,320,320,320
系统综合功率(Ps),571,571,571,435,571,435,435,435,435
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排独立座椅,●,●,●,●,●,●,●,●,●
第二排座椅调节,,,,,,,,,
第二排座椅电动调节,●,●,●,●,●,●,●,●,●
第二排座椅功能,,,,,,,,,
第三排座椅调节,,,,,-,,,,
空载最小离地间隙(mm),150,150,150,133,133,150,150,133,133
空调温度控制方式,,,,,,,,,
空气质量监测,-,●,●,●,●,●,-,●,-
空气悬架,-,-,●,●,●,-,-,-,-
离去角(°),17,17,16,16,16,17,17,16,16
百公里耗电量(kWh/100km),-,-,-,17.7,-,17.5,17.5,17.7,17.7
疲劳驾驶提示,●,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,,
电磁感应悬架,-,-,●,●,●,-,-,-,-
电池预加热,●,●,●,●,●,●,●,●,●
电池能量(kWh),43,43,43,108.73,43,82.11,82.11,108.73,108.73
电池类型,,,,,,,,,
电池快充电量范围(%)_y,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充电量范围(%)_x,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80,20-80
电池快充时间(小时)_y,0.5,0.5,0.5,0.58,0.5,0.36,0.36,0.58,0.58
电池快充时间(小时)_x,0.5,0.5,0.5,0.58,0.5,0.36,0.36,0.58,0.58
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,交流/同步,交流/同步,交流/同步,永磁/同步,交流/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
