Feature,63558,63559,63560,63561,68490
高度(mm),1780,1780,1780,1780,1780
驾驶辅助影像,,,,,
驾驶模式切换,,,,,
驻车制动类型,,,,,
驱动电机数,-,-,双电机,单电机,-
驱动方式,,,,,
风阻系数(Cd),-,-,-,-,-
面部识别,●,●,●,●,-
隐藏电动门把手,-,-,●,●,-
陡坡缓降,●,●,●,●,●
长度(mm),4980,4980,5015,5015,4980
长*宽*高(mm),4980*1950*1780,4980*1950*1780,5015*1950*1780,5015*1950*1780,4980*1950*1780
钥匙类型,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●
道路交通标识识别,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●
远程启动功能,,,,,
远光灯光源,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,
辅助驾驶等级,,,,,
轴距(mm),2920,2920,2920,2920,2920
轮圈材质,,,,,
车顶行李架,●,●,●,●,●
车门数(个),,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●
车载空气净化器,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门7座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●
车联网,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●
车窗一键升降功能,,,,,
车机智能芯片,,,,,
车型名称,传祺GS8 2024款 领航系列 2.0TGDI 两驱豪华智联版,传祺GS8 2024款 领航系列 2.0TGDI 四驱豪华智联版,传祺GS8 2024款 双擎系列 2.0TM 四驱尊贵版,传祺GS8 2024款 双擎系列 2.0TM 两驱尊贵版,传祺GS8 2025款 领航系列 2.0TGDI 两驱豪华版 5座
车前雾灯,-,-,-,-,-
车内环境氛围灯,,,,,
车内化妆镜,,,,,
车内中控锁,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式
负离子发生器,●,●,●,●,●
语音连续识别,●,●,●,●,●
语音识别控制系统,,,,,
语音助手唤醒词,-,-,-,-,
语音分区域唤醒识别,,,,,
语音免唤醒词,-,-,●,●,-
行车电脑显示屏幕,,,,,
行李厢12V电源接口,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●
自适应远近光,●,●,●,●,●
自动驻车,●,●,●,●,●
自动头灯,●,●,●,●,●
能量回收系统,-,-,●,●,-
能源类型_y,汽油,汽油,油电混合,油电混合,汽油
能源类型_x,汽油,汽油,油电混合,油电混合,汽油
胎压监测功能,,,,,
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铸铁,铸铁,铝合金,铝合金,铸铁
级别,中型SUV,中型SUV,中型SUV,中型SUV,中型SUV
简称,8挡手自一体,8挡手自一体,E-CVT无级变速,E-CVT无级变速,8挡自动
第二排独立座椅,-,-,○,○,-
第二排座椅调节,,,,,
第二排座椅功能,-,-,,,-
第三排座椅调节,,,,,-
第三排座椅电动调节,-,-,●,●,-
空载最小离地间隙(mm),200,200,190,190,200
空调温度控制方式,,,,,
离去角(°),23,23,23,23,23
疲劳驾驶提示,●,●,●,●,-
电池类型,-,-,,,-
电机类型,-,-,永磁/同步,永磁/同步,-
电机布局,-,-,前置+后置,前置,-
电动机总扭矩(N·m),-,-,391,270,-
电动机总功率(kW),-,-,174,134,-
电动机(Ps),-,-,237,182,-
电动座椅记忆功能,-,-,,,-
电动后备厢位置记忆,●,●,●,●,●
电动后备厢,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●
灯光特色功能,,,,,
满载最小离地间隙(mm),160,160,150,150,160
温度分区控制,●,●,●,●,●
液晶仪表尺寸,,,,,
油箱容积(L),65,65,58,58,65
气缸数(个),4,4,4,4,4
气缸排列形式,L,L,L,L,L
每缸气门数(个),4,4,4,4,4
最高车速(km/h),210,200,190,190,210
