Feature,64743,66101,66102,66495,66496,68683,68684,68693
高度(mm),1767,1767,1767,1774,1767,1774,1767,1774
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
陡坡缓降,●,●,-,-,●,-,-,-
限滑差速器/差速锁,,,,,,,,
长度(mm),5130,5130,5130,5130,5130,5130,5130,5130
长*宽*高(mm),5130*1981*1767,5130*1981*1767,5130*1981*1767,5130*1981*1774,5130*1981*1767,5130*1981*1774,5130*1981*1767,5130*1981*1774
钥匙类型,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,-,-,●,-,-,-
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
进气形式,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压,涡轮增压
近光灯光源,,,,,,,,
辅助驾驶系统,,,-,-,,-,-,-
辅助驾驶等级,,,-,-,,-,-,-
轴距(mm),2900,2900,2900,2900,2900,2900,2900,2900
轮圈材质,,,,,,,,
车顶行李架,●,●,-,-,●,-,-,-
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门,平开门,平开门,平开门,平开门
车道居中保持,●,●,-,-,●,-,-,-
车道偏离预警系统,●,●,-,-,●,-,-,-
车道保持辅助系统,●,●,-,-,●,-,-,-
车载空气净化器,-,-,-,-,-,-,-,-
车载智能系统,,,,,,,,
车载KTV,●,●,●,●,●,●,●,●
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门6座SUV,5门7座SUV,5门7座SUV,5门7座SUV,5门6座SUV,5门6座SUV,5门6座SUV,5门7座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车型名称,探陆 2024款 380VC-TURBO 四驱智尊版 6座,探陆 2024款 380VC-TURBO 四驱智驾版 7座,探陆 2024款 380VC-TURBO 两驱智享版 7座,探陆 2024款 380VC-TURBO 两驱智尚版 7座,探陆 2024款 380VC-TURBO 四驱智驾版 6座,探陆 2024款 380VC-TURBO 两驱智悦版 6座,探陆 2024款 380VC-TURBO 两驱智享版 6座,探陆 2024款 380VC-TURBO 两驱智悦版 7座
车前雾灯,-,-,-,-,-,-,-,-
车内环境氛围灯,,,-,-,,-,-,-
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●
自适应远近光,●,●,-,-,●,-,-,-
自动驻车,●,●,●,●,●,●,●,●
自动头灯,●,●,●,●,●,●,●,●
膝部气囊,,,,,,,,
能源类型_y,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
能源类型_x,汽油,汽油,汽油,汽油,汽油,汽油,汽油,汽油
胎压监测功能,,,,,,,,
缺气保用轮胎,-,-,-,-,-,-,-,-
缸盖材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
缸体材料,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金,铝合金
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
第二排独立座椅,●,-,-,-,●,●,●,-
第二排座椅调节,,,,,,,,
第二排座椅功能,,-,-,-,-,-,-,-
空载最小离地间隙(mm),182,183,181,182,184,182,181,182
空调温度控制方式,,,,,,,,
移动物体预警系统,●,●,-,-,●,-,-,-
离去角(°),20,20,20,20,20,20,20,20
疲劳驾驶提示,●,●,-,-,●,-,-,-
电动座椅记忆功能,,-,-,-,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●
环保标准_y,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
环保标准_x,国VI,国VI,国VI,国VI,国VI,国VI,国VI,国VI
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
燃油标号,95号,95号,95号,95号,95号,95号,95号,95号
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
油箱容积(L),70,70,70,70,70,70,70,70
气缸数(个),4,4,4,4,4,4,4,4
气缸排列形式,L,L,L,L,L,L,L,L
毫米波雷达数量,,,-,-,,-,-,-
每缸气门数(个),4,4,4,4,4,4,4,4
最高车速(km/h),190,190,190,190,190,190,190,190
最大马力(Ps),252,252,252,252,252,252,252,252
最大满载质量(kg),2610,2700,2605,2580,2610,2580,2605,2580
最大扭矩转速(rpm),4400,4400,4400,4400,4400,4400,4400,4400
最大扭矩(N·m)_y,376,376,376,376,376,376,376,376
最大扭矩(N·m)_x,376,376,376,376,376,376,376,376
最大功率转速(rpm),5600,5600,5600,5600,5600,5600,5600,5600
最大功率(kW)_y,185,185,185,185,185,185,185,185
最大功率(kW)_x,185,185,185,185,185,185,185,185
最大净功率(kW),185,185,185,185,185,185,185,185
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
方向盘记忆,●,-,-,-,-,-,-,-
方向盘材质,,,,,,,,
方向盘换挡,●,●,●,●,●,●,●,●
方向盘加热,●,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整备质量(kg),2132,2131,2038,2011,2118,2000,2025,2011
摄像头数量,,,,,,,,
接近角(°),16,16,16,16,16,16,16,16
排量(mL),1997,1997,1997,1997,1997,1997,1997,1997
换挡形式,,,,,,,,
挡位个数,9,9,9,9,9,9,9,9
扬声器数量,,,,,,,,
扬声器品牌名称,,-,-,-,-,-,-,-
手机无线充电功能,,-,-,-,-,-,-,-
手机互联/映射,,,,,,,,
手机APP远程功能,,,,,,,,
感应雨刷功能,,,,,,,,
感应后备厢,●,-,-,-,-,-,-,-
座椅材质,,,,,,,,
座椅布局,,,,,,,,
座位数(个),,,,,,,,
并线辅助,●,●,-,-,●,-,-,-
巡航系统,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●
宽度(mm),1981,1981,1981,1981,1981,1981,1981,1981
官方0-100km/h加速(s),-,-,-,-,-,-,-,-
安全带未系提醒,,,,,,,,
天窗类型,,,,-,,-,,-
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多层隔音玻璃,,,,,,,,
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
备胎放置方式,,,,,,,,
声纹识别,●,●,●,●,●,●,●,●
地图品牌,,,,,,,,
四驱形式,,,-,-,,-,-,-
后雨刷,●,●,●,●,●,●,●,●
后轮距(mm),1700,1700,1700,1700,1700,1700,1700,1700
后轮胎规格,,,,,,,,
后方碰撞预警,●,●,-,-,●,-,-,-
后排独立空调,●,●,●,●,●,●,●,●
后排杯架,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,
后悬架类型,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●
后备厢容积(L),159-549,159-549,159-549,159-549,159-549,159-549,159-549,159-549
后制动器类型,,,,,,,,
可加热喷水嘴,●,-,-,-,-,-,-,-
变速箱类型,手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT),手自一体变速箱(AT)
变速箱,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体,9挡手自一体
发动机电子防盗,●,●,●,●,●,●,●,●
发动机布局,横置,横置,横置,横置,横置,横置,横置,横置
发动机型号,KR20,KR20,KR20,KR20,KR20,KR20,KR20,KR20
发动机启停技术,●,●,●,●,●,●,●,●
发动机,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4,2.0T 252马力 L4
压缩比,8-14,8-14,8-14,8-14,8-14,8-14,8-14,8-14
厂商指导价(元),30.18万,27.98万,25.98万,23.98万,27.98万,24.38万,25.98万,24.38万
厂商,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产,东风日产
卫星导航系统,●,●,●,●,●,●,●,●
助力类型,,,,,,,,
副驾驶位后排可调节按钮,-,-,-,-,-,-,-,-
副座椅调节方式,,,,,,,,
前轮距(mm),1700,1700,1700,1700,1700,1700,1700,1700
前轮胎规格,,,,,,,,
前方碰撞预警,●,●,-,-,●,-,-,-
前方感知摄像头,,,-,-,,-,-,-
前排座椅功能,,,,-,,-,,-
前悬架类型,,,,,,,,
前制动器类型,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
内置行车记录仪,●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●
倒车车侧预警系统,●,●,-,-,●,-,-,-
供油方式,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射,混合喷射
主座椅调节方式,,,,,,,,
主动降噪,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,-,-,●,-,-,-
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,-,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,
中控屏幕尺寸,,,,,,,,
中控屏幕分辨率,,,,,,,,
上市时间,2024.03,2024.03,2024.03,2024.03,2024.03,2024.06,2024.06,2024.06
上坡辅助,●,●,●,●,●,●,●,●
Wi-Fi热点,●,●,●,●,●,●,●,●
WLTC综合油耗(L/100km),8.96,8.99,8.65,8.65,8.96,8.65,8.65,8.65
USB/Type-C接口数量,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
HUD抬头数字显示,●,-,-,-,-,-,-,-
HUD抬头尺寸,,-,-,-,-,-,-,-
ABS防抱死,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,
