Feature,68049,68050,68051,68052,70364,72930,72931,72932
高精地图,●,-,●,●,-,-,●,●
高度(mm),1700,1700,1700,1700,1700,1700,1700,1700
高压快充,支持,支持,支持,支持,支持,支持,支持,支持
高压平台（V）,800,800,800,800,800,800,800,800
驾驶辅助影像,,,,,,,,
驾驶模式切换,,,,,,,,
驻车制动类型,,,,,,,,
驱动电机数,单电机,单电机,单电机,单电机,单电机,单电机,单电机,单电机
驱动方式,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-
面部识别,●,●,●,●,●,●,●,●
隐藏电动门把手,●,●,●,●,●,●,●,●
陡坡缓降,●,●,●,●,●,●,●,●
防侧翻系统,●,●,●,●,●,●,●,●
长度(mm),4935,4935,4935,4935,4935,4935,4935,4935
长*宽*高(mm),4935*1920*1700,4935*1920*1700,4935*1920*1700,4935*1920*1700,4935*1920*1700,4935*1920*1700,4935*1920*1700,4935*1920*1700
钥匙类型,,,,,,,,
遥控泊车,●,-,●,●,●,●,●,●
道路救援呼叫,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,●,●,●,●
透明底盘/540度影像,●,●,●,●,●,●,●,●
远程启动功能,,,,,,,,
远光灯光源,,,,,,,,
近光灯光源,,,,,,,,
辅助驾驶路段,,-,,,,-,,
辅助驾驶芯片,,-,,,-,-,,
辅助驾驶系统,,,,,,,,
辅助驾驶等级,,,,,,,,
辅助泊车入位,●,-,●,●,●,●,●,●
辅助变道,●,-,●,●,●,-,●,●
辅助匝道自动驶出(入),●,-,●,●,●,-,●,●
轴距(mm),2935,2935,2935,2935,2935,2935,2935,2935
轮圈材质,,,,,,,,
车门数(个),,,,,,,,
车门开启方式,平开门,平开门,平开门,平开门+鸥翼门,平开门,平开门,平开门,平开门
车道居中保持,●,●,●,●,●,●,●,●
车道偏离预警系统,●,●,●,●,●,●,●,●
车道保持辅助系统,●,●,●,●,●,●,●,●
车载空气净化器,●,●,●,●,●,●,●,●
车载智能系统,,,,,,,,
车身结构_y,SUV,SUV,SUV,SUV,SUV,SUV,SUV,SUV
车身结构_x,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV,5门5座SUV
车身稳定控制(ESC/ESP/DSC等),●,●,●,●,●,●,●,●
车联网,●,●,●,●,●,●,●,●
车窗防夹手功能,●,●,●,●,●,●,●,●
车窗一键升降功能,,,,,,,,
车机智能芯片,,,,,,,,
车型名称,昊铂HT 2024款 670特高压激光雷达版,昊铂HT 2024款 825特高压智驾版,昊铂HT 2024款 825特高压激光雷达版,昊铂HT 2024款 825鸥翼激光雷达版,昊铂HT 2024款 670高阶智驾版,昊铂HT 2025款 670 Pro,昊铂HT 2025款 670 Max,昊铂HT 2025款 825 Max
车前雾灯,-,-,-,-,-,-,-,-
车内香氛装置,●,●,●,●,●,●,●,●
车内生物监测系统,●,●,●,●,●,●,●,●
车内环境氛围灯,,,,,,,,
车内摄像头数量,,,,,,,,
车内化妆镜,,,,,,,,
车内中控锁,●,●,●,●,●,●,●,●
车内PM2.5过滤装置,●,●,●,●,●,●,●,●
车体结构,承载式,承载式,承载式,承载式,承载式,承载式,承载式,承载式
超声波雷达数量,,,,,,,,
语音连续识别,●,●,●,●,●,●,●,●
语音识别控制系统,,,,,,,,
语音助手唤醒词,,,,,,,,
语音分区域唤醒识别,,,,,,,,
语音免唤醒词,●,●,●,●,●,●,●,●
记忆泊车,●,-,●,●,●,●,●,●
触摸式阅读灯,●,●,●,●,●,●,●,●
行车电脑显示屏幕,,,,,,,,
行李厢12V电源接口,●,●,●,●,●,●,●,●
蓝牙/车载电话,●,●,●,●,●,●,●,●
芯片总算力,,-,,,-,-,,
自适应远近光,●,●,●,●,●,●,●,●
自动驻车,●,●,●,●,●,●,●,●
自动开合车门,○,-,-,●,-,-,-,-
自动头灯,●,●,●,●,●,●,●,●
能量回收系统,●,●,●,●,●,●,●,●
能源类型,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动,纯电动
胎压监测功能,,,,,,,,
级别,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV,中大型SUV
简称,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱,电动车单速变速箱
第二排座椅调节,,,,,,,,
第二排座椅功能,,,,,,,,
空调温度控制方式,,,,,,,,
空气质量监测,●,●,●,●,●,●,●,●
离去角(°),23,23,23,23,23,23,23,23
百公里耗电量(kWh/100km),12.8,13.1,13.1,13.2,12.8,12.8,12.8,13.1
疲劳驾驶提示,●,●,●,●,●,●,●,●
电芯品牌,,,,,,,,
电能当量燃料消耗量(L/100km),1.45,1.48,1.48,1.49,1.45,1.45,1.45,1.48
电池预加热,●,●,●,●,●,●,●,●
电池能量(kWh),80/83.3,99.5,99.5,99.5,80/83.3,83.3,83.3,99.5
电池类型,,,,,,,,
电池特有技术,"弹匣电池,3C超充电池包","弹匣电池,3C超充电池包","弹匣电池,3C超充电池包","弹匣电池,3C超充电池包","弹匣电池,3C超充电池包","弹匣电池,3C超充电池包","弹匣电池,3C超充电池包","弹匣电池,3C超充电池包"
电池冷却方式,液冷,液冷,液冷,液冷,液冷,液冷,液冷,液冷
电机类型,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步,永磁/同步
电机布局,后置,后置,后置,后置,后置,后置,后置,后置
电动机总马力(Ps),340,340,340,340,340,340,340,340
电动机总扭矩(N·m),430,430,430,430,430,430,430,430
电动机总功率(kW),250,250,250,250,250,250,250,250
电动机(Ps),340,340,340,340,340,340,340,340
电动座椅记忆功能,,,,,,,,
电动吸合车门,,-,-,,-,-,-,-
电动后备厢位置记忆,●,●,●,●,●,●,●,●
电动后备厢,●,●,●,●,●,●,●,●
牵引力控制(ASR/TCS/TRC等),●,●,●,●,●,●,●,●
热泵空调,●,●,●,●,●,●,●,●
激光雷达数量,,-,,,-,-,,
温度分区控制,●,●,●,●,●,●,●,●
液晶仪表尺寸,,,,,,,,
毫米波雷达数量,,,,,,,,
杜比全景声(Dolby Atmos),●,●,●,●,●,●,●,●
最高车速(km/h),183,183,183,183,183,183,183,183
最小转弯半径(m),5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
最大满载质量(kg),2680,2680,2680,2680,2680,2680,2680,2680
最大扭矩(N·m),430,430,430,430,430,430,430,430
最大功率(kW),250,250,250,250,250,250,250,250
无钥匙进入功能,,,,,,,,
无钥匙启动系统,●,●,●,●,●,●,●,●
无框设计车门,●,●,●,●,●,●,●,●
方向盘记忆,-,-,-,-,-,-,-,-
方向盘离手检测,●,●,●,●,●,-,●,●
方向盘材质,,,,,,,,
方向盘换挡,-,-,-,-,-,-,-,-
方向盘加热,-,-,-,-,-,-,-,-
方向盘位置调节,,,,,,,,
整车质保,,,,,,,,
整备质量(kg),2120,2180,2180,2220,2120,2120,2120,2180
摄像头数量,,,,,,,,
接近角(°),18,18,18,18,18,18,18,18
换挡形式,,,,,,,,
挡位个数,1,1,1,1,1,1,1,1
扬声器数量,,,,,,,,
扬声器品牌名称,-,-,-,-,-,-,-,-
手机无线充电功能,,,,,,,,
手机无线充电功率,,,,,,,,
手机互联/映射,,,,,,,,
手机APP远程功能,,,,,,,,
慢充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
感应雨刷功能,,,,,,,,
感应后备厢,●,●,●,●,●,●,●,●
快充接口位置,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧,车左后侧
快充功能,支持,支持,支持,支持,支持,支持,支持,支持
座椅材质,,,,,,,,
座位数(个),,,,,,,,
应用商店,●,●,●,●,●,●,●,●
并线辅助,●,●,●,●,●,●,●,●
巡航系统,,,,,,,,
导航路况信息显示,●,●,●,●,●,●,●,●
对外放电,●,●,●,●,●,●,●,●
对外交流放电功率(kW),3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
宽度(mm),1920,1920,1920,1920,1920,1920,1920,1920
官方0-100km/h加速(s),5.8,6.2,6.2,6.2,5.8,5.8,5.8,6.2
安全带未系提醒,,,,,,,,
天窗类型,,,,-,,,,
大灯高度可调,●,●,●,●,●,●,●,●
大灯延时关闭,●,●,●,●,●,●,●,●
多媒体/充电接口,,,,,,,,
多功能方向盘,●,●,●,●,●,●,●,●
外后视镜功能,,,,,,,,
备胎规格,,,,,,,,
地图品牌,,,,,,,,
后雨刷,-,-,-,-,-,-,-,-
后轮距(mm),1660,1660,1660,1660,1660,1660,1660,1660
后轮胎规格,,,,,,,,
后电动机最大扭矩(N·m),430,430,430,430,430,430,430,430
后电动机最大功率(kW),250,250,250,250,250,250,250,250
后电动机型号,TZ200XYA0201,TZ220XYX3T24,TZ220XYX3T24,TZ220XYX3T24,TZ200XYA0201,TZ200XYA0201,TZ200XYA0201,TZ220XYX3T24
后电动机品牌,尼得科,锐湃动力,锐湃动力,锐湃动力,尼得科,尼得科,尼得科,锐湃动力
后方碰撞预警,●,●,●,●,●,●,●,●
后排独立空调,-,-,-,-,-,-,-,-
后排杯架,●,●,●,●,●,●,●,●
后排座椅放倒形式,,,,,,,,
后排小桌板,●,●,●,●,●,●,●,●
后排侧隐私玻璃,●,●,●,●,●,●,●,●
后悬架类型,,,,,,,,
后座出风口,●,●,●,●,●,●,●,●
后备厢容积(L),670-1802,670-1802,670-1802,670-1802,670-1802,670-1802,670-1802,670-1802
后制动器类型,,,,,,,,
可见即可说,●,●,●,●,●,●,●,●
变速箱类型,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱,固定齿比变速箱
厂商指导价(元),24.99万,24.99万,26.99万,32.99万,22.99万,21.99万,23.99万,25.99万
厂商,埃安,埃安,埃安,埃安,埃安,埃安,埃安,埃安
卫星导航系统,●,●,●,●,●,●,●,●
单踏板模式,●,●,●,●,●,●,●,●
助力类型,,,,,,,,
副驾驶位后排可调节按钮,●,●,●,●,●,●,●,●
副座椅调节方式,,,,,,,,
前轮距(mm),1640,1640,1640,1640,1640,1640,1640,1640
前轮胎规格,,,,,,,,
前方碰撞预警,●,●,●,●,●,●,●,●
前方感知摄像头,,,,,,,,
前排座椅功能,,,,,,,,
前悬架类型,,,,,,,,
前备厢容积(L),55,55,55,55,55,55,55,55
前制动器类型,,,,,,,,
前/后驻车雷达,前●&nbsp;/&nbsp;后●,前-&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后电动车窗,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排头部气囊(气帘),前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
前/后排侧气囊,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-,前●&nbsp;/&nbsp;后-
前/后中央扶手,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●,前●&nbsp;/&nbsp;后●
刹车辅助(EBA/BAS/BA等),●,●,●,●,●,●,●,●
制动力分配(EBD/CBC等),●,●,●,●,●,●,●,●
内后视镜功能,,,,,,,,
全液晶仪表盘,●,●,●,●,●,●,●,●
倒车车侧预警系统,●,●,●,●,●,●,●,●
信号灯识别,●,-,●,●,-,-,●,●
侧窗多层隔音玻璃,,,,,,,,
低速行车警告,●,●,●,●,●,●,●,●
主座椅调节方式,,,,,,,,
主动闭合式进气格栅,●,●,●,●,●,●,●,●
主动式环境氛围灯,●,●,●,●,●,●,●,●
主动刹车/主动安全系统,●,●,●,●,●,●,●,●
主/副驾驶座电动调节,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
主/副驾驶座安全气囊,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●,主●&nbsp;/&nbsp;副●
中控彩色屏幕,,,,,,,,
中控屏幕尺寸,,,,,,,,
中控屏幕分辨率,,,,,,,,
中控屏幕像素密度,,,,,,,,
上市时间,2024.04,2024.04,2024.04,2024.04,2024.10,-,-,-
上坡辅助,●,●,●,●,●,●,●,●
三电首任车主质保政策,,,,,,,,
Wi-Fi热点,●,●,●,●,●,●,●,●
USB/Type-C最大充电功率,,,,,,,,
USB/Type-C接口数量,,,,,,,,
OTA升级,●,●,●,●,●,●,●,●
LED日间行车灯,●,●,●,●,●,●,●,●
ISOFIX儿童座椅接口,●,●,●,●,●,●,●,●
DeepSeek应用,,,,,,,,
DOW开门预警,●,●,●,●,●,●,●,●
CLTC纯电续航里程(km)_y,672,825,825,810,672,672,672,825
CLTC纯电续航里程(km)_x,672,825,825,810,672,672,672,825
ABS防抱死,●,●,●,●,●,●,●,●
4G/5G网络,,,,,,,,
