Feature,58225,58226,58227,60057,60058,60060,60061,60062,61495,62346,62347,62348,62349,62350,62351,62352,62353,65960,72122,72123,72192,72258,72259,72260,72261
高度(mm),1415,1420,1420,1415,1415,1420,1420,1420,1415,1415,1415,1415,1415,1415,1415,1420,1420,1415,1415,1415,1415,1415,1415,1420,1420
驾驶辅助影像,,,,,-,,,,,-,,,,,,,,,,,-,,-,,
驾驶模式切换,,,,,,,,,,,,,,,,,,,,,,,,,
驻车制动类型,,,,,,,,,,,,,,,,,,,,,,,,,
驱动电机数,单电机,单电机,单电机,-,-,-,-,单电机,单电机,-,-,-,-,-,-,-,-,-,-,单电机,-,单电机,-,-,单电机
驱动方式,,,,,,,,,,,,,,,,,,,,,,,,,
风阻系数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
陡坡缓降,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
长度(mm),4689,4689,4689,4563,4563,4563,4563,4563,4563,4689,4689,4689,4689,4689,4689,4689,4689,4702,4689,4689,4689,4689,4563,4563,4563
长*宽*高(mm),4689*1802*1415,4689*1802*1420,4689*1802*1420,4563*1802*1415,4563*1802*1415,4563*1802*1420,4563*1802*1420,4563*1802*1420,4563*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1420,4689*1802*1420,4702*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4689*1802*1415,4563*1802*1415,4563*1802*1420,4563*1802*1420
钥匙类型,,,,,,,,,,,,,,,,,,,,,,,,,
配气机构,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
道路救援呼叫,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
道路交通标识识别,●,●,●,●,-,●,●,●,●,-,●,●,●,●,●,●,●,●,●,-,-,●,-,●,●
远程启动功能,,,,,-,,,,,-,,,,,,,,,,,,,,,
远光灯光源,,,,,,,,,,,,,,,,,,,,,,,,,
